NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E2620300002201,上位田公民館,京都府綾部市位田町浦壁79-1,1,1,,1,,,1,,,35.31481389,135.251225,
2,E2620300003201,岩井集会所,京都府綾部市位田町岩井114,1,1,,,,,1,,,35.31716111,135.2531639,
3,E2620300004201,浄泉寺,京都府綾部市位田町田岸63,1,1,,,,1,,,,35.31485,135.2469972,
4,E2620300005201,京都府立農業大学校（グラウンド）,京都府綾部市位田町桧前30,1,1,,1,,,,,1,35.32419167,135.2358944,
5,E2620300006201,井根公会堂,京都府綾部市井根町太田8-1,1,1,,,,,1,,,35.34646389,135.3564583,
6,E2620300007202,綾部市農村婦人の家,京都府綾部市岡安町岡22-1,1,1,,1,,1,,,1,35.33686944,135.2944083,
7,E2620300007201,農村婦人の家駐車場,京都府綾部市岡安町岡22-1,1,1,,1,,1,,,1,35.33682222,135.2934389,
8,E2620300008202,綾部市立西八田小学校,京都府綾部市岡安町家ノ下10,1,1,,1,,1,,,1,35.33581111,135.2916722,
9,E2620300008201,綾部市立西八田小学校運動場,京都府綾部市岡安町家ノ下10,1,1,,1,,1,,,1,35.33639444,135.2916556,
10,E2620300009201,京都府立綾部高等学校運動場,京都府綾部市岡町長田18,,1,,1,,1,,,1,35.30011389,135.2378889,
11,E2620300010201,下八田町公民館,京都府綾部市下八田宮ノ越14-2,1,1,,,,,1,,,35.31371389,135.2822083,
12,E2620300011201,上谷集会所,京都府綾部市下八田町上谷14-1,1,1,,,,,1,,,35.29760833,135.2955944,
13,E2620300013201,綾部市宮代コミュニティセンター,京都府綾部市宮代町土代2-3,1,1,,1,,,1,,1,35.30181944,135.2425167,
14,E2620300014201,綾部市立綾部中学校運動場,京都府綾部市宮代町明知7,1,,,1,,1,,,1,35.300075,135.2437889,
15,E2620300014202,綾部市立綾部中学校,京都府綾部市宮代町明知7,1,1,,1,,1,,,1,35.30077222,135.2453083,
16,E2620300015202,綾部市立豊里小学校,京都府綾部市栗町花貝2,,1,,1,,1,,,1,35.31508056,135.2218583,
17,E2620300015201,綾部市立豊里小学校運動場,京都府綾部市栗町花貝2,,1,,1,,1,,,1,35.31471667,135.2217028,
18,E2620300017201,綾部市豊里コミュニティセンター,京都府綾部市栗町大野1-202,1,1,,1,,,1,,1,35.32501944,135.2282306,
19,E2620300018201,綾部市林業者等健康管理センター,京都府綾部市故屋岡町三反田15,1,1,,1,,,,,1,35.38518611,135.4590972,
20,E2620300019201,小仲公会堂,京都府綾部市故屋岡町小中谷1,1,,,1,,,1,,,35.39046111,135.4603,
21,E2620300020201,古和木公民館,京都府綾部市故屋岡町平垣36,1,1,,,,,1,,,35.39764167,135.4782917,
22,E2620300021202,五泉荘,京都府綾部市五泉町西巻12,1,1,,1,,1,,,1,35.39871111,135.4146667,
23,E2620300021201,五泉荘（公園）,京都府綾部市五泉町西巻12,1,,,1,,1,,,1,35.39851111,135.4145389,
24,E2620300022201,大町公会堂,京都府綾部市五津合町西地12,1,1,,,,,1,,,35.36935556,135.4234222,
25,E2620300023201,光野公民館,京都府綾部市光野町遊里ノ本13,1,,,1,,,1,,,35.40655833,135.4655611,
26,E2620300026201,山家城址公園,京都府綾部市広瀬町上ノ町８５－丁,1,,,1,,1,,,,35.30127222,135.3180583,
