NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E3220600002111,和鋼博物館,島根県安来市安来町1058,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.4352827,133.2537128,
2,E3220600003111,安来市立図書館,島根県安来市安来町1062-1,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.43550343,133.2529286,
3,E3220600004111,社日交流センター,島根県安来市安来町1281-1,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.4226978,133.2478763,
4,E3220600005111,市民体育館,島根県安来市安来町1337-1,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.4243612,133.2484836,
5,E3220600006111,十神地区学習等供用施設,島根県安来市安来町1931-1,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.42868694,133.255939,
6,E3220600008111,十神小学校（体育館）,島根県安来市安来町843-3,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.42957494,133.2475654,
7,E3220600008112,十神小学校（校舎）,島根県安来市安来町843-3,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.42909849,133.2477264,
8,E3220600011111,安来中央交流センター,島根県安来市安来町896-1,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.4316616,133.2514113,
9,E3220600012111,宇賀荘幼稚園,島根県安来市宇賀荘町323-1,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.39354719,133.2639806,
10,E3220600013111,宇賀荘交流センター,島根県安来市宇賀荘町98-1,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.39543632,133.2629399,
11,E3220600015111,第二中学校（体育館）,島根県安来市吉岡町7,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.39803383,133.2479355,
12,E3220600015112,第二中学校（校舎）,島根県安来市吉岡町7,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.3975091,133.2481608,
13,E3220600017112,社日小学校（校舎）,島根県安来市宮内町101,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.42221553,133.2485814,
14,E3220600017111,社日小学校（体育館）,島根県安来市宮内町101,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.42255869,133.2482649,
15,E3220600018111,養護老人ホーム鴨来荘,島根県安来市月坂町563,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.41293008,133.2441382,
16,E3220600019111,安来節演芸館,島根県安来市古川町534,1,対象災害：指定緊急避難場所の対照災害と同じ,,35.38111066,133.1973227,
17,E3220600020121,夢ランドしらさぎ,島根県安来市古川町835,,対象とする異常な現象の種類：「土砂災害」「地震」「津波」「大規模火災」,要配慮者,35.37547872,133.1967024,
