NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E4520900023201,南岡松公民館,宮崎県えびの市大字岡松1412-2,1,1,,,,,1,,1,32.046853,130.754192,
2,E4520900009201,飯野地区コミュニティセンター,宮崎県えびの市大字原田112-11,1,1,,,,,1,1,1,32.046543,130.866803,
3,E4520900011201,飯野駅前地区体育館,宮崎県えびの市大字原田2176,1,1,,1,,,1,1,1,32.033567,130.872797,
4,E4520900019201,上江地区体育館,宮崎県えびの市大字上江1780-1,1,1,,1,,,1,1,1,32.028676,130.843645,
5,E4520900021201,えびの市文化センター,宮崎県えびの市大字大明司2146-2,1,1,,1,,,1,1,1,32.052309566538,130.82690548921,
6,E4520900022201,中浦自治公民館,宮崎県えびの市大字島内2044-2,1,1,,,,,1,,1,32.043173,130.779485,
7,E4538300002201,揚町ふれあい公園,宮崎県綾町大字南俣1093,1,1,,1,,1,1,1,,31.996863,131.245477,
8,E4538300004201,神下ふれあい公園,宮崎県綾町大字南俣192-3,1,1,,1,,1,1,1,,31.997482,131.263776,
9,E4538300005201,四枝ふれあい公園,宮崎県綾町大字南俣2017-2,1,1,,1,,1,1,1,1,31.997569,131.232116,
10,E4538300006201,中堂運動公園,宮崎県綾町大字南俣2432,1,1,,1,,1,1,1,,32.000583,131.237843,
11,E4538300007201,中堂ふれあい公園,宮崎県綾町大字南俣2534-1,1,1,,1,,1,1,1,1,31.997967,131.240247,
12,E4538300010201,錦原運動公園,宮崎県綾町大字南俣2868,1,1,,1,,1,1,1,,32.002097,131.245497,
13,E4538300012201,中坪ふれあい公園,宮崎県綾町大字南俣333,1,1,,1,,1,1,1,,31.997797,131.256705,
14,E4538300014201,宮谷ふれあい公園,宮崎県綾町大字南俣4375,1,1,,1,,1,1,1,,31.990881,131.244346,
15,E4538300017201,二反野ふれあい公園,宮崎県綾町大字南俣5176-48,,1,,1,,1,,1,,31.9817144033938,131.227897134072,
16,E4538300018201,中央ふれあい公園,宮崎県綾町大字南俣530,1,1,,1,,1,1,1,,31.999872,131.252628,
17,E4538300022201,陣之尾ふれあい公園,宮崎県綾町大字南俣5511-158,,1,,1,,1,,1,1,31.997959,131.212481,
18,E4538300027201,立町ふれあい公園,宮崎県綾町大字南俣796,1,1,,1,,1,1,1,,31.996999,131.251377,
19,E4538300030201,東中坪ふれあい公園,宮崎県綾町大字入野1216-3,1,1,,1,,1,1,1,,31.997752,131.261095,
20,E4538300032201,古屋ふれあい公園,宮崎県綾町大字入野1785,,1,,1,,1,,1,,31.988066,131.256653,
21,E4538300038201,上畑ふれあい公園,宮崎県綾町大字入野4-3,1,1,,1,,1,1,1,,32.000171,131.224561,
22,E4538300037201,入野ふれあい公園,宮崎県綾町大字入野4133-3,1,1,,1,,1,1,1,1,31.999465,131.267767,
23,E4538300039201,宮原ふれあい公園,宮崎県綾町大字入野4748-2,,1,,1,,1,,1,,32.007845,131.272571,
24,E4538300044201,杢道ふれあい公園,宮崎県綾町大字北俣2139,,,,1,,1,,1,,32.014013,131.238565,
25,E4538300045201,錦原馬事公苑,宮崎県綾町大字北俣2687,,,,1,,1,,1,,32.005683,131.241316,
26,E4538300046201,割付ふれあい公園,宮崎県綾町大字北俣2986-1,,1,,1,,1,,1,,32.011491,131.235162,
27,E4538300047201,自然休養村公園,宮崎県綾町大字北俣3739,1,1,,1,,1,1,1,,32.016732,131.244266,
28,E4538300048201,西中坪ふれあい公園,宮崎県綾町大字北俣402-2,1,,,1,,1,1,1,,32.000184,131.257723,
29,E4538300052201,尾立ふれあい公園,宮崎県綾町大字北俣4926-5,,,,1,,1,,1,1,32.017897,131.221538,
30,E4538300054201,麓ふれあい公園,宮崎県綾町大字北俣926-1,1,,,1,,1,1,1,,32.005788,131.253724,
31,E4520300001201,構口町２区公民館西側空地,宮崎県延岡市愛宕山108,,,,,1,,,,,32.558168,131.673332,
32,E4520300002201,愛宕山（伊達メモリードホール西側）,宮崎県延岡市愛宕山5918,,,,,1,,,,,32.562835,131.672486,
33,E4520300003201,伊達公民館裏愛宕山,宮崎県延岡市愛宕山6009,,,,,1,,,,,32.559966,131.673379,
34,E4520300004204,恒富小学校北校舎（２階～３階）,宮崎県延岡市愛宕町1-1-1,,,,,1,,,,,32.570387,131.669854,
35,E4520300004205,恒富小学校　中校舎１階ランチルーム,宮崎県延岡市愛宕町1-1-1,1,,,,,,1,,,32.570041290998,131.66985102255,
36,E4520300004201,恒富小学校グラウンド,宮崎県延岡市愛宕町1-1-1,,,,1,,1,,,,32.570894,131.669581,
37,E4520300004202,恒富小学校南校舎（３階）,宮崎県延岡市愛宕町1-1-1,,,,,1,,,,,32.569791,131.669827,
38,E4520300004203,恒富小学校中校舎（２階～３階）,宮崎県延岡市愛宕町1-1-1,,,,,1,,,,,32.570116,131.669854,
39,E4520300005201,旭興自動車学校練習場,宮崎県延岡市愛宕町3-4569-1,,,,1,,1,,,,32.567621,131.66924,
40,E4520300006203,市営旭ヶ丘北団地元２－２（４階）,宮崎県延岡市旭ケ丘3-4-2,,,,,1,,,,,32.533023,131.679974,
41,E4520300006204,市営旭ヶ丘北団地元２－１（４階）,宮崎県延岡市旭ケ丘3-4-2,,,,,1,,,,,32.53298,131.679817,
42,E4520300006202,市営旭ヶ丘北団地２－２－３（４階～５階）,宮崎県延岡市旭ケ丘3-4-2,,,,,1,,,,,32.532745,131.679884,
43,E4520300006201,市営旭ヶ丘北団地２－２－４（４階）,宮崎県延岡市旭ケ丘3-4-2,,,,,1,,,,,32.532502,131.680021,
44,E4520300008201,旭ヶ丘第２街区公園,宮崎県延岡市旭ケ丘5-9-2,,,,1,,1,,,,32.529863,131.68047,
45,E4520300010202,市営旭ヶ丘南団地６３－２－４（４階）,宮崎県延岡市旭ケ丘6-4-1,,,,,1,,,,,32.527475,131.681055,
46,E4520300010203,市営旭ヶ丘南団地６２－２－３（４階）,宮崎県延岡市旭ケ丘6-4-1,,,,,1,,,,,32.52743076,131.6807535,
47,E4520300010204,市営旭ヶ丘南団地６２－２－２（４階）,宮崎県延岡市旭ケ丘6-4-1,,,,,1,,,,,32.526937,131.68095,
48,E4520300010205,市営旭ヶ丘南団地６２－１－２（４階）,宮崎県延岡市旭ケ丘6-4-1,,,,,1,,,,,32.527202,131.680986,
49,E4520300010207,市営旭ヶ丘南団地６１－１－１（４階）,宮崎県延岡市旭ケ丘6-4-1,,,,,1,,,,,32.526567,131.681362,
50,E4520300010201,市営旭ヶ丘南団地６３－１－３（４階）,宮崎県延岡市旭ケ丘6-4-1,,,,,1,,,,,32.52733,131.6814,
51,E4520300010206,市営旭ヶ丘南団地６１－２－１（４階）,宮崎県延岡市旭ケ丘6-4-1,,,,,1,,,,,32.526866,131.681512,
52,E4520300011201,方平街区（児童）公園,宮崎県延岡市旭町1-2-11,,,,1,,1,,,,32.575828,131.670918,
53,E4520300012201,イオン九州（株）イオン延岡店（３階立体駐車場・屋上駐車場）,宮崎県延岡市旭町2-2-1,,,,,1,,,,,32.57244,131.670042,
54,E4520300013201,旭化成向陽倶楽部（２階建ての屋上）,宮崎県延岡市旭町6-4100,,,,,1,,,,,32.570414,131.672478,
55,E4520300014201,ユーミーひまわり（３階）,宮崎県延岡市粟野名町1538,,,,,1,,,,,32.600494,131.683534,
56,E4520300015201,シェトワＦ（３階）,宮崎県延岡市粟野名町1603,,,,,1,,,,,32.597607,131.682146,
57,E4520300016201,ファミリー三愛　延岡店（３階～７階）,宮崎県延岡市粟野名町1628,,,,,1,,,,,32.598369,131.681582,
58,E4520300017201,ステラマリス（３階）,宮崎県延岡市粟野名町2150-1,,,,,1,,,,,32.599286832678,131.68586499691,
59,E4520300018201,遠田宅敷地内,宮崎県延岡市安井町1322,,,,,1,,,,,32.61268,131.753223,
60,E4520300019201,太田尾宅敷地内,宮崎県延岡市安井町1337-1,,,,,1,,,,,32.612734,131.752694,
61,E4520300020202,旧安井小学校グラウンド,宮崎県延岡市安井町1353,,,,,1,,,,,32.612844,131.751774,
62,E4520300020201,安井小学校跡地,宮崎県延岡市安井町1353,,,,1,,1,,,,32.613096,131.751771,
63,E4520300021201,庄屋の谷,宮崎県延岡市安井町1376-1,,,,,1,,,,,32.611015,131.751286,
