NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E3938600001201,伊野中学校校舎１Ｆから２Ｆ・体育館・運動場,高知県いの町1152,,1,,1,,1,,,1,33.545203,133.43085,
2,E3938600001202,伊野中学校校舎３Ｆ、屋上,高知県いの町1152,1,1,,1,,1,1,,1,33.54515243,133.4298838,
3,E3938600130201,高知県伊野合同庁舎屋上,高知県いの町1381,1,,,,,,1,,,33.54693377,133.4328158,
4,E3938600002201,すこやかセンター伊野多目的広場、駐車場,高知県いの町1400,,1,,1,,1,,,1,33.546950479304,133.43135647667,
5,E3938600005201,是友防災備蓄倉庫防災研修室、屋上、広場,高知県いの町158-2,1,1,,1,,1,1,,1,33.548018,133.443321,
6,E3938600007201,いの町役場立体駐車場,高知県いの町1700,1,1,,,,,1,,,33.548889489084,133.42674844132,
7,E3938600009201,琴平公園,高知県いの町2256-1,1,,,,,,1,,,33.548971756651,133.4281946171,
8,E3938600131201,日本製紙パピリア高知工場大土佐寮（階段踊場、洗濯室、屋上）,高知県いの町2287-1,1,,,,,,1,,,33.55012447,133.4284479,
9,E3938600138201,和光山本願寺,高知県いの町2847,1,,,,,,1,,,33.5511464808594,133.424009014582,
10,E3938600015201,伊野公民館,高知県いの町3597,1,1,,1,,,1,,1,33.54876567214,133.42605969279,
11,E3938600016201,天理教伊野大教会,高知県いの町3645,1,1,,,,,1,,,33.548656255166,133.42408369971,
12,E3938600018201,仁淀川漁協３階会議室,高知県いの町4055-5,,1,,,,,1,,,33.543813934119,133.42673201849,
13,E3938600024201,ＪＡ高知県伊野支所ホール,高知県いの町駅前町221,1,1,,,,,1,,,33.548180295485,133.43083658873,
14,E3938600027201,越裏門小学校運動場,高知県いの町越裏門340-8,,,,1,,1,,,1,33.730255154297,133.23333400488,
15,E3938600029201,吾北運動場,高知県いの町下八川丁3800,,,,1,,1,,,1,33.605407448795,133.2978608311,
16,E3938600030201,旧神谷中学校運動場,高知県いの町加田2479,,,,1,,,,,,33.551664395945,133.39098259326,
17,E3938600136201,旧天理教渦ノ谷布教所,高知県いの町加田2633-1,1,,,,,,1,,,33.55343455,133.4135827,
18,E3938600031201,星神社,高知県いの町加田2896-1,1,,,,,,1,,,33.549204896648,133.39536003314,
19,E3938600033201,観音様,高知県いの町加田429,1,,,,,,1,,,33.549987277466,133.39673332415,
20,E3938600036201,川内小学校運動場,高知県いの町鎌田216,,1,,1,,1,,,1,33.542112672375,133.41894851164,
21,E3938600041202,紙の博物館駐車場,高知県いの町幸町110-1,,1,,1,,1,,,,33.54760244794,133.422942309,
22,E3938600041201,紙の博物館,高知県いの町幸町110-1,1,1,,,,,1,,,33.547859906057,133.42328414089,
23,E3938600137201,西岡酒店社宅（３Ｆから４Ｆの通路、階段及び踊場）,高知県いの町幸町3,1,,,,,,1,,,33.54684406,133.4247534,
24,E3938600044201,サンシャインラヴィーナ駐車場,高知県いの町枝川1133,1,1,,,,,1,,,33.551423722801,133.45342920106,
25,E3938600048201,高知ニュードライバー学院ホール,高知県いの町枝川282,1,1,,,,,1,,,33.554,133.45047,
26,E3938600050201,枝川小学校運動場、体育館,高知県いの町枝川2964-1,1,1,,1,,1,1,,1,33.553855630481,133.45934099312,
27,E3938600052201,伊野商業高等学校運動場,高知県いの町枝川332-1,,1,,1,,1,,,,33.551237065204,133.44578225136,
28,E3938600053201,高知西バイパス管理道,高知県いの町枝川5439,1,1,,1,,1,1,,,33.547886076299,133.45130973419,
