NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E1440100003111,愛川中原中学校,神奈川県愛川町角田210,1,,,35.52872627,139.3257503,
2,E1440100007111,福祉センター,神奈川県愛川町角田257-1,,,,35.53186,139.318893,
3,E1440100019111,高峰小学校,神奈川県愛川町三増767,1,,,35.5348053,139.31196,
4,E1440100020111,神奈川県立愛川高等学校,神奈川県愛川町三増822-1,1,,,35.53196038,139.31753,
5,E1440100023111,中津第二小学校,神奈川県愛川町春日台2-9-1,1,,,35.52439059,139.3296162,
6,E1440100025111,菅原小学校,神奈川県愛川町中津1103,1,,,35.52091897,139.3351267,
7,E1440100027111,愛川東中学校,神奈川県愛川町中津1400,1,,,35.52341074,139.3287266,
8,E1440100030111,中津公民館,神奈川県愛川町中津293-3,,,,35.517814,139.333956,
9,E1440100035111,中津工業団地第１号公園体育館,神奈川県愛川町中津4043,1,,,35.522028,139.341434,
10,E1440100041111,中津小学校,神奈川県愛川町中津544,1,,,35.51194494,139.3334284,
11,E1440100051111,半原小学校,神奈川県愛川町半原2201,1,,,35.53991681,139.2736106,
12,E1421800001111,綾西小学校,神奈川県綾瀬市綾西1-2-1,1,,,35.433481,139.417314,
13,E1421800002111,ながぐつ児童館,神奈川県綾瀬市綾西2-11-14,,,,35.43149,139.415487,
14,E1421800004111,吉岡地区センター,神奈川県綾瀬市吉岡2316,1,,,35.426085,139.412606,
15,E1421800005111,春日台中学校,神奈川県綾瀬市吉岡393-1,1,,,35.422763,139.432488,
16,E1421800006111,天台小学校,神奈川県綾瀬市寺尾台1-3-1,1,,,35.45627,139.418006,
17,E1421800007111,寺尾いずみ会館,神奈川県綾瀬市寺尾台3-6-25,,,,35.459988,139.419703,
18,E1421800008111,綾北福祉会館,神奈川県綾瀬市寺尾中1-3-22,,,,35.458257,139.423288,
19,E1421800009111,寺尾小学校,神奈川県綾瀬市寺尾南1-3-1,1,,,35.447593,139.427643,
20,E1421800010111,綾瀬高等学校,神奈川県綾瀬市寺尾南1-4-1,1,,,35.449302,139.428878,
21,E1421800011111,寺尾児童館,神奈川県綾瀬市寺尾北2-2-1,,,,35.46439,139.420193,
22,E1421800012111,綾北小学校,神奈川県綾瀬市寺尾本町3-10-1,1,,,35.456538,139.426943,
23,E1421800013111,小園児童館,神奈川県綾瀬市小園401-1,,,,35.449969,139.410395,
24,E1421800014111,早園小学校,神奈川県綾瀬市小園420,1,,,35.450377,139.412931,
25,E1421800039111,綾南地区センター,神奈川県綾瀬市上土棚中1-10-11,,,,35.415567,139.448325,
26,E1421800015111,綾南小学校,神奈川県綾瀬市上土棚中1-12-19,1,,,35.418144,139.447211,
27,E1421800016111,綾南保育園,神奈川県綾瀬市上土棚南1-4-17,1,,,35.414834,139.446834,
28,E1421800017111,南部ふれあい会館,神奈川県綾瀬市上土棚南1-5-10,,,,35.415578,139.446311,
29,E1421800018111,土棚小学校,神奈川県綾瀬市上土棚南6-1-1,1,,,35.411397,139.442403,
30,E1421800020111,綾北中学校,神奈川県綾瀬市深谷上4-4-1,1,,,35.449347,139.431953,
31,E1421800022111,中央公民館,神奈川県綾瀬市深谷中1-3-1,,,,35.433871,139.430065,
32,E1421800023111,綾瀬小学校,神奈川県綾瀬市深谷中5-1-1,1,,,35.438895,139.433956,
33,E1421800024111,中村地区センター,神奈川県綾瀬市深谷中5-16-43,,,,35.436478,139.435642,
34,E1421800025111,綾瀬中学校,神奈川県綾瀬市深谷南2-3-1,1,,,35.430644,139.438935,
35,E1421800027111,綾瀬西高等学校,神奈川県綾瀬市早川1485-1,1,,,35.436361,139.41229,
36,E1421800028111,城山中学校,神奈川県綾瀬市早川2230,1,,,35.438854,139.415803,
37,E1421800032111,大上保育園,神奈川県綾瀬市大上6-14-5,,,,35.466532,139.428429,
38,E1421800033111,北の台小学校,神奈川県綾瀬市大上9-14-1,1,,,35.465508,139.434575,
39,E1421800034111,落合小学校,神奈川県綾瀬市落合北3-10-1,1,,,35.421152,139.434723,
40,E1421800035111,北の台中学校,神奈川県綾瀬市蓼川1-2-1,1,,,35.461278,139.435828,
41,E1421800036111,北の台地区センター,神奈川県綾瀬市蓼川2-1-12,,,,35.463944,139.43587,
42,E1420100001111,粟田小学校,神奈川県横須賀市ハイランド2-41-1,1,,,35.2237,139.685036,
43,E1420100001121,粟田小学校,神奈川県横須賀市ハイランド2-41-1,1,,要配慮者及びその家族,35.2237,139.685036,
44,E1420100002111,大楠中学校,神奈川県横須賀市芦名1-2-1,1,,,35.231067,139.615945,
45,E1420100002121,大楠中学校,神奈川県横須賀市芦名1-2-1,1,,要配慮者及びその家族,35.231067,139.615945,
46,E1420100003111,大楠小学校,神奈川県横須賀市芦名1-29-18,,,,35.234016,139.60772,
47,E1420100003121,大楠小学校,神奈川県横須賀市芦名1-29-18,,,要配慮者及びその家族,35.234016,139.60772,
48,E1420100005111,長浦小学校,神奈川県横須賀市安針台3-1,1,,,35.288002,139.645966,
