NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E2321100124201,幸海小学校,愛知県　豊田市幸海町下御堂下切14-1,1,1,,1,,,1,,,35.082823,137.231518,
2,E2323700001201,下萱津コミュニティ防災センター,愛知県あま市下萱津山伏8,1,,,,1,,,,1,35.1815599691114,136.839417843793,
3,E2323700002201,美和文化会館西側駐車場,愛知県あま市花正地先1-1,,,,1,1,1,,,1,35.2044395248592,136.783578578793,
4,E2323700002202,美和文化会館,愛知県あま市花正地先1-1,1,,,,1,1,,,1,35.2040936710162,136.784491247134,
5,E2323700003201,美和保健センター,愛知県あま市花正中之割2,1,,,,1,,,,1,35.2012907095823,136.784281126653,
6,E2323700004201,坂牧コミュニティ防災センター,愛知県あま市坂牧阿原25,1,,,,1,,,,1,35.1829275454957,136.830237082924,
7,E2323700005201,七宝公民館,愛知県あま市七宝町安松小新田2337,1,,,,1,,,,1,35.1713974508964,136.796789833683,
8,E2323700006202,伊福小学校,愛知県あま市七宝町伊福河原28,1,,,,1,,,,1,35.156633553814,136.79395880865,
9,E2323700006201,伊福小学校グラウンド,愛知県あま市七宝町伊福河原28,,,,1,,1,,,1,35.1560152642859,136.793890215487,
10,E2323700007202,七宝総合体育館駐車場,愛知県あま市七宝町伊福宮東3-1,,,,1,1,1,,,1,35.1604282796701,136.79800740667,
11,E2323700007201,七宝総合体育館,愛知県あま市七宝町伊福宮東3-1,1,,,,1,,,,1,35.1606297837036,136.797098342379,
12,E2323700008201,七宝焼アートヴィレッジ,愛知県あま市七宝町遠島十三割2000,1,,,,1,1,,,1,35.1836727708389,136.799225890505,
13,E2323700009201,七宝北中学校グラウンド,愛知県あま市七宝町遠島十坪117,,,,1,1,1,,,1,35.1853432940845,136.798934833945,
14,E2323700009202,七宝北中学校,愛知県あま市七宝町遠島十坪117,1,,,,1,,,,1,35.1856414257812,136.799288885538,
15,E2323700010201,宝小学校グラウンド,愛知県あま市七宝町遠島大切戸1296,,,,1,,1,,,1,35.1826681868456,136.807313713164,
16,E2323700010202,宝小学校,愛知県あま市七宝町遠島大切戸1296,1,,,,1,,,,1,35.1830057881794,136.806584152307,
17,E2323700011201,七宝小学校グラウンド,愛知県あま市七宝町桂角田1777,,,,1,,1,,,1,35.1705426543813,136.797703461397,
18,E2323700011202,七宝小学校,愛知県あま市七宝町桂角田1777,1,,,,1,,,,1,35.1711214849987,136.797692732566,
19,E2323700012201,七宝グラウンド,愛知県あま市七宝町桂弥勒28,,,,1,,1,,,1,35.1645687596121,136.795506197017,
