NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E2542500001111,愛知川公民館,滋賀県愛荘町愛知川13-2,1,,,35.1710725895745,136.211753110464,
2,E2542500002111,愛知川保健センター,滋賀県愛荘町愛知川72,1,,,35.1688023854384,136.212316084464,
3,E2542500003121,福祉センターラポール秦荘いきいきセンター,滋賀県愛荘町安孫子1216-1,1,,要配慮者,35.1725757639456,136.250676904457,
4,E2542500003111,福祉センターラポール秦荘いきいきセンター,滋賀県愛荘町安孫子1216-1,1,,,35.1725485220354,136.250787467727,
5,E2542500004111,秦荘中学校,滋賀県愛荘町安孫子730,1,,,35.1747939789019,136.245944270995,
6,E2542500005111,子育て支援センターあいっ子,滋賀県愛荘町安孫子811-1,1,,,35.1755449968744,136.245538652854,
7,E2542500006111,愛知川小学校,滋賀県愛荘町沓掛480,1,,,35.1789947570748,136.210973207085,
8,E2542500007111,福祉センター愛の郷,滋賀県愛荘町市731,1,,,35.1729077613995,136.210359756516,
9,E2542500007121,福祉センター愛の郷,滋賀県愛荘町市731,1,,要配慮者,35.1727751635124,136.21024979429,
10,E2542500008111,愛知中学校,滋賀県愛荘町市779,1,,,35.1727813695071,136.212837490685,
11,E2542500009111,つくし保育園,滋賀県愛荘町川原680,1,,,35.1902677755407,136.202668747072,
12,E2542500010111,秦荘西小学校,滋賀県愛荘町島川1162,1,,,35.1668217907244,136.230836882119,
13,E2542500011111,秦荘東小学校,滋賀県愛荘町東出25,1,,,35.1774360402219,136.258887786365,
14,E2542500012111,愛知川東小学校,滋賀県愛荘町豊満573,1,,,35.1656965257072,136.21191706876,
15,E2520800001111,栗東市立治田東小学校,滋賀県栗東市安養寺147,1,,,35.0158981794485,136.003235597667,
16,E2520800002121,なごやかセンター,滋賀県栗東市安養寺190,1,,要配慮者,35.0176248566341,136.004180966329,
17,E2520800003111,コミュニティセンター治田東,滋賀県栗東市安養寺205,1,,,35.0176972498871,136.002896691356,
18,E2520800004111,学習支援センター,滋賀県栗東市安養寺3-1-1,1,,,35.021584116132,136.002323326867,
19,E2520800005111,栗東市立栗東中学校,滋賀県栗東市安養寺6-6-15,1,,,35.0193434701071,135.995503512766,
20,E2520800006111,栗東市立治田東こども園,滋賀県栗東市安養寺6-7-12,1,,,35.019892897602,135.996360832031,
21,E2520800010111,栗東市立金勝こども園,滋賀県栗東市御園1009-1,,,,34.9977386661993,136.022496518695,
22,E2520800011111,ＪＲＡ・トレセン厚生会館,滋賀県栗東市御園1028,1,,,35.0009817005189,136.014206027484,
23,E2520800011112,金勝第２保育園,滋賀県栗東市御園1028,1,,,35.0026778523506,136.014281129337,
24,E2520800012111,栗東市立金勝小学校,滋賀県栗東市御園911-1,1,,,34.9969104991856,136.0236852435,
25,E2520800013111,コミュニティセンター金勝,滋賀県栗東市御園982,1,,,34.9969371234583,136.022507038551,
26,E2520800014111,金勝児童館,滋賀県栗東市御園983,1,,,34.9975946890175,136.02311319683,
27,E2520800015111,荒張スポーツ広場,滋賀県栗東市荒張669,1,,,34.9885265306999,136.022944196147,
28,E2520800016112,栗東市立葉山保育園（幼児園）,滋賀県栗東市高野289,1,,,35.0332219815335,136.012434476873,
29,E2520800016111,栗東市立葉山幼稚園（幼児園）,滋賀県栗東市高野289,1,,,35.0330199267823,136.012799257296,
30,E2520800017111,栗東市立葉山小学校,滋賀県栗東市高野310,1,,,35.032824376979,136.013396195321,
31,E2520800018111,葉山児童館,滋賀県栗東市高野568-1,1,,,35.0353092280776,136.012835818809,
32,E2520800019111,コミュニティセンター葉山,滋賀県栗東市高野622-1,1,,,35.0354849229685,136.013350802947,
33,E2520800021111,高野公園,滋賀県栗東市高野727,1,,,35.0355087691762,136.019295138726,
34,E2520800022111,栗東市ひだまりの家,滋賀県栗東市十里399-3,1,,,35.0471045086165,135.96188122115,
35,E2520800024111,大宝西保育園,滋賀県栗東市十里400,1,,,35.0467462513187,135.961999142485,
36,E2520800025111,十里体育館,滋賀県栗東市十里405-1,1,,,35.0464620855947,135.96107726581,
37,E2520800026111,野洲川体育館,滋賀県栗東市出庭2083,1,,,35.0475610863171,136.011710855525,
38,E2520800027121,やすらぎの家,滋賀県栗東市出庭700-1,1,,要配慮者,35.0365519262247,136.004229337795,
39,E2520800032111,治田西スポーツセンター,滋賀県栗東市小柿1-1-11,1,,,35.0260750382561,135.978605970758,
40,E2520800029121,ゆうあいの家,滋賀県栗東市小柿1-10-10,1,,要配慮者,35.0271930952444,135.977380300338,
41,E2520800031111,栗東市立治田西小学校,滋賀県栗東市小柿1-5-21,1,,,35.0260667561578,135.974801081929,
42,E2520800034111,コミュニティセンター治田西,滋賀県栗東市小柿5-1-8,1,,,35.0251071547568,135.974900350412,
43,E2520800036111,栗東市立葉山東小学校,滋賀県栗東市小野320,1,,,35.0231784305822,136.01365993511,
44,E2520800037111,滋賀県立国際情報高等学校,滋賀県栗東市小野36,1,,,35.01765664,136.0184094,
45,E2520800040112,栗東市立葉山東幼稚園（幼児園）,滋賀県栗東市小野465-1,1,,,35.023592,136.012585,
46,E2520800040111,栗東市立葉山東保育園（幼児園）,滋賀県栗東市小野465-1,1,,,35.0235707615378,136.012666180771,
47,E2520800042111,葉山東児童館,滋賀県栗東市小野480-1,1,,,35.0231389985224,136.011485623269,
48,E2520800043111,滋賀県立栗東高等学校,滋賀県栗東市小野618,1,,,35.02252761,136.0066144,
49,E2520800044111,栗東市民体育館,滋賀県栗東市川辺390-1,1,,,35.0168989702736,135.991529792002,
50,E2520800045111,滋賀県立聾唖学校,滋賀県栗東市川辺664,1,,,35.0208946191115,135.9925200151,
51,E2520800046111,栗東市立治田西保育園（幼児園）,滋賀県栗東市中沢1-4-22,1,,,35.0268812396992,135.975742682364,
52,E2520800047111,栗東市立治田西幼稚園（幼児園）,滋賀県栗東市中沢1-6-3,1,,,35.0270262029588,135.975120409871,
53,E2520800050111,コミュニティセンター治田,滋賀県栗東市坊袋161-1,1,,,35.0196422553158,135.983700251409,
54,E2520800052111,栗東市立治田保育園,滋賀県栗東市坊袋162,1,,,35.0194107215212,135.983270186155,
55,E2520800053111,栗東市立治田小学校,滋賀県栗東市坊袋77,1,,,35.0189894863596,135.984319181971,
56,E2520800054111,治田児童館,滋賀県栗東市目川871-1,1,,,35.019340732944,135.981501851225,
57,E2520800055111,栗東市立治田幼稚園,滋賀県栗東市目川871-2,1,,,35.0197405163615,135.981265816836,
58,E2520800056111,栗東市立大宝東小学校,滋賀県栗東市野尻502-1,1,,,35.0379897926233,135.987998012381,
59,E2520800058111,大宝カナリヤ保育園,滋賀県栗東市野尻584,1,,,35.0358281751653,135.985657335801,
60,E2520800059111,栗東市立大宝西小学校,滋賀県栗東市霊仙寺4-2-55,1,,,35.0422572283819,135.966617192212,
61,E2520800060111,コミュニティセンター大宝西,滋賀県栗東市霊仙寺4-2-63,1,,,35.04194900277,135.967839631095,
62,E2520800061111,大宝西児童館,滋賀県栗東市霊仙寺4-2-66,1,,,35.041737912936,135.968114696429,
63,E2520800064111,大宝西幼稚園,滋賀県栗東市霊仙寺5-6-19,1,,,35.0412420122412,135.968777498105,
64,E2520800065111,コミュニティセンター葉山東,滋賀県栗東市六地蔵714-1,1,,,35.0238346068204,136.014885301369,
65,E2520800067111,栗東市立葉山中学校,滋賀県栗東市六地蔵888,1,,,35.0283938299738,136.013988652685,
66,E2520800068111,栗東芸術文化会館さきら,滋賀県栗東市綣2-1-28,1,,,35.0357508185326,135.984096608656,
67,E2520800071111,栗東市立栗東西中学校,滋賀県栗東市綣4-13-47,1,,,35.0357176715936,135.973198434515,
68,E2520800073111,大宝児童館,滋賀県栗東市綣6-13-10,1,,,35.0377739526532,135.977396138732,
69,E2520800074111,栗東市立大宝小学校,滋賀県栗東市綣7-14-19,1,,,35.0384862369909,135.978518939682,
70,E2520800075111,大宝公園,滋賀県栗東市綣7-5-5,1,,,35.0406518285994,135.981502087446,
71,E2520800077111,コミュニティセンター大宝,滋賀県栗東市綣7-9-21,1,,,35.0394070057918,135.979268607592,
72,E2520800079111,大宝こども園,滋賀県栗東市綣8-16-9,1,,,35.0402445528334,135.976202555721,
