NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E4621900001111,羽島交流センター,鹿児島県いちき串木野市羽島5218,1,,,31.75904351,130.2020175,
2,E4621900002111,羽島小学校体育館,鹿児島県いちき串木野市羽島5359,1,,,31.75642742,130.2025094,
3,E4621900003111,土川交流センター,鹿児島県いちき串木野市羽島9675,1,,,31.77870459,130.1813935,
4,E4621900004111,願船寺,鹿児島県いちき串木野市栄町23,1,,,31.71697238,130.2654942,
5,E4621900005111,旧冠岳小学校体育館,鹿児島県いちき串木野市冠岳12844-1,1,,,31.73853129,130.3446049,
6,E4621900006111,冠岳交流センター,鹿児島県いちき串木野市冠岳13511-2,1,,,31.74334444,130.3508917,
7,E4621900007111,芹ケ野公民館,鹿児島県いちき串木野市芹ケ野15367-2,1,,,31.75962529,130.3065889,
8,E4621900008111,旭小学校体育館,鹿児島県いちき串木野市金山14067,1,,,31.75278086,130.2966697,
9,E4621900009111,旭交流センター,鹿児島県いちき串木野市金山14103-1,1,,,31.75300205,130.2970826,
10,E4621900010111,中央交流センター,鹿児島県いちき串木野市元町236,1,,,31.71920212,130.2661155,
11,E4621900011111,荒川小学校体育館,鹿児島県いちき串木野市荒川2347-1,1,,,31.74819224,130.2507183,
12,E4621900012111,荒川交流センター,鹿児島県いちき串木野市荒川2450-1,1,,,31.74812381,130.2510938,
13,E4621900013111,市民文化センター,鹿児島県いちき串木野市昭和通133-1,1,,,31.71442652,130.2712344,
14,E4621900014111,照島小学校体育館,鹿児島県いちき串木野市照島5453-3,1,,,31.70591618,130.2789766,
15,E4621900015111,上名交流センター,鹿児島県いちき串木野市上名2455,,,,31.72309318,130.2888172,
16,E4621900016112,串木野高齢者福祉センター,鹿児島県いちき串木野市新生町183,1,,,31.71019595,130.2652568,
17,E4621900016111,働く女性の家,鹿児島県いちき串木野市新生町183,1,,,31.71002709,130.2651549,
18,E4621900017121,串木野健康増進センター,鹿児島県いちき串木野市新生町183-3,,,避難行動要支援者名簿に登録のあるもの,31.710515,130.265467,
19,E4621900018111,総合体育館,鹿児島県いちき串木野市生福5298-3,1,,,31.71829819,130.2960566,
20,E4621900019111,生冠中学校体育館,鹿児島県いちき串木野市生福8551,1,,,31.7254471,130.3127045,
21,E4621900020111,生福小学校,鹿児島県いちき串木野市生福8605,1,,,31.725596,130.311788,
22,E4621900021111,無量寺,鹿児島県いちき串木野市西島平町375,1,,,31.70786589,130.2709455,
23,E4621900022111,本浦交流センター,鹿児島県いちき串木野市西浜町1-1,1,,,31.717903,130.262704,
24,E4621900023111,川上小学校体育館,鹿児島県いちき串木野市川上1200,1,,,31.71374106,130.3260994,
25,E4621900024111,市来川上郵便局,鹿児島県いちき串木野市川上1215-1,1,,,31.71333301,130.3271525,
26,E4621900025111,川上生活改善センター,鹿児島県いちき串木野市川上1707,1,,,31.71005763,130.3266019,
27,E4621900026111,川上交流センター,鹿児島県いちき串木野市川上978,1,,,31.70941535,130.3220429,
28,E4621900027111,川南交流センター,鹿児島県いちき串木野市大里3246-1,1,,,31.67273172,130.3035223,
29,E4621900028111,市来小学校体育館,鹿児島県いちき串木野市大里3731,1,,,31.6855559,130.2945961,
30,E4621900029111,市来中学校体育館,鹿児島県いちき串木野市大里3764,1,,,31.68632896,130.2933954,
31,E4621900030111,市来体育館,鹿児島県いちき串木野市大里5547-1,1,,,31.68597118,130.2960499,
32,E4621900031111,川北交流センター,鹿児島県いちき串木野市大里5664,1,,,31.67781919,130.3068078,
33,E4621900032111,串木野体育センター,鹿児島県いちき串木野市長崎町91,1,,,31.70892645,130.2665362,
34,E4621900033111,串木野小学校体育館,鹿児島県いちき串木野市日出町536,1,,,31.71867684,130.2777847,
35,E4621900034111,串木野中学校体育館,鹿児島県いちき串木野市日出町700,1,,,31.71848697,130.2798069,
36,E4621900035111,串木野養護学校体育館,鹿児島県いちき串木野市八房1041,1,,,31.70490663,130.2890005,
37,E4621900036111,串木野高等学校体育館,鹿児島県いちき串木野市美住町65,1,,,31.7109765,130.2678162,
38,E4621900037111,串木野西中学校体育館,鹿児島県いちき串木野市平江20226-1,1,,,31.72939259,130.2642091,
