NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E4621900001201,羽島交流センター,鹿児島県いちき串木野市羽島5218,1,,,1,1,,1,,1,31.7590435097547,130.202017509496,
2,E4621900002201,羽島小学校体育館,鹿児島県いちき串木野市羽島5359,1,1,,1,,,1,,1,31.756427424084,130.202509361144,
3,E4621900003201,土川交流センター,鹿児島県いちき串木野市羽島9675,,,,1,,,,,1,31.7787045937093,130.181393466378,
4,E4621900004201,願船寺,鹿児島県いちき串木野市栄町23,1,1,,,1,,1,,1,31.7169723778117,130.265494186596,
5,E4621900005201,旧冠岳小学校体育館,鹿児島県いちき串木野市冠岳12844-1,1,,,1,,,1,,1,31.7385312879101,130.344604906392,
6,E4621900006201,冠岳交流センター,鹿児島県いちき串木野市冠岳13511-2,1,,,,,,1,,1,31.7433444418109,130.350891660544,
7,E4621900007201,芹ケ野公民館,鹿児島県いちき串木野市芹ケ野15367-2,1,1,,1,,,1,,1,31.7596252943859,130.306588894246,
8,E4621900008201,旭小学校体育館,鹿児島県いちき串木野市金山14067,1,,,1,,,1,,1,31.7527808639596,130.296669737761,
9,E4621900009201,旭交流センター,鹿児島県いちき串木野市金山14103-1,1,,,,,,1,,1,31.753002052749,130.297082617686,
10,E4621900010201,中央交流センター,鹿児島県いちき串木野市元町236,1,1,,,,,1,,1,31.7192021219032,130.266115536015,
11,E4621900011201,荒川小学校体育館,鹿児島県いちき串木野市荒川2347-1,1,,,1,1,,1,,1,31.7481922385896,130.25071829424,
12,E4621900012201,荒川交流センター,鹿児島県いちき串木野市荒川2450-1,1,,,,1,,1,,1,31.7481238125559,130.251093803504,
13,E4621900013201,市民文化センター（中央公民館）,鹿児島県いちき串木野市昭和通133-1,1,1,,1,1,,1,,1,31.7144265174114,130.271234361828,
14,E4621900014201,照島小学校体育館,鹿児島県いちき串木野市照島5453-3,1,1,,1,1,,1,,1,31.7059161825383,130.27897661256,
15,E4621900016201,働く女性の家,鹿児島県いちき串木野市新生町183,1,1,,1,1,,1,,1,31.7100270930206,130.265154877596,
