NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E0921400005111,下河戸南多目的集会施設,栃木県さくら市下河戸328-2,1,,,36.759941,140.018847,
2,E0921400006111,葛城公民館,栃木県さくら市葛城1455-1,1,,,36.7056812574834,140.038190838894,
3,E0921400007111,松田多目的集会施設,栃木県さくら市喜連川2489-1,1,,,36.7376716686834,140.008779303127,
4,E0921400008111,西河原公民館,栃木県さくら市喜連川2965-1,1,,,36.7334929746572,140.002830163536,
5,E0921400009111,喜連川小学校,栃木県さくら市喜連川3911,1,,,36.7208899873026,140.025627622659,
6,E0921400010111,道の駅きつれがわ,栃木県さくら市喜連川4145-10,1,,,36.7154244685756,140.03276609747,
7,E0921400012111,旧喜連川高等学校,栃木県さくら市喜連川561,1,,,36.7211200210451,140.035225730514,
8,E0921400013111,喜連川中学校,栃木県さくら市喜連川5691,1,,,36.7316579530434,140.032861791476,
9,E0921400014111,喜連川保健センター,栃木県さくら市喜連川807-8,1,,,36.723101,140.030847,
10,E0921400015111,わくわく保育園,栃木県さくら市喜連川837-1,1,,,36.722570104,140.030926003,
11,E0921400018111,熟田小学校,栃木県さくら市狭間田1702,1,,,36.6850159330188,140.004227477069,
12,E0921400021111,南小学校,栃木県さくら市氏家1061-3,1,,,36.6636321675171,139.962609868688,
13,E0921400024111,氏家小学校,栃木県さくら市氏家2491,1,,,36.686453,139.962738,
14,E0921400027111,氏家体育館,栃木県さくら市氏家2730,1,,,36.686057,139.968822,
15,E0921400028111,さくら清修高等学校,栃木県さくら市氏家2807,1,,,36.6895925670123,139.965756289926,
16,E0921400029111,氏家中学校,栃木県さくら市氏家3243,1,,,36.700702,139.969682,
17,E0921400030111,ふれあい保育園,栃木県さくら市氏家3263-6,1,,,36.7058423636,139.962415235,
18,E0921400031111,上松山小学校,栃木県さくら市氏家3496,1,,,36.7072734581348,139.969399931449,
19,E0921400032111,金鹿体育館,栃木県さくら市鹿子畑1221,1,,,36.7346479000034,140.049290876284,
20,E0921400034111,たいよう保育園,栃木県さくら市松山796-1,1,,,36.70009,140.001183,
21,E0921400042111,河戸体育館,栃木県さくら市上河戸1826,1,,,36.773813,140.00313,
22,E0921400043111,早乙女公民館,栃木県さくら市早乙女860,1,,,36.715306,140.006731,
23,E0921400045111,あおぞら保育園,栃木県さくら市草川42,1,,,36.681815,139.954378,
24,E0921400047111,押上小学校,栃木県さくら市長久保814,1,,,36.714755,139.946544,
25,E0921400048111,女性アグリセンター,栃木県さくら市箱森新田157,1,,,36.716001,139.968882,
26,E0921400050112,穂積体育館,栃木県さくら市穂積478,1,,,36.762202,140.063313,
27,E0921400052111,鷲宿体育館,栃木県さくら市鷲宿6105,1,,,36.750138,139.987731,
28,E0921400054111,氏家保健センター,栃木県さくら市櫻野1319-3,1,,,36.6845025282,139.967545754,
29,E0921400055111,氏家図書館,栃木県さくら市櫻野1321,1,,,36.684912,139.967739,
30,E0921400056111,氏家公民館,栃木県さくら市櫻野1322-8,1,,,36.6850236437,139.968402973,
31,E0921400057111,氏家福祉センター,栃木県さくら市櫻野1329,1,,,36.686596,139.970281,
32,E0920100001121,ゆいの杜小学校,栃木県宇都宮市ゆいの杜3-15-30,1,,要配慮者,36.57149241717,139.99150577094,
33,E0920100001111,ゆいの杜小学校,栃木県宇都宮市ゆいの杜3-15-30,1,,,36.571485441799,139.99138870391,
34,E0920100005111,一条中学校,栃木県宇都宮市一条1-4-7,,,,36.553384832407,139.87997209048,
35,E0920100005121,一条中学校,栃木県宇都宮市一条1-4-7,,,要配慮者,36.553344,139.879917,
36,E0920100010121,豊郷北小学校,栃木県宇都宮市横山町411-3,,,要配慮者,36.618113,139.879403,
37,E0920100010111,豊郷北小学校,栃木県宇都宮市横山町411-3,,,,36.618089168896,139.87945158894,
38,E0920100011121,横川中央小学校,栃木県宇都宮市屋板町1072,,,要配慮者,36.517437,139.894682,
39,E0920100011111,横川中央小学校,栃木県宇都宮市屋板町1072,,,,36.517415508012,139.89457145905,
40,E0920100012121,横川中学校,栃木県宇都宮市屋板町143,,,要配慮者,36.519071,139.903658,
