NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E2040700001111,阿智第一小学校,長野県阿智村駒場143,,,,35.447657,137.746539,
2,E2040700003111,阿智村中央公民館,長野県阿智村駒場468-1,1,,,35.444134,137.748025,
3,E2040700004111,阿智中学校,長野県阿智村伍和173,1,,,35.438685,137.745595,
4,E2040700005111,阿智第二小学校,長野県阿智村伍和4500,1,,,35.425777,137.745557,
5,E2040700006111,伍和公民館,長野県阿智村伍和4555,1,,,35.422778,137.744071,
6,E2040700007111,阿智高等学校第二体育館,長野県阿智村春日2840,1,,,35.447845,137.757869,
7,E2040700008111,下清内路集会所,長野県阿智村清内路122,,,,35.4902171279825,137.704886521518,
8,E2040700011111,上清内路集会所,長野県阿智村清内路2058,,,,35.503942,137.682649,
9,E2040700012111,上清内路諏訪神社,長野県阿智村清内路2451-2,1,,,35.5071719983308,137.678030697927,
10,E2040700013111,清内路公民館,長野県阿智村清内路375-1,,,,35.4893095303892,137.702728478544,
11,E2040700014111,旧清内路中学校・清内路体育館,長野県阿智村清内路762-1,1,,,35.496548,137.704235,
12,E2040700015111,智里東公民館,長野県阿智村智里1050,,,,35.445529,137.718236,
13,E2040700016111,智里西公民館および体育館,長野県阿智村智里4034-2,1,,,35.448408,137.665172,
14,E2040700018111,阿智第三小学校,長野県阿智村智里747,,,,35.447548,137.718515,
15,E2040700019111,浪合コアホール,長野県阿智村浪合1018,,,,35.374149,137.690433,
16,E2040700022111,浪合小学校,長野県阿智村浪合510-1,,,,35.375982,137.692455,
17,E2040400001111,阿南第二中学校体育館,長野県阿南町新野1294,1,,,35.260084,137.748284,
18,E2040400002111,新野小学校体育館,長野県阿南町新野1310,1,,,35.261044,137.74918,
19,E2040400021121,新野デイサービスセンター,長野県阿南町新野28-1,,,,35.272349,137.76075,
20,E2040400005111,阿南少年自然の家,長野県阿南町西條2332,1,,,35.316656089908,137.814304463868,
21,E2040400006111,町民体育館,長野県阿南町西條2360,1,,,35.315861,137.812485,
22,E2040400019121,お元気サルビアの郷,長野県阿南町西條709,,,,35.328902,137.811045,
23,E2040400007111,大下条小学校体育館,長野県阿南町東條1415,1,,,35.323792,137.818547,
24,E2040400008111,阿南第一中学校体育館,長野県阿南町東條435,1,,,35.327898,137.822533,
25,E2040400009111,富草小学校体育館,長野県阿南町富草3920,1,,,35.354835,137.801183,
26,E2040400016121,小規模特別養護老人ホーム太陽の家,長野県阿南町富草4022,,,,35.355492,137.803279,
27,E2040400010111,富草福祉センター,長野県阿南町富草4216,1,,,35.35403,137.799943,
28,E2040400015121,救護施設阿南富草寮,長野県阿南町富草4347-21,,,,35.353445,137.797459,
29,E2040400011111,阿南高等学校体育館,長野県阿南町北條2237,1,,,35.3317460835662,137.834197695513,
30,E2040400017121,特別養護老人ホーム阿南荘,長野県阿南町北條413,,,,35.343879,137.837766,
31,E2040400018121,障がい者支援施設阿南学園,長野県阿南町北條726,,,,35.34356,137.83964,
32,E2040400013111,和合小学校体育館,長野県阿南町和合335,1,,,35.323031,137.750017,
33,E2040400020121,和合高齢者生活福祉センター,長野県阿南町和合897-5,,,,35.320968,137.754418,
34,E2022000011121,三郷南部認定こども園,長野県安曇野市三郷温60-1,1,,,36.24975,137.879063,
35,E2022000017111,三郷小倉多目的研修集会施設,長野県安曇野市三郷小倉3484-1,1,,,36.25951639,137.8476577,
36,E2022000198121,障害者支援施設　アルプス学園,長野県安曇野市三郷小倉6070,,,,36.255406,137.862,
37,E2022000027111,三郷中学校,長野県安曇野市三郷明盛1885-1,1,,,36.26043294,137.8943759,
38,E2022000197121,三郷福祉センター,長野県安曇野市三郷明盛2198-1,,,,36.266058,137.893157,
39,E2022000034121,三郷北部認定こども園,長野県安曇野市三郷明盛3365-1,1,,,36.273757,137.895039,
40,E2022000036111,三郷小学校,長野県安曇野市三郷明盛4742,,,,36.25728059,137.8918301,
41,E2022000037111,三郷文化公園体育館,長野県安曇野市三郷明盛4775-3,,,,36.25907866,137.8932982,
42,E2022000038111,三郷公民館,長野県安曇野市三郷明盛4810-1,,,,36.26026087,137.8914566,
43,E2022000191121,特別養護老人ホーム孝明豊科舘,長野県安曇野市南穂高5771,,,,36.333813,137.909105,
44,E2022000195121,養護老人ホーム　安曇寮,長野県安曇野市穂高4790,,,,36.344383,137.891081,
45,E2022000046111,穂高会館,長野県安曇野市穂高5047,,,,36.34622197,137.8826513,
46,E2022000047111,穂高東中学校,長野県安曇野市穂高5119-2,,,,36.34383514,137.8804706,
47,E2022000193121,穂高地域福祉センター,長野県安曇野市穂高5808-1,,,,36.337925,137.871012,
48,E2022000051111,穂高交流学習センター　みらい,長野県安曇野市穂高6765-2,,,,36.33242988,137.8884993,
49,E2022000052121,穂高幼稚園,長野県安曇野市穂高6802,1,,,36.334164,137.888052,
50,E2022000054111,穂高南小学校,長野県安曇野市穂高7217-1,,,,36.33140385,137.8783362,
51,E2022000058121,穂高認定こども園,長野県安曇野市穂高9175,1,,,36.339332,137.872863,
52,E2022000061111,穂高西小学校,長野県安曇野市穂高柏原2728,,,,36.3223905,137.8711396,
53,E2022000064121,西穂高認定こども園,長野県安曇野市穂高柏原5217,1,,,36.323247,137.872375,
54,E2022000196121,介護老人保健施設　孝穂舘,長野県安曇野市穂高北穂高2531-1,,,,36.353111,137.879569,
55,E2022000074121,有明の森認定こども園,長野県安曇野市穂高有明2105-274,1,,,36.36931,137.848022,
56,E2022000086111,穂高北小学校,長野県安曇野市穂高有明943,,,,36.36459636,137.8650443,
57,E2022000087121,有明あおぞら認定こども園,長野県安曇野市穂高有明9511,1,,,36.350449,137.866404,
58,E2022000088111,穂高西中学校,長野県安曇野市穂高有明9525,,,,36.34713569,137.8660559,
59,E2022000089111,豊科南中学校,長野県安曇野市豊科1487,,,,36.28233603,137.9202864,
