NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E2021700001201,馬坂特農館,群馬県南牧村842-1,1,1,,,,,,1,,36.170777148622,138.6356582756,
2,E2040700002201,阿智第一小学校校庭,長野県阿智村駒場143-1,1,,,1,,1,,,,35.447259,137.746587,
3,E2040700003201,阿智村北側駐車場,長野県阿智村駒場468-1,1,1,,1,,1,,,1,35.444163,137.747617,
4,E2040700004201,阿智中学校校庭,長野県阿智村伍和173,1,,,1,,1,,,1,35.438416,137.746711,
5,E2040700005201,阿智第二小学校校庭,長野県阿智村伍和4500,1,1,,1,,1,,,1,35.425773,137.74648,
6,E2040700006201,伍和公民館駐車場,長野県阿智村伍和4555,1,,,1,,,,,1,35.422713,137.74412,
7,E2040700007201,阿智高等学校校庭,長野県阿智村春日2840,1,1,,1,,1,,,1,35.447041,137.757542,
8,E2040700009201,下清内路集会所前,長野県阿智村清内路124-1,1,1,,1,,,,,,35.490516,137.704874,
9,E2040700010201,上清内路集会所前,長野県阿智村清内路2029-2,1,1,,1,,,,,,35.504051,137.682681,
10,E2040700012201,上清内路諏訪神社境内,長野県阿智村清内路2451-2,1,1,,1,,,,,1,35.507191,137.678014,
11,E2040700014201,清中プラザ駐車場,長野県阿智村清内路762-1,1,1,,1,,1,,,1,35.496008,137.704359,
12,E2040700016201,旧智里西小学校校庭,長野県阿智村智里4034-2,1,1,,1,,1,,,1,35.448131,137.664887,
13,E2040700017201,阿智第三小学校校庭,長野県阿智村智里746-1,1,1,,1,,1,,,,35.447218,137.719079,
14,E2040700020201,浪合コアホール駐車場,長野県阿智村浪合1019,1,1,,1,,1,,,,35.373797,137.690722,
15,E2040700021201,浪合小学校校庭,長野県阿智村浪合505-2,1,,,1,,1,,,,35.375605,137.692348,
16,E2040400001201,阿南第二中学校体育館,長野県阿南町新野1294,,,,1,,,,,1,35.260084,137.748284,
17,E2040400002201,新野小学校体育館,長野県阿南町新野1310,,1,,1,,,,,1,35.261044,137.74918,
18,E2040400002202,新野学校グランド,長野県阿南町新野1310,,,,1,,,,,1,35.260342748382,137.74913644048,
19,E2040400003201,新野ふれあい館,長野県阿南町新野1492,,1,,1,,,,,,35.261057,137.74742,
20,E2040400004201,新野千石平「道の駅」第二駐車場,長野県阿南町新野2688-2,,1,,1,,,,,,35.258135,137.744855,
21,E2040400005201,阿南少年自然の家,長野県阿南町西條2332,,1,,1,,,,,1,35.316656089908,137.81430446387,
22,E2040400006201,町民体育館,長野県阿南町西條2360,,1,,1,,,,,1,35.315861,137.812485,
23,E2040400007202,大下条小学校グランド,長野県阿南町東條1415,,,,1,,,,,1,35.323341360844,137.81811281349,
24,E2040400007201,大下条小学校体育館,長野県阿南町東條1415,,1,,1,,,,,1,35.323792,137.818547,
25,E2040400008201,阿南第一中学校体育館,長野県阿南町東條435,,1,,1,,,,,1,35.327898,137.822533,
26,E2040400008202,阿南第一中学校グランド,長野県阿南町東條435,,,,1,,,,,1,35.327429130865,137.82280615211,
27,E2040400009202,富草小学校グランド,長野県阿南町富草3920,,,,1,,,,,1,35.355177,137.80144,
28,E2040400009201,富草小学校体育館,長野県阿南町富草3920,,1,,1,,,,,1,35.354835,137.801183,
29,E2040400010201,富草福祉センター,長野県阿南町富草4216,,1,,1,,,,,1,35.35403,137.799943,
30,E2040400011201,阿南高等学校体育館,長野県阿南町北條2237,,1,,1,,,,,1,35.331746083566,137.83419769551,
31,E2040400011202,阿南高校グランド,長野県阿南町北條2237,,,,1,,,,,1,35.331272,137.833412,
32,E2040400012201,阿南高校第二グランド,長野県阿南町北條2460,,,,1,,,,,,35.331609,137.831341,
33,E2040400013202,和合小学校グランド,長野県阿南町和合335,,,,1,,,,,1,35.322768,137.75021,
34,E2040400013201,和合小学校体育館,長野県阿南町和合335,,1,,1,,,,,1,35.323031,137.750017,
35,E2040400014201,和合会館,長野県阿南町和合919,,1,,,,,,,,35.32154745771,137.7539288118,
36,E2022000001201,野沢地区公民館,長野県安曇野市三郷温1519,1,1,,1,,,,,,36.244088,137.879614,
37,E2022000002201,三郷農村環境改善センター,長野県安曇野市三郷温2267-2,,1,,1,,,,,,36.254838,137.882756,
38,E2022000003201,ザ・ビッグ三郷店駐車場,長野県安曇野市三郷温2716-1,1,1,,1,,,,,,36.24466,137.88874,
39,E2022000004201,下長尾地区公民館,長野県安曇野市三郷温3188-2,,1,,1,,,,,,36.252496,137.887491,
40,E2022000005201,野沢公園,長野県安曇野市三郷温345,1,1,,1,,,,,,36.242971,137.876389,
41,E2022000006201,上長尾地区公民館,長野県安曇野市三郷温4146-1,,1,,1,,,,,,36.254593,137.875039,
42,E2022000007201,上長尾公園,長野県安曇野市三郷温4188-1,,1,,1,,,,,,36.253894,137.87509,
43,E2022000008201,下長尾公園,長野県安曇野市三郷温438-1,,1,,1,,,,,,36.252914,137.887335,
44,E2022000009201,楡地区公民館,長野県安曇野市三郷温4907-1,1,1,,1,,,,,,36.269247,137.883798,洪水：条件付き指定２階以上の場所
45,E2022000010201,楡農村公園,長野県安曇野市三郷温5934-1,,1,,1,,,,,,36.268448,137.881404,
46,E2022000011201,三郷南部認定こども園,長野県安曇野市三郷温60-1,1,1,,1,,,,,1,36.249816,137.879066,洪水：条件付き指定２階以上の場所
47,E2022000012201,住吉地区公民館,長野県安曇野市三郷温6873-4,,1,,1,,,,,,36.278406,137.880874,
48,E2022000013201,住吉農村公園,長野県安曇野市三郷温7017-1,,1,,1,,,,,,36.280542,137.879279,
49,E2022000014201,南小倉公園,長野県安曇野市三郷小倉1587,1,,,1,,,,,,36.253438,137.840001,
50,E2022000015201,南小倉地区公民館,長野県安曇野市三郷小倉1588-2,1,,,1,,,,,,36.25326,137.839505,
51,E2022000016201,三郷競技場,長野県安曇野市三郷小倉3483-1,1,1,,1,,,,,,36.258881,137.848404,
52,E2022000017201,三郷西部認定こども園,長野県安曇野市三郷小倉3484-1,1,1,,,,,,,1,36.259768,137.848187,
53,E2022000018201,東小倉地区公民館,長野県安曇野市三郷小倉3531-2,1,,,1,,,,,,36.259813,137.852282,
54,E2022000019201,北小倉公園,長野県安曇野市三郷小倉490-1,1,,,1,,,,,,36.262814,137.842322,
55,E2022000020201,北小倉地区公民館,長野県安曇野市三郷小倉519-13,1,,,,,,,,,36.263765,137.844401,
56,E2022000021201,室町地区公民館,長野県安曇野市三郷小倉5249-1,1,1,,1,,,,,,36.244181,137.85791,
57,E2022000022201,室山アグリパーク駐車場,長野県安曇野市三郷小倉6524-1,1,,,1,,,,,,36.251792,137.847654,
58,E2022000023201,三郷東部認定こども園,長野県安曇野市三郷明盛1068-1,1,1,,,,,,,,36.253314,137.898439,
59,E2022000024201,三郷見岳町公園（南）,長野県安曇野市三郷明盛1350-20,,1,,1,,,,,,36.26016323946,137.9042477069,
60,E2022000025201,三郷見岳町公園（北）,長野県安曇野市三郷明盛1500-108,,1,,1,,,,,,36.261700867977,137.90305736442,
61,E2022000026201,一日市場地区公民館,長野県安曇野市三郷明盛1714-2,1,1,,1,,,,,,36.260183,137.898831,洪水：条件付き指定２階以上の場所
62,E2022000027201,三郷体育館,長野県安曇野市三郷明盛1885-1,,1,,1,,,,,1,36.260837,137.893748,
63,E2022000028201,東中萱団地公園,長野県安曇野市三郷明盛2377-10,,1,,1,,,,,,36.274815604473,137.90476543043,
64,E2022000029201,七日市場公園,長野県安曇野市三郷明盛263-2,1,1,,1,,,,,,36.249781,137.903598,
65,E2022000030201,中萱農村公園,長野県安曇野市三郷明盛3198,,1,,1,,,,,,36.274638,137.897478,
66,E2022000031201,貞享義民記念館,長野県安曇野市三郷明盛3209,,1,,1,,,,,,36.273934,137.896778,
67,E2022000032201,七日市場コミュニティセンター,長野県安曇野市三郷明盛333-1,1,1,,1,,,,,,36.248051,137.906667,
68,E2022000033201,中萱地区公民館,長野県安曇野市三郷明盛3344-2,,1,,1,,,,,,36.275328,137.896273,
69,E2022000034201,三郷北部認定こども園,長野県安曇野市三郷明盛3365-1,,1,,1,,,,,1,36.273812133219,137.89487898819,
70,E2022000035201,及木地区公民館,長野県安曇野市三郷明盛4156-1,,1,,,,,,,,36.268567,137.893075,
71,E2022000039201,二木地区公民館,長野県安曇野市三郷明盛4941-1,1,1,,1,,,,,,36.259644,137.886663,洪水：条件付き指定２階以上の場所
72,E2022000040201,一日市場公園,長野県安曇野市三郷明盛70-1,,1,,1,,,,,,36.25689,137.89658,
73,E2022000041201,矢原地区公民館,長野県安曇野市穂高1306-1,1,1,,,,,,,,36.327677,137.897004,洪水：条件付き指定２階以上の場所
74,E2022000042201,白金地区公民館,長野県安曇野市穂高2034-1,,1,,1,,,,,,36.332507,137.899864,
75,E2022000043201,神田町地区公民館,長野県安曇野市穂高2580-2,,1,,1,,,,,,36.338023,137.889303,
76,E2022000044201,等々力地区公民館,長野県安曇野市穂高2721-1,1,1,,1,,,,,,36.339407,137.892913,洪水：条件付き指定２階以上の場所
77,E2022000187201,等々力町地区公民館,長野県安曇野市穂高4351-1,,1,,1,,,,,,36.343813,137.884281,
78,E2022000048201,穂高町地区公民館,長野県安曇野市穂高5960-3,,1,,1,,,,,,36.340763,137.883311,
79,E2022000049201,本郷地区公民館,長野県安曇野市穂高6485-4,,1,,1,,,,,,36.336364,137.879891,
80,E2022000050201,大門地区公民館,長野県安曇野市穂高6651-7,,1,,1,,,,,,36.338443,137.885855,
81,E2022000052201,穂高幼稚園,長野県安曇野市穂高6802,,1,,1,,,,,1,36.334164,137.888052,
82,E2022000053201,穂高商業高等学校,長野県安曇野市穂高6839,1,1,,1,,,,,,36.335463,137.886441,洪水：条件付き指定２階以上の場所
83,E2022000055201,田中地区公民館,長野県安曇野市穂高7366-1,1,1,,1,,,,,,36.328709,137.872679,洪水：条件付き指定２階以上の場所
84,E2022000056201,上原地区公民館,長野県安曇野市穂高7960-4,,1,,1,,,,,,36.326554,137.858276,
85,E2022000057201,西原地区公民館,長野県安曇野市穂高8272-1,,1,,1,,,,,,36.33391,137.866413,
86,E2022000058201,穂高認定こども園,長野県安曇野市穂高9175,,1,,1,,,,,1,36.339307,137.872803,
87,E2022000059201,常念ふれあい公園,長野県安曇野市穂高9434-2,1,1,,1,,,,,,36.330509,137.879789,
88,E2022000060201,柏原地区公民館,長野県安曇野市穂高柏原1449-1,,1,,1,,,,,,36.323897,137.883071,
89,E2022000062201,久保田地区公民館,長野県安曇野市穂高柏原3175-2,,1,,1,,,,,,36.314715,137.864687,
90,E2022000063201,塚原地区公民館,長野県安曇野市穂高柏原4090,1,1,,1,,,,,,36.318012,137.854751,
91,E2022000064201,西穂高認定こども園,長野県安曇野市穂高柏原5217,,1,,1,,,,,1,36.32337,137.872403,
92,E2022000065201,柏矢町地区公民館,長野県安曇野市穂高柏原933-1,,1,,1,,,,,,36.325642,137.890463,
93,E2022000066201,狐島地区公民館,長野県安曇野市穂高北穂高123-1,,1,,1,,,,,,36.347987,137.894701,
94,E2022000067201,島新田地区公民館,長野県安曇野市穂高北穂高1732,,1,,1,,,,,,36.370864,137.876449,
95,E2022000068201,北穂高運動場,長野県安曇野市穂高北穂高2093-2,,1,,1,,,,,,36.358466,137.886751,
96,E2022000069201,青木花見地区公民館,長野県安曇野市穂高北穂高2198,,1,,1,,,,,,36.359116,137.880513,
97,E2022000070201,北穂高認定こども園,長野県安曇野市穂高北穂高494-1,,1,,1,,,,,,36.358455,137.88559,
98,E2022000071201,牧地区公民館,長野県安曇野市穂高牧497,1,1,,1,,,,,,36.328771,137.840678,
99,E2022000072201,ザ・ビッグ穂高店駐車場,長野県安曇野市穂高有明10368-1,,1,,1,,,,,,36.33976,137.8581,
100,E2022000073201,新屋地区公民館,長野県安曇野市穂高有明1402-1,1,1,,,,,,,,36.364891,137.852183,
101,E2022000074201,有明の森認定こども園,長野県安曇野市穂高有明2105-274,,1,,1,,,,,1,36.369366,137.84803,
102,E2022000075201,耳塚地区公民館,長野県安曇野市穂高有明215-1,1,1,,1,,,,,,36.359876,137.864556,
103,E2022000076201,嵩下地区公民館,長野県安曇野市穂高有明2540-1,,1,,1,,,,,,36.354888,137.853179,
104,E2022000077201,小岩嶽地区公民館,長野県安曇野市穂高有明3042,1,1,,1,,,,,,36.355165,137.838586,
