NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E0241200001123,デイサービスセンター阿光坊の郷,青森県おいらせ町阿光坊105-110,,,高齢者（要介護1以上）,40.6071043268694,141.370602845327,
2,E0241200001121,特別養護老人ホーム阿光坊の郷,青森県おいらせ町阿光坊105-110,,,高齢者（要介護1以上）,40.6071857791352,141.370543836721,
3,E0241200001122,ショートステイ阿光坊の郷,青森県おいらせ町阿光坊105-110,,,高齢者（要介護1以上）,40.6070432376043,141.370618938574,
4,E0241200006111,甲洋小学校,青森県おいらせ町一川目4-6-10,1,,,40.6452713069055,141.438604065447,
5,E0241200007111,みなくる館,青森県おいらせ町下前田145-1,1,,,40.6043961855097,141.43358742447,
6,E0241200008121,おいらせ町社会福祉協議会デイサービスセンター,青森県おいらせ町下前田158-1,1,,高齢者（要介護1以上）,40.604487911202,141.434767411452,
7,E0241200008111,いきいき館,青森県おいらせ町下前田158-1,1,,,40.604579548582,141.434638665418,
8,E0241200009111,下田小学校,青森県おいらせ町舘越38-1,1,,,40.5972993800235,141.373493270604,
9,E0241200011111,百石小学校,青森県おいらせ町牛込平20-1,1,,,40.6015854673034,141.437245207255,
10,E0241200014121,デイサービスセンター木崎野,青森県おいらせ町向山東2-2-1262,,,高齢者（要介護1以上）,40.6303539721374,141.392128971434,
11,E0241200015122,特別養護老人ホーム木崎野荘,青森県おいらせ町向山東2-2-1263,,,高齢者（要介護1以上）,40.6308995105289,141.392204073278,
12,E0241200015121,ショートステイ特別養護老人ホーム木崎野荘,青森県おいらせ町向山東2-2-1263,,,高齢者（要介護1以上）,40.6304191112852,141.392300632811,
13,E0241200016111,老人福祉センター,青森県おいらせ町向川原3-12,,,,40.5979798153219,141.401809034524,
14,E0241200022122,介護老人保健施設しもだ,青森県おいらせ町山崎2592-7,,,高齢者（要介護1以上）,40.6137848842494,141.401625189208,
15,E0241200022121,グループホームわたぼうし,青森県おいらせ町山崎2592-7,,,高齢者（認知症　日常生活自立度Ⅲ以上）,40.6141758151378,141.401930961034,
16,E0241200023121,有料老人ホームしらとり荘,青森県おいらせ町山崎2595-1,,,高齢者（要介護1以上）,40.6132514227854,141.40182367268,
17,E0241200031111,いちょう公園体育館,青森県おいらせ町沼端14-161,1,,,40.6080164522922,141.437713849086,
18,E0241200032112,いちょう公園交流館,青森県おいらせ町沼端14-165,1,,,40.6075434567703,141.439525895615,
19,E0241200032111,勤労者研修センター,青森県おいらせ町沼端14-165,1,,,40.6078774082363,141.4389840894,
20,E0241200033121,デイサービスセンターたんぽぽ,青森県おいらせ町沼端370-1,,,高齢者（要介護1以上）,40.6120829006798,141.446533467178,
21,E0241200033123,特別養護老人ホーム百石荘,青森県おいらせ町沼端370-1,,,高齢者（要介護1以上）,40.6121073345496,141.44605066956,
22,E0241200033122,ショートステイ百石荘,青森県おいらせ町沼端370-1,,,高齢者（要介護1以上）,40.611211420145,141.445385481725,
23,E0241200034121,ケアハウス百石荘ゆうゆう庵,青森県おいらせ町沼端377-1,,,高齢者（要介護1以上）,40.6118609753903,141.445996471288,
24,E0241200035111,木ノ下中学校,青森県おいらせ町上久保22-2,1,,,40.6457514902163,141.377714415649,
25,E0241200037121,住宅型有料老人ホームマリーゴールド,青森県おいらせ町上久保61-161,,,高齢者（要介護1以上）,40.651793,141.378439,
26,E0241200038121,医療法人正恵会石田温泉病院デイケアセンターわの里,青森県おいらせ町上前田21-1,,,高齢者（要介護1以上）,40.6026904676978,141.431612901954,
27,E0241200038122,医療法人正恵会ショートステイいしだ,青森県おいらせ町上前田21-1,,,高齢者（要介護1以上）,40.6022017197404,141.431709461469,
28,E0241200038123,療養医療施設医療法人正恵会石田温泉病院,青森県おいらせ町上前田21-1,,,高齢者（要介護1以上）,40.6023239070655,141.431366138716,
