NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E4721300003111,具志川商業高等学校　体育館,沖縄県うるま市みどり町6-10-1,,,,26.381031,127.853796,
2,E4721300071121,健康福祉センターうるみん,沖縄県うるま市安慶名1-8-1,,,高齢者、障がい者、乳幼児その他の特に配慮を要する者,26.373714,127.854236,
3,E4721300007111,あげな中学校,沖縄県うるま市安慶名2-18-37,,,,26.377753,127.850058,
4,E4721300010111,具志川中学校,沖縄県うるま市喜屋武591,,,,26.360611,127.841171,
5,E4721300012111,兼原小学校,沖縄県うるま市喜屋武66,,,,26.363303,127.85031,
6,E4721300014111,具志川高等学校　体育館,沖縄県うるま市喜仲3-28-1,,,,26.353408,127.844365,
7,E4721300019111,中原小学校,沖縄県うるま市宮里731,,,,26.351162,127.833795,
8,E4721300072121,具志川ドーム,沖縄県うるま市具志川2336,,,高齢者、障がい者、乳幼児その他の特に配慮を要する者,26.359814,127.866832,
9,E4721300020111,具志川東中学校,沖縄県うるま市具志川2803,,,,26.362885,127.861107,
10,E4721300026111,津堅小中学校,沖縄県うるま市勝連津堅1327,,,,26.248353,127.935911,
11,E4721300028111,勝連小学校　体育館,沖縄県うるま市勝連内間1173,,,,26.316507,127.899547,
12,E4721300030111,与勝中学校,沖縄県うるま市勝連南風原3615,,,,26.328774,127.883749,
13,E4721300032111,旧比嘉小学校特別教室棟,沖縄県うるま市勝連比嘉620,,,,26.32325,127.960753,
14,E4721300033111,与勝高等学校　体育館,沖縄県うるま市勝連平安名3248,,,,26.313055,127.895649,
15,E4721300037111,平敷屋小学校,沖縄県うるま市勝連平敷屋3850,,,,26.307013,127.918117,
16,E4721300039111,あげな小学校,沖縄県うるま市西原151,,,,26.375322,127.848791,
17,E4721300041111,伊波小学校,沖縄県うるま市石川伊波287,,,,26.416954161632,127.82122086774,
18,E4721300042111,石川高等学校　体育館,沖縄県うるま市石川伊波861,,,,26.414812,127.820292,
19,E4721300050111,伊波中学校,沖縄県うるま市石川東恩納993,,,,26.407438,127.822199,
20,E4721300058111,赤道小学校　体育館,沖縄県うるま市赤道921,,,,26.363437,127.83192,
21,E4721300060111,中部農林高等学校　体育館,沖縄県うるま市田場1570,,,,26.371212,127.854407,
22,E4721300061111,前原高等学校　体育館,沖縄県うるま市田場1827,,,,26.372332,127.862647,
23,E4721300062111,田場小学校,沖縄県うるま市田場713,,,,26.365572,127.862449,
24,E4721300073111,伊計公民館,沖縄県うるま市与那城伊計237,,,,26.386655,127.993379,
25,E4721300074111,宮城島コミュニティ防災センター,沖縄県うるま市与那城宮城122-2,,,,26.368552,127.984427,
26,E4721300066111,島しょ地域交流施設,沖縄県うるま市与那城宮城163,,,,26.371215,127.985255,
27,E4721300070111,与勝第二中学校,沖縄県うるま市与那城饒辺153,,,,26.31479,127.907249,
28,E4735500001111,西地区農村集落総合管理施設,沖縄県粟国村字西165,1,,,26.58354453,127.2230744,
29,E4735500002111,ビジターセンター,沖縄県粟国村字東1142,1,,,26.58211359,127.2333999,
30,E4735500004111,東ふれあいセンター,沖縄県粟国村字東1981,1,,,26.58513003,127.2287044,
31,E4735500005112,粟国村役場,沖縄県粟国村字東483,1,,,26.58176,127.228859,
32,E4736000003111,伊是名区ふるさとの村宿泊交流施設,沖縄県伊是名村字伊是名739-1,1,,,26.91649,127.933356,
33,E4736000005111,諸見地区交流促進センター,沖縄県伊是名村字諸見4947,1,,,26.932403,127.947534,
34,E4736000014111,伊是名村臨海ふれあい公園,沖縄県伊是名村字諸見565-4,1,,,26.931526,127.953258,
35,E4736000007111,勢理客区ふるさとの村宿泊交流施設,沖縄県伊是名村字勢理客2621-12,1,,,26.93236,127.924402,
36,E4736000011111,伊是名村立伊是名幼稚園,沖縄県伊是名村字仲田1162-2,1,,,26.930342,127.942014,
37,E4736000012111,伊是名村立伊是名小学校,沖縄県伊是名村字仲田1163,1,,,26.92949,127.94159,
38,E4736000013111,伊是名村立伊是名中学校,沖縄県伊是名村字仲田1344,1,,,26.926487,127.94145,
39,E4736000009111,伊是名村保健センター,沖縄県伊是名村字仲田1385-1,1,,,26.924512,127.941316,
40,E4736000009112,伊是名村産業支援センター,沖縄県伊是名村字仲田1385-1,1,,,26.924148,127.940753,
41,E4736000004111,仲田地区農村総合管理施設,沖縄県伊是名村字仲田144-1,1,,,26.924823,127.949894,
42,E4736000010111,伊是名村立保育所,沖縄県伊是名村字仲田1687,1,,,26.924904,127.94078,
43,E4736000008111,伊是名村役場,沖縄県伊是名村字仲田1687-22,1,,,26.923693,127.941322,
44,E4736000002121,特別養護老人ホーム　チヂン園,沖縄県伊是名村字仲田1687-51,,,要配慮者,26.922234,127.943523,
45,E4736000002122,短期入所生活介護事業所　チヂン園,沖縄県伊是名村字仲田1687-51,,,要配慮者,26.922234,127.943523,
46,E4736000006111,内花区地域活動拠点活性化施設,沖縄県伊是名村字内花3051-56,1,,,26.948825,127.93961,
47,E4720800008111,浦城小学校,沖縄県浦添市伊祖2-13-1,1,,,26.2537670597095,127.71716653094,
48,E4720800009121,浦城っ子児童センター,沖縄県浦添市伊祖2-13-2,,【対象とする災害種別】 津波／高潮／土砂災害等,要配慮者,26.2539581221902,127.715459028052,
49,E4720800012111,浦添商業高等学校,沖縄県浦添市伊祖3-11-1,1,,,26.2590504592964,127.72041046944,
50,E4720800014121,若草児童センター,沖縄県浦添市伊祖3-44-1,,【対象とする災害種別】 津波／高潮／土砂災害等,要配慮者,26.2594767469825,127.721181981746,
51,E4720800018111,仲西中学校,沖縄県浦添市屋富祖2-13-1,1,,,26.2501606122415,127.709841732145,
52,E4720800019111,仲西小学校,沖縄県浦添市屋富祖2-32-1,1,,,26.2501514361507,127.706941513049,
53,E4720800023121,宮城ヶ原児童センター,沖縄県浦添市宮城2-4-1,,【対象とする災害種別】 津波／高潮,要配慮者,26.2492666427134,127.70706836062,
54,E4720800027111,宮城小学校,沖縄県浦添市宮城3-7-3,1,,,26.2469930870197,127.706481236105,
55,E4720800028121,みやぎ希望の森コミュニティセンター,沖縄県浦添市宮城3-7-3-1,,【対象とする災害種別】 津波／高潮／土砂災害等,要配慮者,26.2470469484007,127.706966581031,
56,E4720800032121,経塚ゆいまーるセンター,沖縄県浦添市経塚1-17-1,,【対象とする災害種別】 津波／高潮,要配慮者,26.2402587181403,127.722447791614,
57,E4720800034111,港川中学校,沖縄県浦添市港川1-1-1,1,,,26.2613802701895,127.718252558105,
58,E4720800052111,港川小学校,沖縄県浦添市城間4-37-1,1,,,26.2609810486837,127.716018783056,
59,E4720800056121,森の子児童センター,沖縄県浦添市勢理客1-4-1,1,【対象とする災害種別】 津波／高潮／土砂災害等,要配慮者,26.2426022435549,127.699738473497,
60,E4720800056111,神森小学校,沖縄県浦添市勢理客1-4-1,1,,,26.2419286306778,127.699684829316,
61,E4720800062121,西原児童センター,沖縄県浦添市西原4-9-1,,【対象とする災害種別】 津波／高潮／土砂災害等,要配慮者,26.2506039170738,127.744054781602,
62,E4720800072121,前田ユブシが丘児童センター,沖縄県浦添市前田323,,【対象とする災害種別】 津波／高潮／土砂災害等,要配慮者,26.2392481462181,127.735187341085,
63,E4720800073111,前田小学校,沖縄県浦添市前田333,1,,,26.2389937544537,127.734394627954,
64,E4720800076121,沖縄県立大平特別支援学校,沖縄県浦添市大平1-27-1,,【対象とする災害種別】 津波／高潮／土砂災害等,要配慮者,26.2479704558588,127.712133039087,
65,E4720800084111,沢岻小学校,沖縄県浦添市沢岻998,1,,,26.2367126501012,127.716981313995,
66,E4720800087111,浦添中学校,沖縄県浦添市仲間2-46-1,1,,,26.2459656348702,127.727297502901,
67,E4720800088111,浦添小学校,沖縄県浦添市仲間2-47-1,1,,,26.2469714664273,127.729753792416,
68,E4720800089121,うらそえぐすく児童センター,沖縄県浦添市仲間2-47-5,,【対象とする災害種別】 津波／高潮／土砂災害等,要配慮者,26.2454356920041,127.729309436,
69,E4720800096111,当山小学校,沖縄県浦添市当山2-34-1,1,,,26.2519464107334,127.733407243695,
70,E4720800098111,浦西中学校,沖縄県浦添市当山3-1-1,1,,,26.2484993397424,127.735763827804,
71,E4720800100111,神森中学校,沖縄県浦添市内間1-6-1,1,,,26.2393349222619,127.707081739076,
72,E4720800103111,浦添高等学校,沖縄県浦添市内間3-26-1,1,,,26.237673495003,127.70293358946,
73,E4720800104121,内間児童センター,沖縄県浦添市内間3-28-12,,【対象とする災害種別】 津波／高潮／土砂災害等,要配慮者,26.2369139874365,127.702225194278,
74,E4720800106111,内間小学校,沖縄県浦添市内間4-3-1,1,,,26.2390708475873,127.704450415587,
75,E4720800110111,牧港小学校,沖縄県浦添市牧港2-14-1,1,,,26.2592977724486,127.724517747759,
76,E4720800112121,まちなと児童センター,沖縄県浦添市牧港2-38-2,,【対象とする災害種別】 津波／高潮／土砂災害等,要配慮者,26.2633570072451,127.72456453881,
77,E4720800115121,浦添市障がい者福祉関連複合施設ピアラルうらそえ,沖縄県浦添市牧港4-5-10,,【対象とする災害種別】 高潮／土砂災害等,要配慮者,26.264548,127.728247,
78,E4721100003111,越来保育所,沖縄県沖縄市越来1-11-9,,,,26.340602771024,127.81008003796,
79,E4721100004111,越来中学校,沖縄県沖縄市越来1-2-1,1,,,26.341467,127.812485,
80,E4721100005111,越来小学校,沖縄県沖縄市越来1-2-2,1,,,26.342928284962,127.81230852188,
81,E4721100006111,美来工科高等学校,沖縄県沖縄市越来3-17-1,1,,,26.348109,127.8094,
82,E4721100010111,島袋小学校,沖縄県沖縄市久保田2-21-1,1,,,26.324498733417,127.79769360139,
83,E4721100011111,宮里小学校,沖縄県沖縄市宮里3-27-1,1,,,26.338385,127.822531,
84,E4721100012111,諸見小学校,沖縄県沖縄市胡屋2-3-1,1,,,26.332867,127.799877,
85,E4721100013111,コザ中学校,沖縄県沖縄市胡屋3-38-1,1,,,26.331819,127.804157,
86,E4721100014111,美東中学校（津波除く）,沖縄県沖縄市高原5-12-1,1,,,26.322605547772,127.82470898556,
87,E4721100015111,高原小学校（津波除く）,沖縄県沖縄市高原5-12-2,1,,,26.323119,127.825835,
88,E4721100017111,福祉文化プラザ（津波除く）,沖縄県沖縄市高原7-35-1,,,,26.32065852647,127.82602135191,
89,E4721100018111,山内中学校,沖縄県沖縄市山内2-20-1,1,,,26.32291,127.784769,
90,E4721100019111,山内小学校,沖縄県沖縄市山内2-32-2,1,,,26.324502799446,127.78336949605,
91,E4721100022111,沖縄市体育館,沖縄県沖縄市諸見里2-1-1,,,,26.332678092724,127.78689527011,
92,E4721100024111,美里高等学校,沖縄県沖縄市松本2-5-1,1,,,26.354731415817,127.81912954835,
93,E4721100025111,コザ高等学校,沖縄県沖縄市照屋5-5-1,1,,,26.331938524448,127.81886219771,
94,E4721100026111,中の町小学校,沖縄県沖縄市上地3-4-1,1,,,26.333605,127.793487,
95,E4721100027111,美里中学校,沖縄県沖縄市知花1-24-1,1,,,26.359954195725,127.81725742332,
