NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E0720400440111,江名中学校,福島県いわき市永崎字館1,1,,,36.959174858564,140.94093693107,
2,E0720400441111,旧県立いわき湯本高等学校遠野校舎,福島県いわき市遠野町上遠野字赤坂10-1,1,,,37.004471142703,140.74089834157,
3,E0720400006121,高砂荘,福島県いわき市遠野町上遠野字沢繁16-17,,,要配慮者,37.005650322084,140.78303682061,
4,E0720400007121,やしおみ荘,福島県いわき市遠野町上遠野字堀切27,,,要配慮者,37.010290747313,140.74609074168,
5,E0720400008111,遠野小学校,福島県いわき市遠野町上遠野字本町68,1,,,37.009321243329,140.7474319792,
6,E0720400005112,入遠野中学校,福島県いわき市遠野町上根本字荒神平20,1,,,37.032351023385,140.71685803746,
7,E0720400010121,ふじみの園,福島県いわき市遠野町上根本字白坂384-1,,,要配慮者,37.031650370647,140.72586333517,
8,E0720400011111,大平公民館,福島県いわき市遠野町大平字物見岡77,,,,37.019273618685,140.70356461156,
9,E0720400012111,下滝集会所,福島県いわき市遠野町滝字おもて9-1,,,,36.980729001076,140.73584729869,
10,E0720400004111,旧入遠野小学校,福島県いわき市遠野町入遠野字前田142,1,,,37.036876484579,140.70770646829,
11,E0720400015111,入遠野公民館,福島県いわき市遠野町入遠野字前田38-1,,,,37.035014431677,140.70869084988,
12,E0720400018111,久之浜第一小学校,福島県いわき市久之浜町久之浜字糠塚3-1,1,,,37.14340307605,140.99309364524,
13,E0720400444111,久之浜中学校,福島県いわき市久之浜町久之浜字大場72-1,1,,,37.145054494893,140.98751288526,
14,E0720400024111,福島県いわき海浜自然の家体育館,福島県いわき市久之浜町田之網字向山53,1,,,37.121924308399,140.98661075672,
15,E0720400024121,福島県いわき海浜自然の家,福島県いわき市久之浜町田之網字向山53,1,,要配慮者,37.121526515191,140.98707746109,
16,E0720400021121,翠祥園,福島県いわき市久之浜町末続字深谷33-1,1,,要配慮者,37.166558786367,140.99972240954,
17,E0720400019111,末続集会所,福島県いわき市久之浜町末続字鍋田49-2,1,,,37.1786721787289,140.991471826031,
18,E0720400029111,郷ケ丘小学校,福島県いわき市郷ケ丘3-50-18,1,,,37.029284602664,140.91280971959,
19,E0720400032111,江栗公民館,福島県いわき市錦町鬼越下69-2,,,,36.912215681254,140.77178359371,
20,E0720400034121,南部アリーナ,福島県いわき市錦町細谷102-58,1,,要配慮者,36.914219446093,140.76540441098,
21,E0720400034111,南部アリーナ,福島県いわき市錦町細谷102-58,1,,,36.914219446093,140.76540441098,
22,E0720400036111,勿来体育館・錦公民館,福島県いわき市錦町中迎1-12-1,,,,36.906145989181,140.7935110601,
23,E0720400038111,錦小学校,福島県いわき市錦町鳥居東1-1,1,,,36.910804868977,140.78768677464,
24,E0720400448111,錦中学校,福島県いわき市錦町飯盛町1-1,1,,,36.902479533923,140.78816069611,
25,E0720400040121,ガーデニア,福島県いわき市錦町落合1-1,,,要配慮者,36.900526046662,140.78248754317,
26,E0720400041121,佳勝園,福島県いわき市金山町月見台134-1,,,要配慮者,36.924985593709,140.83127615536,
27,E0720400043111,金山公民館（旧いわき市勿来勤労青少年ホーム）,福島県いわき市金山町朝日台1-1,,,,36.928877581552,140.82004228765,
28,E0720400046111,さくら保育園,福島県いわき市好間町下好間字沼田112,1,,,37.059419798771,140.86191115832,
29,E0720400047121,つばさ,福島県いわき市好間町下好間字大館173-1,,,要配慮者,37.058332427853,140.87525615908,
30,E0720400048111,好間第二小学校,福島県いわき市好間町今新田字手倉2,1,,,37.066933418542,140.87631592183,
31,E0720400049111,小谷作集会所,福島県いわき市好間町小谷作字作畑181,,,,37.064319713942,140.86672906111,
32,E0720400449111,好間中学校,福島県いわき市好間町小谷作字竹ノ内1-1,1,,,37.068020720051,140.86151654616,
33,E0720400051111,内ノ草集会施設,福島県いわき市好間町上好間字内ノ草74-1,,,,37.061268222239,140.83627822343,
34,E0720400451111,好間第一小学校,福島県いわき市好間町上好間字馬場前14,1,,,37.067494798733,140.85123247158,
35,E0720400053111,好間第四小学校,福島県いわき市好間町大利字戸作田65,1,,,37.07546035063,140.80449725283,
36,E0720400055111,大利集会所,福島県いわき市好間町大利字道内147-4,,,,37.078401413562,140.80365684809,
37,E0720400056111,好間公民館,福島県いわき市好間町中好間字中川原29-1,,,,37.06328496948,140.85695857963,
