NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E1620600001201,滑川中学校,富山県滑川市下島54,1,1,1,1,1,,,,1,36.75506786,137.3403253,
2,E1620600002201,下梅沢テニスコート,富山県滑川市下梅沢31-1,1,1,1,1,1,,,,1,36.74674969,137.3437676,
3,E1620600002202,西加積地区公民館,富山県滑川市下梅沢31-1,1,1,1,1,1,,,,1,36.7469894,137.3433662,
4,E1620600003201,西地区コミュニティホール（滑川西地区公民館）,富山県滑川市加島町194,,1,1,1,1,,,,1,36.76039958,137.3336211,
5,E1620600004201,田中小学校,富山県滑川市加島町207,1,1,1,1,1,,,,1,36.75954963,137.333855,「洪水」は2階以上
6,E1620600005201,滑川高等学校,富山県滑川市加島町45,1,1,1,1,1,,,,1,36.7590012,137.3313478,「洪水」は2階以上
7,E1620600007201,浜加積地区公民館,富山県滑川市曲渕333,1,1,1,1,1,,,,1,36.77550644,137.3634532,
8,E1620600008201,同朋保育園,富山県滑川市吾妻町357-6,1,1,1,1,1,,,,1,36.76775007,137.3409534,
9,E1620600009201,駅前中央公園,富山県滑川市吾妻町426,1,1,1,1,1,,,,1,36.767962,137.3442737,
10,E1620600009202,滑川市民交流プラザ（３階・４階部分）,富山県滑川市吾妻町426,1,1,1,1,1,,,,1,36.76850946,137.3449446,
11,E1620600009203,滑川市立図書館,富山県滑川市吾妻町426,1,1,1,1,1,,,,1,36.76750175,137.3442875,
12,E1620600009204,滑川東地区公民館,富山県滑川市吾妻町426,1,1,1,1,1,,,,1,36.76722673,137.3444887,
13,E1620600010201,フットボールセンター富山,富山県滑川市高月町129,,1,1,1,1,,,,1,36.75790646,137.3223086,「津波」は2階以上
14,E1620600011201,認定こども園たかつき保育園,富山県滑川市高月町72,,1,1,1,1,,,,1,36.7573672314493,137.326033632123,
15,E1620600012201,東部小学校,富山県滑川市四ツ屋134,1,1,1,1,1,,,,1,36.77545884,137.3747164,
16,E1620600013201,滑川コミュニティ防災センター,富山県滑川市四間町690-1,1,1,1,1,1,,,,1,36.76519984,137.3430761,
17,E1620600014201,滑川市民会館大ホール,富山県滑川市寺家町104,,1,1,1,1,,,,1,36.76386235,137.3410854,
18,E1620600015201,寺家小学校,富山県滑川市寺家町98,1,1,1,1,1,,,,1,36.76547468,137.3406262,「洪水」は2階以上
19,E1620600016201,中加積保育園,富山県滑川市小林69,1,1,1,1,1,,,,1,36.73964921,137.3652971,
20,E1620600017201,行田公園グラウンド,富山県滑川市上小泉,,1,1,1,1,,,,,36.76059811,137.3496526,
21,E1620600018201,希望幼稚園,富山県滑川市上小泉2005,1,1,1,1,1,,,,1,36.75904211,137.3430116,
22,E1620600019201,滑川市社会福祉センター,富山県滑川市上小泉412-2,1,1,1,1,1,,,,1,36.76111566,137.3494832,
23,E1620600020201,認定こども園上小泉保育園,富山県滑川市上小泉668,1,1,1,1,1,,,,1,36.75791315,137.3475299,
24,E1620600021201,児童館,富山県滑川市上小泉800,1,1,1,1,1,,,,1,36.760995031328,137.3475121878,
25,E1620600022201,西部小学校,富山県滑川市上島471,1,1,1,1,1,,,,1,36.75094284,137.3492417,
26,E1620600023201,同朋幼稚園,富山県滑川市常盤町630,1,1,1,,1,,,,1,36.7687705,137.343459,
27,E1620600024201,地域交流センター「青志会館」,富山県滑川市清水町13-9,1,1,1,1,1,,,,1,36.76501094,137.3448474,「洪水」は2階以上
28,E1620600025201,中加積地区公民館,富山県滑川市赤浜573,1,1,1,1,1,,,,1,36.73471185,137.3640027,
29,E1620600027201,南部小学校,富山県滑川市赤浜727,1,1,1,1,1,,,,1,36.736067,137.3683235,
30,E1620600028201,東加積コミュニティセンター（東加積地区公民館）,富山県滑川市大崎野244,1,1,1,1,1,,,,1,36.74971189,137.3996555,
31,E1620600029201,東加積小学校,富山県滑川市大崎野45,1,1,1,1,1,,,,1,36.7453655,137.3956495,
32,E1620600030201,幼保連携型きたかづみ認定こども園,富山県滑川市大島新509-1,1,1,1,1,1,,,,1,36.75954569,137.3752592,
33,E1620600031201,北加積小学校,富山県滑川市中塚425,1,1,1,1,1,,,,1,36.75873559,137.3755783,
34,E1620600032201,北加積コミュニティ防災センター（北加積地区公民館）,富山県滑川市中塚432,1,1,1,1,1,,,,1,36.75923003,137.3750627,
35,E1620600033201,早月中学校,富山県滑川市中野島1260,1,1,1,1,1,,,,1,36.76424068,137.3684608,
36,E1620600034201,滑川市ゲートボール場,富山県滑川市中野島2410,1,1,1,1,1,,,,,36.76517817,137.3711533,
37,E1620600035201,早月加積認定こども園グラウンド,富山県滑川市追分3801,1,1,1,1,1,,,,1,36.7770751412425,137.38250797943,
38,E1620600035202,早月加積地区公民館,富山県滑川市追分3801,1,1,1,1,1,,,,1,36.77651907,137.3828088,
39,E1620600036201,坪川保育所,富山県滑川市坪川1180,1,1,1,1,1,,,,1,36.77505697,137.35153,
40,E1620600037201,滑川市民健康センター,富山県滑川市田中新町127,1,1,1,1,1,,,,1,36.76055242,137.3388813,「洪水」は2階以上
41,E1620600038201,働く婦人の家,富山県滑川市田中新町129,1,1,1,1,1,,,,1,36.76079309,137.3386667,「洪水」は2階以上
42,E1620600050202,中滑川複合施設（３階及び防災広場部分）,富山県滑川市田中新町39-5,1,1,1,1,1,,,,1,36.761804094591,137.34013475463,「洪水」は防災広場は除く
43,E1620600039201,東福寺野自然公園グラウンド,富山県滑川市東福寺野41,1,1,1,1,1,,,,,36.72709893,137.4172078,
44,E1620600040201,童和保育園,富山県滑川市堀江1796,,1,1,1,1,,,,1,36.7332852,137.3518073,
45,E1620600041201,山加積コミュニティセンター（山加積地区公民館）,富山県滑川市本江308,1,1,1,1,1,,,,1,36.72729833,137.3844354,
46,E1620600042202,みのわ健康休養施設（みのわ温泉）,富山県滑川市蓑輪28,,,1,1,1,,,,1,36.72762494,137.4366874,
47,E1620600042201,みのわテニス村,富山県滑川市蓑輪28,,,1,1,1,,,,1,36.72768083,137.4363119,
48,E1620600043201,滑川市農村環境改善センター,富山県滑川市野町1684-1,1,1,1,1,1,,,,1,36.76342324,137.36931,
