NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E3720600002111,志度東体育館,香川県さぬき市鴨庄2550-39,1,,,34.322957731975,134.208511684,
2,E3720600006111,志度構造改善センター,香川県さぬき市鴨庄4610-45,1,,,34.32549716,134.1939386,
3,E3720600009111,旧神前小学校,香川県さぬき市寒川町神前1615,1,,,34.28354171,134.2089529,
4,E3720600011111,寒川幼稚園,香川県さぬき市寒川町石田西384-1,1,,,34.27594624,134.2026099,
5,E3720600012111,寒川小学校,香川県さぬき市寒川町石田西812-1,1,,,34.271979088986,134.19946917495,
6,E3720600050111,石田高等学校,香川県さぬき市寒川町石田東甲1065,1,,,34.263145005554,134.21103198908,
7,E3720600015111,志度中学校,香川県さぬき市志度2214-4,1,,,34.31758092,134.1767466,
8,E3720600016111,志度高等学校,香川県さぬき市志度366-5,1,,,34.321719169376,134.16951753307,
9,E3720600017111,志度幼稚園,香川県さぬき市志度3726-1,1,,,34.31277714,134.1743943,
10,E3720600051111,志度公民館,香川県さぬき市志度3779-1,1,,,34.312691,134.175571,
11,E3720600023111,造田小学校,香川県さぬき市造田是弘688-1,1,,,34.28378724,134.1832298,
12,E3720600026111,結願の里,香川県さぬき市多和助光東30-1,1,,,34.18588955,134.1707457,
13,E3720600028111,松尾ふれあい会館,香川県さぬき市大川町田面140-2,1,,,34.25550179,134.2488973,
14,E3720600029111,さぬき南小学校,香川県さぬき市大川町南川61,1,,,34.25920955,134.2340338,
15,E3720600030111,さぬき南中学校,香川県さぬき市大川町富田西2823-1,1,,,34.26764383,134.2185435,
16,E3720600052111,長尾公民館,香川県さぬき市長尾東888-5,1,,,34.264115,134.176312,
17,E3720600034111,長尾小学校,香川県さぬき市長尾東901-1,1,,,34.2645832,134.1777029,
18,E3720600037111,津田小学校,香川県さぬき市津田町津田144,1,,,34.2867639,134.2512632,
19,E3720600038111,津田高等学校,香川県さぬき市津田町津田1632-1,1,,,34.293004494339,134.24404466851,
