NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E3550200001201,阿武町ふれあいセンター,山口県阿武町大字宇田2224,1,1,1,1,1,1,1,1,1,34.5665132826083,131.54642970042,
2,E3550200003201,阿武小中学校屋内運動場,山口県阿武町大字奈古2964-1,1,1,1,1,1,1,1,1,1,34.5052991866705,131.473534897945,
3,E3550200004201,山口県立萩高等学校奈古分校　屋内運動場,山口県阿武町大字奈古2968-1,1,1,1,1,1,1,1,1,1,34.504187090359,131.473697626214,
4,E3550200005201,阿武町町民センター,山口県阿武町大字奈古3078-1,1,1,1,1,1,1,1,1,1,34.5059776465458,131.47529012271,
5,E3550200006201,阿武町体育センター,山口県阿武町大字奈古3193-1,1,1,1,1,1,1,1,1,1,34.5057838205167,131.4757639101,
6,E3550200007201,阿武町のうそんセンター,山口県阿武町大字福田下1365,1,1,1,1,1,1,1,1,1,34.5170594949054,131.597692613836,
7,E3520200001201,鵜の島ふれあいセンター,山口県宇部市鵜の島町7-6,,1,,,1,,,,1,33.96207269,131.2380178,
8,E3520200002201,恩田運動公園,山口県宇部市恩田町4,,,,1,1,,,,,33.94418904,131.2699819,
9,E3520200003201,俵田翁記念体育館,山口県宇部市恩田町4-1-1,1,,1,1,1,,1,,1,33.946801034516,131.272248853639,
10,E3520200004201,常盤ふれあいセンター,山口県宇部市亀浦1-1-50,1,1,1,1,1,,1,,1,33.94453301,131.2884175,
11,E3520200005201,三嶋会館,山口県宇部市居能町2-8-22,1,1,,,1,,1,,,33.96689908,131.2296519,
12,E3520200007201,厚南市民センター,山口県宇部市厚南中央3-1-2,,1,,1,1,,,,1,33.99414271,131.2178462,
13,E3520200008201,隣保館厚南会館　（厚南ふれあいセンター）,山口県宇部市厚南北1-2-24,,1,,1,1,,,,1,34.00079544,131.2188504,
14,E3520200009201,葉月ヶ丘自治会集会所,山口県宇部市厚南北4-10-14,1,1,1,1,1,,1,,,34.0035906,131.2132178,
15,E3520200010201,迫条自治会館,山口県宇部市厚南北4-19-17,1,1,1,,1,,1,,,34.00462939,131.2145241,
16,E3520200011201,黒石小学校,山口県宇部市黒石北3-2-35,,1,,1,1,1,,,1,33.98457818,131.2095459,
17,E3520200012201,黒石ふれあいセンター,山口県宇部市黒石北3-2-37-12,,1,,1,1,,,,1,33.98413782,131.2077327,
18,E3520200013201,恩田小学校,山口県宇部市笹山町1-4-1,1,,1,1,1,1,1,,1,33.94220199,131.2626705,
19,E3520200015201,鵜ノ島小学校,山口県宇部市小松原町2-10-25,,1,,1,1,1,,,1,33.96361869,131.2397806,
20,E3520200016201,西岐波小学校,山口県宇部市床波3-4-10,1,1,1,1,1,1,1,,1,33.9566991,131.3117462,
21,E3520200018201,白土自治会館,山口県宇部市床波4-8-40-6,1,1,1,1,1,,1,,,33.95754194,131.3166655,
22,E3520200019201,西岐波ふれあいセンター,山口県宇部市床波6-5-23,1,1,1,1,1,,1,,1,33.95483777,131.3122927,
23,E3520200020201,見初ふれあいセンター,山口県宇部市昭和町1-3-6,1,,,,1,,1,,1,33.9426816,131.2545116,
24,E3520200021201,岩鼻公園,山口県宇部市松崎町,,,,1,1,,,,,33.98115839,131.2247872,
25,E3520200022201,松崎会館,山口県宇部市松崎町3-5,1,1,1,,1,,1,,,33.98276607,131.2250376,
26,E3520200024201,神原ふれあいセンター,山口県宇部市松山町1-5-16,1,,,1,1,,1,,1,33.94715975,131.2538927,
27,E3520200025201,見初小学校,山口県宇部市松山町2-4-42,1,,,1,1,1,1,,1,33.94293972,131.25574,
28,E3520200026201,岬ふれあいセンター・岬小学校,山口県宇部市松山町5-8-10,1,,,1,1,1,1,,1,33.93544667,131.2595112,
29,E3520200027201,上宇部中学校,山口県宇部市沼2-4-8,1,1,1,1,1,1,1,,1,33.96074913,131.2655032,
30,E3520200028201,善福寺,山口県宇部市上条3-8-8,1,1,,,1,,1,,,33.97262853,131.2347445,
31,E3520200029201,藤山小学校,山口県宇部市上条4-4-1,1,1,1,1,1,1,1,,1,33.97458188,131.2320633,
32,E3520200030201,浄円寺,山口県宇部市上町1-5-12,1,1,,,1,,1,,,33.95897354,131.23927,
33,E3520200031201,常盤中学校,山口県宇部市上野中町3-40,1,,1,1,1,1,1,,1,33.95196724,131.2739502,
34,E3520200032201,信行寺,山口県宇部市常盤町1-6-13,1,,,1,1,,1,,,33.95067578,131.2486411,
35,E3520200033201,中央公園,山口県宇部市神原町1,,,,1,1,1,,,,33.94876286,131.2582685,
36,E3520200034201,神原小学校,山口県宇部市神原町1-1-1,1,,,1,1,1,1,,1,33.95167894,131.2560463,
37,E3520200035201,西宇部町自治会館,山口県宇部市西宇部南4-4-6,,1,,1,1,,,,,34.00269193,131.2227156,
38,E3520200036201,西宇部ふれあいセンター,山口県宇部市西宇部北3-9-15,,1,1,1,1,,,,1,34.0052208,131.2203289,
39,E3520200037201,西ヶ丘自治会館,山口県宇部市西宇部北7-12-17,1,,1,1,1,,1,,,34.00500921,131.2255289,
40,E3520200038201,琴芝ふれあいセンター,山口県宇部市西梶返2-10-1,1,,1,,1,,1,,1,33.95286684,131.2632661,
41,E3520200039201,新川小学校,山口県宇部市西小串1-4-25,1,1,,1,1,1,1,,1,33.96311567,131.248251,
42,E3520200040201,宇部典礼会館,山口県宇部市西平原2-9-33,,1,,1,,,,,,33.97632782,131.222603,
43,E3520200122201,楠総合センター,山口県宇部市船木442-11,1,1,1,1,,,1,,1,34.0458218502666,131.2267711967478,
44,E3520200041201,恩田ふれあいセンター,山口県宇部市草江1-6-7,1,,1,,1,,1,,1,33.93949022,131.2717579,
45,E3520200043201,寿福寺,山口県宇部市大字奥万倉1636,1,1,1,,,,1,,,34.13037876,131.2418091,
46,E3520200044201,宇部西リハビリテーション病院,山口県宇部市大字沖ノ旦797,,1,1,1,1,,,,,33.99578709,131.2255592,
47,E3520200045201,常盤公園,山口県宇部市大字沖宇部,,,,1,1,1,,,,33.94758009,131.2889506,
48,E3520200046201,厚東川中学校,山口県宇部市大字吉見1184,,1,1,1,1,1,,,1,34.04166792,131.2647709,
49,E3520200047201,立熊ふれあい会館,山口県宇部市大字吉見152-2,1,1,1,1,1,,1,,,34.05465058,131.2672106,
50,E3520200048201,中村農業構造改善センター,山口県宇部市大字吉見1727-5,1,1,1,1,1,,1,,,34.03911243,131.2585622,
51,E3520200049201,温見自治会集会所,山口県宇部市大字吉見2608-1,,1,1,1,1,,,,,34.02808933,131.2544577,
52,E3520200051201,広瀬公会堂,山口県宇部市大字広瀬563-1,,1,1,,1,,,,,34.00109216,131.2390016,
53,E3520200052201,原ふれあいセンター,山口県宇部市大字妻崎開作1990,,1,1,1,1,,,,1,33.97142332,131.2023057,
54,E3520200053201,春日町自治会館,山口県宇部市大字際波247-3,1,,1,1,1,,1,,,34.01287807,131.2188987,
55,E3520200054201,西宇部小学校,山口県宇部市大字際波527-1,1,1,1,1,1,1,1,,1,34.00956514,131.2317505,
56,E3520200055201,上山中集会所,山口県宇部市大字山中341-1,1,1,1,1,,,1,,,34.05705157,131.3183821,
57,E3520200056201,二俣瀬ふれあいセンター,山口県宇部市大字車地173,1,1,1,1,,,1,,1,34.05660498,131.2917043,
58,E3520200057201,二俣瀬小学校,山口県宇部市大字車地36,1,1,1,1,,1,1,,1,34.05814944,131.2924239,
59,E3520200058201,新川４区自治会集会所,山口県宇部市大字小串154-11,1,1,1,1,1,,1,,,33.96838219,131.2479986,
60,E3520200059201,桃山中学校,山口県宇部市大字小串671,1,1,1,1,1,1,1,,1,33.97170059,131.2504696,
61,E3520200061201,アクトビレッジおの,山口県宇部市大字小野7025,1,1,1,1,,1,1,,,34.10401146,131.3089474,
62,E3520200062201,小野ふれあいセンター,山口県宇部市大字小野8294-4,1,1,1,1,,,1,,1,34.11658779,131.3203401,
63,E3520200063201,小野小学校,山口県宇部市大字小野8317-2,1,1,1,1,,1,1,,1,34.11554411,131.3204099,
64,E3520200064201,ひらき台集会所,山口県宇部市大字上宇部150-117,1,1,1,1,1,,1,,,33.97240408,131.2789001,
65,E3520200065201,琴崎八幡宮,山口県宇部市大字上宇部571-1,1,1,1,,1,,1,,,33.97181741,131.2704323,
66,E3520200066201,吉田公会堂,山口県宇部市大字西岐波1021-2,1,1,1,,1,,1,,,33.95742247,131.3215077,
67,E3520200067201,常盤小学校,山口県宇部市大字西岐波1337-12,1,1,1,1,1,1,1,,1,33.94760359,131.2936156,
68,E3520200068202,柳ヶ瀬コミュニティ広場,山口県宇部市大字西岐波1382-1,,,,1,1,,,,,33.96357503,131.3196619,
69,E3520200068201,柳ヶ瀬自治会館,山口県宇部市大字西岐波1382-1,1,1,1,1,1,,1,,,33.96358091,131.3198656,
70,E3520200123201,南方公園,山口県宇部市大字西岐波2467,,,,1,1,1,,,,33.96621395,131.3095302,
71,E3520200071201,南方八幡宮,山口県宇部市大字西岐波2473-1,1,1,1,1,1,,1,,,33.96566539,131.3102263,
72,E3520200073201,西岐波団地集会所,山口県宇部市大字西岐波3916,1,1,1,1,1,,1,,,33.95801755,131.3026887,
73,E3520200074201,川上中学校,山口県宇部市大字西岐波6531,1,1,1,1,1,1,1,,1,33.97710604,131.2851486,
74,E3520200075201,宇部興産中央病院第２駐車場,山口県宇部市大字西岐波750,,,,1,1,,,,,33.96726352,131.3316437,
