NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E1921000001201,双葉体育館,山梨県甲斐市宇津谷2221,1,,,,,,1,,1,35.7036,138.485,
2,E1921000002201,双葉中学校【体育館】,山梨県甲斐市岩森1337,1,,,,,,1,,1,35.690208,138.491311,
3,E1921000005201,敷島北小学校【学校校舎２階以上】,山梨県甲斐市境57,1,,,,,,1,,1,35.694777,138.524718,
4,E1921000006201,竜王西小学校　【学校校舎２階以上】,山梨県甲斐市玉川75,1,,,,,,1,,1,35.6384,138.5184,
5,E1921000007201,双葉西小学校【体育館】,山梨県甲斐市志田146,1,,,,,,1,,1,35.690286,138.481301,
6,E1921000008201,竜王南小学校　【学校校舎２階以上】,山梨県甲斐市篠原1180,1,,,,,,1,,1,35.6425,138.5282,
7,E1921000009201,市営田中団地２階以上共有部,山梨県甲斐市篠原1318-1,1,,,,,,1,,,35.6446,138.5263,
8,E1921000010201,竜王中学校　【学校校舎２階以上】,山梨県甲斐市篠原2030,1,,,,,,1,,1,35.6542,138.5145,
9,E1921000011201,竜王小学校　【学校校舎２階以上】,山梨県甲斐市篠原2800,1,,,,,,1,,1,35.6599,138.5185,
10,E1921000013201,竜王南部公民館　【２階以上】,山梨県甲斐市西八幡1976-1,1,,,,,,1,,1,35.6375,138.5239,
11,E1921000014201,玉幡小学校　【学校校舎２階以上】,山梨県甲斐市西八幡2560,1,,,,,,1,,1,35.6455,138.5169,
12,E1921000015201,玉幡中学校　【学校校舎２階以上】,山梨県甲斐市西八幡3190,1,,,,,,1,,1,35.6462,138.5095,
13,E1921000016201,敷島南小学校　【学校校舎２階以上】,山梨県甲斐市大下条175,1,,,,,,1,,1,35.671740673633,138.529026104472,
14,E1921000017201,双葉東小学校【体育館】,山梨県甲斐市大垈2780,1,,,,,,1,,1,35.692294,138.498795,
15,E1921000018201,敷島総合文化会館,山梨県甲斐市島上条1020,1,,,,,,1,,1,35.6885751760912,138.521779234304,
16,E1921000019201,敷島中学校　【体育館】,山梨県甲斐市島上条1263,1,,,,,,1,,1,35.686777,138.525978,
17,E1921000020201,敷島小学校　【学校校舎２階以上】,山梨県甲斐市島上条212,1,,,,,,1,,1,35.6845,138.5305,
18,E1921000021201,竜王東小学校　【学校校舎２階以上】,山梨県甲斐市富竹新田933-1,1,,,,,,1,,1,35.6588743611459,138.528418248997,
19,E1921000022201,竜王北中学校【体育館】,山梨県甲斐市竜王420,1,,,,,,1,,1,35.670161,138.505075,
20,E1921000023201,竜王北小学校【体育館】,山梨県甲斐市竜王555,1,,,,,,1,,1,35.670316,138.508156,
21,E1920100001201,荒川緑地（千秋橋上流左岸）,山梨県甲府市伊勢1,,1,,1,,1,,,,35.650617197839,138.56643869315,
22,E1920100002201,伊勢小学校,山梨県甲府市伊勢2-16-1,1,1,,1,,1,1,1,1,35.64507428756,138.56749058031,
23,E1920100003201,荒川緑地（新平和橋下流左岸）,山梨県甲府市伊勢4,,1,,1,,1,,,,35.639571220474,138.56395416844,
24,E1920100004201,羽黒小学校,山梨県甲府市羽黒町527,1,1,,1,,1,1,1,1,35.690226124926,138.54364343638,
25,E1920100005201,朝日小学校,山梨県甲府市塩部1-4-1,1,1,,1,,1,1,1,1,35.672000517689,138.56058764887,
26,E1920100006201,甲府工業高等学校,山梨県甲府市塩部2-7-1,1,1,,1,,1,1,1,1,35.671185564063,138.56002438577,
27,E1920100007201,駿台甲府高等学校グラウンド,山梨県甲府市塩部2-8-1,1,1,,1,,1,1,,,35.670231926545,138.55724290204,
28,E1920100008201,荒川緑地（音羽橋下流左岸）,山梨県甲府市音羽町1,,1,,1,,1,,,,35.676936397687,138.54084436282,
29,E1920100009204,貢川団地　８号館東側空地,山梨県甲府市下河原町3,,1,,1,,1,1,,,35.6643451,138.533397,
30,E1920100009201,貢川団地　２９号館南側空地,山梨県甲府市下河原町3,,1,,1,,1,1,,,35.666088240248,138.53290255842,
31,E1920100009202,貢川団地　３７号館東側空地,山梨県甲府市下河原町3,,1,,1,,1,1,,,35.666103493972,138.53401031073,
32,E1920100009203,貢川団地　４号館南側空地,山梨県甲府市下河原町3,,1,,1,,1,1,,,35.665194802706,138.53266115959,
33,E1920100010201,中道南小学校,山梨県甲府市下向山町4366,1,1,,1,,1,1,1,1,35.577133227178,138.58344655766,
34,E1920100011201,中道スポーツ広場,山梨県甲府市下向山町946,1,1,,1,,1,1,1,1,35.586309909271,138.58861066975,
35,E1920100012202,南部市民センター,山梨県甲府市下今井町15,1,1,,1,,1,1,1,1,35.614161,138.579911,
36,E1920100013201,南西第四公園,山梨県甲府市下石田2-3,,1,,1,,1,1,,,35.64902798,138.55125633,
37,E1920100014201,南西第三公園,山梨県甲府市下石田2-8,,1,,1,,1,1,,,35.64787543,138.55407833,
38,E1920100015202,甲府市立笛南中学校,山梨県甲府市下曽根町270,1,1,,1,,1,1,1,1,35.594801,138.575525,
39,E1920100016201,千代田小学校,山梨県甲府市下帯那町3034-2,1,1,,1,,1,1,1,1,35.712947085875,138.5525678808,
40,E1920100017201,下飯田防災拠点,山梨県甲府市下飯田1-442,,1,,1,,1,,,,35.668993146814,138.5476784569,
41,E1920100018201,甲府城西高等学校,山梨県甲府市下飯田1-9-1,1,1,,1,,1,1,1,1,35.666649,138.546929,
42,E1920100019201,甲府西高等学校,山梨県甲府市下飯田4-1-1,1,1,,1,,1,1,1,1,35.660815766854,138.54956781318,
43,E1920100020201,舞鶴小学校,山梨県甲府市丸の内2-35-5,1,1,,1,,1,1,1,1,35.662827903628,138.56502371655,
44,E1920100021201,ダイタ駅前第一・第二駐車場,山梨県甲府市丸の内2-5,,1,,1,,1,1,,,35.66625330906,138.56655333007,
45,E1920100022201,中央部市民センター,山梨県甲府市丸の内3-26-16,1,1,,1,,1,1,1,1,35.660929663178,138.56333590406,
46,E1920100023201,八幡神社境内,山梨県甲府市宮前町194,1,1,,1,,1,1,,,35.674692847483,138.57559474823,
47,E1920100024201,東海甲府高等学校グラウンド,山梨県甲府市金竹町1-1,1,1,,1,,1,1,,,35.667203152959,138.53880430512,
48,E1920100025201,上九一色出張所,山梨県甲府市古関町1158,,1,,1,,1,1,1,1,35.5307945,138.60991254,
49,E1920100026201,上条中学校,山梨県甲府市古上条町95,1,1,,1,,1,1,1,1,35.629558700919,138.55604698741,
50,E1920100027201,相川小学校,山梨県甲府市古府中町1501,1,1,,1,,1,1,1,1,35.686752723695,138.57426896756,
51,E1920100028201,武田神社境内,山梨県甲府市古府中町2611,1,1,,1,,1,1,,,35.686347517984,138.57694229717,
52,E1920100029201,大国小学校,山梨県甲府市後屋町150,1,1,,1,,1,1,1,1,35.628565625231,138.56581078463,
53,E1920100030202,玉諸公園,山梨県甲府市向町568,,1,,1,,1,1,,,35.64351531,138.61300654,
54,E1920100030201,老人ホーム敷地（へいりん荘）空地,山梨県甲府市向町568,,1,,1,,1,1,,,35.644663037337,138.61204511318,
55,E1920100031201,荒川緑地（音羽橋下流右岸）,山梨県甲府市荒川1,,1,,1,,1,,,,35.676849245335,138.54050640448,
56,E1920100032201,県立美術館広場,山梨県甲府市貢川1-4-27,,1,,1,,1,1,,,35.660388038639,138.53826280283,
57,E1920100033201,南西第二公園,山梨県甲府市貢川本町14,,1,,1,,1,1,,,35.653670253551,138.55120805971,
58,E1920100034201,貢川小学校,山梨県甲府市貢川本町8-1,1,1,,1,,1,1,1,1,35.654493203413,138.54884748751,
59,E1920100035201,荒川緑地（千秋橋上流右岸）,山梨県甲府市高畑1,,1,,1,,1,,,,35.64875885,138.56552051,
60,E1920100036201,荒川緑地（千秋橋下流右岸）,山梨県甲府市高畑3,,1,,1,,1,,,,35.64620365,138.56508294,
61,E1920100037201,国母小学校,山梨県甲府市国母4-1-10,1,1,,1,,1,1,1,1,35.640689575197,138.55805553573,
62,E1920100038201,南西部市民センター,山梨県甲府市国母6-4-2,1,1,,1,,1,1,1,1,35.637245025671,138.55478922167,
63,E1920100039201,地方卸売市場駐車場,山梨県甲府市国母6-5-1,,1,,1,,1,1,,,35.63546410415,138.55742795131,
64,E1920100040201,国母南公園,山梨県甲府市国母8-32,,1,,1,,1,1,,,35.63276073,138.55222108,
65,E1920100041201,黒平小学校跡地,山梨県甲府市黒平町485-1,1,1,,1,,1,1,,,35.804466980054,138.58714221896,
66,E1920100042201,山宮福祉センター,山梨県甲府市山宮町383-1,1,1,,1,,1,1,1,1,35.696587,138.52684,
67,E1920100043202,甲府市立北西中学校,山梨県甲府市山宮町538,1,1,,1,,1,1,1,1,35.691698,138.529308,
68,E1920100044201,甲府東高等学校,山梨県甲府市酒折1-17-1,1,1,,1,,1,1,1,1,35.655796589686,138.59731976394,
69,E1920100045201,山梨学院大学第３駐車場,山梨県甲府市酒折2-4-5,,1,,1,,1,1,,,35.656853103996,138.60256749161,
70,E1920100046201,寿宝第一公園,山梨県甲府市寿町26,,1,,1,,1,1,,,35.657475299662,138.56154641458,
71,E1920100047201,ＹＣＣ県民文化ホール駐車場,山梨県甲府市寿町26-1,,1,,1,,1,1,,,35.65830468,138.5613354,
72,E1920100048201,住吉区画整理３号公園,山梨県甲府市住吉4-3036,,1,,1,,1,1,,,35.638675076315,138.58426235449,
73,E1920100049201,小瀬スポーツ公園,山梨県甲府市小瀬町840,,1,,1,,1,1,,,35.621674615477,138.58696822314,
74,E1920100050201,玉諸小学校,山梨県甲府市上阿原町491,1,1,,1,,1,1,1,1,35.645641151142,138.60290104667,
75,E1920100051201,甲府商業高等学校,山梨県甲府市上今井町300,1,1,,1,,1,1,1,1,35.626042176102,138.57490779642,
76,E1920100052201,山城小学校,山梨県甲府市上今井町474-2,1,1,,1,,1,1,1,1,35.626183560575,138.57867078542,
77,E1920100053201,南西第一公園,山梨県甲府市上石田3-15,,1,,1,,1,1,,,35.651561595916,138.55519443449,
78,E1920100054201,石田小学校,山梨県甲府市上石田3-6-31,1,1,,1,,1,1,1,1,35.652611643195,138.55708895332,
79,E1920100055201,南西中学校,山梨県甲府市上石田4-10-8,1,1,,1,,1,1,1,1,35.648828235618,138.55580094069,
80,E1920100056202,甲府市立中道北小学校,山梨県甲府市上曽根町3368-36,1,1,,1,,1,1,1,1,35.602557,138.587517,
81,E1920100057201,環境センター,山梨県甲府市上町601-4,1,1,,1,,1,1,1,1,35.6283,138.596161,
82,E1920100058201,教育研修所駐車場ゲートボール場,山梨県甲府市城東1-12-28,1,1,,1,,1,1,,,35.65942759517,138.58053663821,
83,E1920100059201,市立図書館駐車場,山梨県甲府市城東1-12-33,1,1,,1,,1,1,,,35.659797151695,138.58171057025,
84,E1920100060201,オギノ城東店駐車場,山梨県甲府市城東4-3-17,,1,,1,,1,1,,,35.658407683019,138.58348706813,
85,E1920100061201,新田小学校,山梨県甲府市新田町12-28,1,1,,1,,1,1,1,1,35.662550513876,138.5391092084,
86,E1920100062201,甲府商科専門学校,山梨県甲府市西下条町1020,1,1,,1,,1,1,1,,35.608879273766,138.57600084913,
87,E1920100063201,甲府市総合市民会館駐車場,山梨県甲府市青沼3-5-44,,1,,1,,1,1,,,35.65221766,138.5760735,
88,E1920100064201,青葉スポーツ広場グラウンド,山梨県甲府市青葉町19-1,,1,,1,,1,1,,,35.643063493631,138.58334831157,
89,E1920100065201,千塚小学校,山梨県甲府市千塚1-2-16,1,1,,1,,1,1,1,1,35.680434452729,138.54122362928,
90,E1920100066201,千塚公園,山梨県甲府市千塚3-4,1,1,,1,,1,1,,,35.684529914795,138.54228076739,
91,E1920100067201,県立青少年センター駐車場・グラウンド,山梨県甲府市川田町517,1,1,,1,,1,1,,,35.652959810101,138.62539652964,
92,E1920100068201,甲運小学校,山梨県甲府市川田町65-2,1,1,,1,,1,1,1,1,35.656328653145,138.62243623625,
93,E1920100069201,里垣小学校,山梨県甲府市善光寺2-7-1,1,1,,1,,1,1,1,1,35.662838830966,138.59002083095,
94,E1920100070201,甲府市役所南庁舎別館,山梨県甲府市相生1-9-7,1,1,,1,,1,1,1,1,35.65646,138.565894,
95,E1920100071201,甲府市役所南庁舎,山梨県甲府市相生2-17-1,1,1,,1,,1,1,1,1,35.655284153184,138.56761940925,
96,E1920100072201,山梨大学グラウンド（東）,山梨県甲府市大手2-1,1,1,,1,,1,1,,,35.677639874853,138.5763370945,
97,E1920100073201,山梨大学グラウンド（北）,山梨県甲府市大手2-2,1,1,,1,,1,1,,,35.678818066356,138.57770888692,
98,E1920100074201,北東中学校,山梨県甲府市大手2-4-18,1,1,,1,,1,1,1,1,35.681727513739,138.57903200762,
99,E1920100075201,甲府市浄化センターグラウンド,山梨県甲府市大津町1645,,1,,1,,1,1,,,35.597689565816,138.561365772,
100,E1920100076201,アイメッセ山梨軒下・駐車場,山梨県甲府市大津町2192-8,,1,,1,,1,1,,,35.601749544484,138.5644588606,
101,E1920100077202,甲府市立城南中学校,山梨県甲府市大里町2590-1,1,1,,1,,1,1,1,1,35.619218,138.569234,
102,E1920100078201,大里小学校,山梨県甲府市大里町3785-2,1,1,,1,,1,1,1,1,35.614089956731,138.56585990367,
103,E1920100079201,オギノ国母店駐車場,山梨県甲府市大里町5016,,1,,1,,1,1,,,35.625347,138.550476,
104,E1920100080201,北中学校,山梨県甲府市大和町4-35,1,1,,1,,1,1,1,1,35.679223458739,138.55555018582,
105,E1920100081201,県立大学（池田）グラウンド,山梨県甲府市池田1-6-1,1,1,,1,,1,1,,,35.671083988222,138.54670877509,
106,E1920100082201,中央公園,山梨県甲府市中央1-11,,1,,1,,1,1,,,35.66001207133,138.56786103777,
107,E1920100083201,富士川悠遊館,山梨県甲府市中央3-3-1,1,1,,1,,1,1,1,1,35.663339854193,138.57662643305,
108,E1920100084201,甲府南高等学校,山梨県甲府市中小河原町222,1,1,,1,,1,1,1,1,35.630344472246,138.57411411676,
109,E1920100085201,池田公園,山梨県甲府市中村町10,1,1,,1,,1,1,,,35.665594369669,138.53608447325,
110,E1920100086201,東小学校,山梨県甲府市朝気1-14-1,1,1,,1,,1,1,1,1,35.651483260688,138.58314959541,
111,E1920100087201,善誘館小学校,山梨県甲府市朝気1-2-52,1,1,,1,,1,1,1,1,35.655020459367,138.58078208453,
112,E1920100088201,イーストモールバリオ駐車場,山梨県甲府市朝気3-1-12,,1,,1,,1,1,,,35.6502494,138.583757,
113,E1920100089201,西部市民センター,山梨県甲府市長松寺町12-30,1,1,,1,,1,1,1,1,35.664911809085,138.54036678464,
114,E1920100090201,池田小学校,山梨県甲府市長松寺町7-1,1,1,,1,,1,1,1,1,35.666255456774,138.54169859743,
115,E1920100119201,かえで支援学校,山梨県甲府市東光寺2-25-1,,1,,1,,1,1,1,,35.66497,138.586487,
116,E1920100091201,東中学校,山梨県甲府市東光寺2-8-1,1,1,,1,,1,1,1,1,35.663169015223,138.58579861382,
117,E1920100092201,北部市民センター,山梨県甲府市湯村3-5-20,1,1,,1,,1,1,1,1,35.68027132921,138.55006275014,
118,E1920100093201,湯田小学校,山梨県甲府市湯田1-8-1,1,1,,1,,1,1,1,1,35.648886605951,138.57519420752,
119,E1920100094201,南中学校,山梨県甲府市湯田2-21-24,1,1,,1,,1,1,1,1,35.643415719477,138.57516123687,
120,E1920100095201,オギノ貢川店駐車場,山梨県甲府市徳行1-2-18,,1,,1,,1,1,,,35.65547789326,138.54482691462,
121,E1920100096201,貢川福祉センター,山梨県甲府市徳行3-12-1,1,1,,1,,1,1,1,1,35.647523509218,138.54205452057,
122,E1920100097201,笠屋神社境内,山梨県甲府市徳行5-1,,1,,1,,1,1,,,35.653685409899,138.54000003613,
123,E1920100098201,県立大学（飯田）グラウンド,山梨県甲府市飯田5-11-1,,1,,1,,1,1,,,35.66322789485,138.55668906168,
124,E1920100099201,県営飯田野球場グラウンド,山梨県甲府市飯田5-12,1,1,,1,,1,1,,,35.662644369416,138.5550470516,
125,E1920100100201,西中学校,山梨県甲府市飯田5-13-1,1,1,,1,,1,1,1,1,35.663598079542,138.55458875266,
