NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E0521400001111,上坂会館,秋田県にかほ市伊勢居地字グミノ木森140,,,,39.214301,140.012294,
2,E0521400271111,東畑会館,秋田県にかほ市伊勢居地字大畑33,,,,39.236483,139.966169,
3,E0521400004111,伊勢居地会館,秋田県にかほ市伊勢居地字湯田1,,,,39.243728,139.96397,
4,E0521400008111,杉山会館,秋田県にかほ市院内字ヒシカタ163-1,,,,39.273919,139.959849,
5,E0521400010111,仁賀保中学校,秋田県にかほ市院内字ヒシカタ40,,,,39.27327,139.956505,
6,E0521400011111,横根会館,秋田県にかほ市院内字下横根7,,,,39.27615,139.969787,
7,E0521400015111,下坂会館,秋田県にかほ市院内字下坂3,1,,,39.226668,140.025293,
8,E0521400018111,院内会館,秋田県にかほ市院内字城前61,1,,,39.2692,139.975347,
9,E0521400020111,つぼみ保育園,秋田県にかほ市院内字嶋田70,,,,39.282531,139.963567,
10,E0521400020112,にかほ保育園,秋田県にかほ市院内字嶋田70,,,,39.283009,139.963126,
11,E0521400021111,釜ヶ台地区多目的集会施設,秋田県にかほ市釜ケ台字中島9-2,,,,39.238709,140.033439,
12,E0521400270111,芹田会館,秋田県にかほ市芹田字新中道68,,,,39.286105,139.93008,
13,E0521400027111,かもめ荘,秋田県にかほ市金浦字塩焚浜104-3,,,,39.259555,139.91278,
14,E0521400030111,金浦保健センター,秋田県にかほ市金浦字花潟83-1,,,,39.253571,139.922968,
15,E0521400032121,特別養護老人ホーム　陽光苑,秋田県にかほ市金浦字古賀の田31-2,,,高齢者（要介護3以上）と、その家族,39.256869,139.92563,
16,E0521400037111,労働者研修センターエニワン,秋田県にかほ市金浦字上林4-1,,,,39.260826,139.920202,
17,E0521400039111,赤石館,秋田県にかほ市金浦字赤石31-2,,,,39.245341,139.917178,
18,E0521400040111,金浦中学校,秋田県にかほ市金浦字谷地中30-3,1,,,39.251814,139.921094,
19,E0521400042111,温泉保養センターはまなす,秋田県にかほ市金浦字中谷地20-1,,,,39.238685,139.913354,
20,E0521400044111,コミュニティ防災センター,秋田県にかほ市金浦字南金浦12-1,1,,,39.255611,139.914614,
21,E0521400046112,金浦公民館（青少年ホーム、コミュニティセンター）,秋田県にかほ市金浦字南金浦49-2,1,,,39.255689,139.917169,
22,E0521400046111,金浦体育館（勤労者体育センター）,秋田県にかほ市金浦字南金浦49-2,1,,,39.255502,139.917507,
