NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E3646800104201,つるぎ町多目的広場,徳島県つるぎ町一宇字蔭25-2,1,1,,1,,1,1,,,33.954431,134.066503,
2,E3646800017202,せせらぎの風駐車場,徳島県つるぎ町貞光字せせらぎ1,1,1,,1,,1,1,,,34.043121,134.067415,洪水：吉野川✕、貞光川○
3,E3646800026202,つるぎ町就業改善センター駐車場,徳島県つるぎ町貞光字宮下61,,,,1,,1,1,,1,34.038191,134.061776,
4,E3646800033202,太田小学校グラウンド,徳島県つるぎ町貞光字太田西107,,,,1,,1,1,,1,34.044397,134.080232,
5,E3646800106201,貞光ゆうゆうパーク,徳島県つるぎ町貞光字大須賀-,,1,,1,,1,,,,34.043165,134.056615,
6,E3646800036202,貞光ゆうゆう館駐車場,徳島県つるぎ町貞光字大須賀11-1,,1,,1,,1,1,,1,34.042454,134.059898,
7,E3646800039203,貞光中学校グラウンド,徳島県つるぎ町貞光字中須賀52,,1,,1,,1,1,,1,34.036969,134.064848,
8,E3646800040202,つるぎ町保健センター駐車場,徳島県つるぎ町貞光字中須賀68-1,,1,,1,,1,,,,34.040334,134.064985,
9,E3646800047202,西部テクノスクールグラウンド,徳島県つるぎ町貞光字東浦128-4,1,,,1,,1,1,,1,34.032563,134.06359,洪水：吉野川✕、貞光川○
10,E3646800052202,つるぎ高等学校グラウンド,徳島県つるぎ町貞光字馬出63-2,,,,1,,1,,,1,34.041356,134.055487,
11,E3646800056203,貞光小学校グラウンド,徳島県つるぎ町貞光字野口87,1,,,1,,1,1,,1,34.036213,134.060083,
12,E3646800058202,日浦小学校グラウンド,徳島県つるぎ町半田字蔭名1292,1,,,1,,1,1,,1,34.025841,134.023411,
13,E3646800061202,高清小学校グラウンド,徳島県つるぎ町半田字高清1398,1,1,,1,,1,1,,1,34.001518,134.03901,
14,E3646800062202,坂根小学校グラウンド,徳島県つるぎ町半田字坂根346,1,,,1,,1,1,,,33.98935,134.03681,
15,E3646800068202,半田地域福祉センターやすらぎ苑駐車場,徳島県つるぎ町半田字小野521,1,1,,1,,1,1,,1,34.038827,134.029933,
16,E3646800071202,特別養護老人ホームうらら荘駐車場,徳島県つるぎ町半田字松生150-1,1,,,1,,1,1,,1,34.041285,134.023165,洪水：吉野川✕、貞光川○
17,E3646800075202,つるぎ町スポーツセンター駐車場,徳島県つるぎ町半田字田井202,1,1,,1,,1,1,,1,34.030527,134.030291,
18,E3646800105201,長谷保農村公園,徳島県つるぎ町半田字田井247-1,1,1,,1,,1,1,,,34.02954,134.030553,
19,E3646800076202,半田中学校グラウンド,徳島県つるぎ町半田字田井282,1,1,,1,,1,1,,,34.031679,134.029962,
20,E3646800080202,八千代中学校グラウンド,徳島県つるぎ町半田字日開野122,1,,,1,,1,1,,1,33.997347,134.028145,
21,E3620400001201,伊島中学校　（休校中）校舎２階,徳島県阿南市伊島町瀬戸3,,,1,,,,,,1,33.844448096574,134.8091765123,
22,E3620400002201,伊島小学校　（休校中）校舎２階,徳島県阿南市伊島町瀬戸3-2,,,1,,,,,,,33.844621858233,134.80887610489,
23,E3620400006201,岩脇福祉会館,徳島県阿南市羽ノ浦町岩脇町筋20-3,,1,,,,,,,1,33.94166747,134.6180743,
24,E3620400007202,岩脇小学校グラウンド,徳島県阿南市羽ノ浦町岩脇町筋87,,,,1,,,,,1,33.94206228,134.6157746,
25,E3620400007201,岩脇小学校校舎２階以上,徳島県阿南市羽ノ浦町岩脇町筋87,1,,1,,,,,,1,33.9423738,134.6156137,
26,E3620400008201,羽ノ浦公民館建物２階　（洪水・高潮）,徳島県阿南市羽ノ浦町宮倉大木38-4,1,,1,,,,,,1,33.953578,134.6223,
27,E3620400008202,羽ノ浦公民館建物,徳島県阿南市羽ノ浦町宮倉大木38-4,,1,,,1,,,,1,33.95357472,134.6222468,
28,E3620400008203,羽ノ浦公民館敷地,徳島県阿南市羽ノ浦町宮倉大木38-4,,,,1,1,,,,1,33.95342417,134.6221386,
29,E3620400009201,羽ノ浦中学校校舎３階以上　（洪水・高潮）,徳島県阿南市羽ノ浦町宮倉沢田154,1,,1,,,,,,,33.953587253104,134.61730508027,
30,E3620400009202,羽ノ浦中学校校舎　（津波）,徳島県阿南市羽ノ浦町宮倉沢田154,,,,,1,,,,,33.95352926,134.617201,
31,E3620400009203,羽ノ浦中学校グラウンド,徳島県阿南市羽ノ浦町宮倉沢田154,,,,1,1,,,,,33.95323855,134.6174442,
32,E3620400010201,羽ノ浦グラウンド,徳島県阿南市羽ノ浦町宮倉沢田82,,,,1,,1,,,,33.95363716,134.6190975,
33,E3620300069201,能路寺山,徳島県阿南市羽ノ浦町宮倉背戸田60,,,,,1,,,,,33.967972,134.625336,
34,E3620400011201,阿南市勤労女性センター２階,徳島県阿南市羽ノ浦町春日野1-75,,,,,1,,,,1,33.96098487,134.6169394,
35,E3620400015202,羽ノ浦小学校校舎２階　（洪水・高潮）,徳島県阿南市羽ノ浦町中庄原婦知1-1,1,,1,,,,,,1,33.958115300244,134.62804635017,
36,E3620400015201,羽ノ浦小学校体育館,徳島県阿南市羽ノ浦町中庄原婦知1-1,,,,,1,,,,1,33.95794807,134.6277661,
37,E3620400015203,羽ノ浦小学校校舎　（津波）,徳島県阿南市羽ノ浦町中庄原婦知1-1,,,,,1,,,,1,33.958159,134.62806,
38,E3620400015204,羽ノ浦小学校グラウンド,徳島県阿南市羽ノ浦町中庄原婦知1-1,,,,1,1,1,,,1,33.95758321,134.6283776,
39,E3620400017203,富岡東高等学校羽ノ浦校校舎２階以上　（洪水・高潮）,徳島県阿南市羽ノ浦町中庄市50-1,1,,1,,,,,,1,33.959730783908,134.62797486683,
40,E3620400017204,富岡東高等学校羽ノ浦校校舎　（津波）,徳島県阿南市羽ノ浦町中庄市50-1,,,,,1,,,,1,33.95977075,134.6280015,
41,E3620400017205,富岡東高等学校羽ノ浦校グラウンド,徳島県阿南市羽ノ浦町中庄市50-1,,,,1,1,,,,1,33.95977817,134.6275741,
42,E3620400017201,富岡東高等学校羽ノ浦校部室棟,徳島県阿南市羽ノ浦町中庄市50-1,,,,,1,,,,1,33.95925462,134.6273792,
43,E3620400017202,富岡東高等学校羽ノ浦校体育館,徳島県阿南市羽ノ浦町中庄市50-1,,,,,1,,,,1,33.95948154,134.6275026,
44,E3620400018201,阿南市情報文化センター,徳島県阿南市羽ノ浦町中庄上ナカレ16-3,,1,,,1,,,,1,33.9540914,134.6237539,
45,E3620400021202,横見小学校西校舎２階,徳島県阿南市横見町前長岡67-2,,,,,1,,,,1,33.92862558,134.6554209,
46,E3620400021203,横見小学校北校舎３階以上　（洪水・高潮）,徳島県阿南市横見町前長岡67-2,1,,1,,,,,,1,33.928928382067,134.65547959926,
47,E3620400021204,横見小学校北校舎２階以上　（津波）,徳島県阿南市横見町前長岡67-2,,,,,1,,,,1,33.92898166,134.6555067,
48,E3620400021205,横見小学校グラウンド,徳島県阿南市横見町前長岡67-2,,,,,,1,,,1,33.92822128,134.6555139,
49,E3620400021201,横見小学校南校舎２階,徳島県阿南市横見町前長岡67-2,,,,,1,,,,1,33.92876802,134.6557374,
50,E3620400025201,大野小学校体育館,徳島県阿南市下大野町三条5,,1,,,,,,,1,33.93475289,134.5955819,
51,E3620400025203,大野小学校グラウンド,徳島県阿南市下大野町三条5,,,,1,,1,,,1,33.93398291,134.5954907,
52,E3620400025202,大野小学校校舎３階,徳島県阿南市下大野町三条5,1,,,,,,,,1,33.9344903,134.595598,
53,E3620400027201,加茂谷中学校校舎４階,徳島県阿南市加茂町南不け1,1,,,,,,,,1,33.914033286928,134.5501532137,
54,E3620400027202,加茂谷中学校グラウンド,徳島県阿南市加茂町南不け1,,,,1,,1,,,1,33.91455303,134.5502216,
55,E3620400028201,加茂谷総合センター２階　（土砂災害）,徳島県阿南市加茂町野上22-11,,1,,,,,,,1,33.92117542,134.5527949,
56,E3620400028202,加茂谷総合センター　（洪水・高潮）,徳島県阿南市加茂町野上22-11,1,,1,,,,,,1,33.921270560887,134.55281033862,
57,E3620400029201,吉井小学校体育館,徳島県阿南市吉井町原18-2,,1,,,,,,,1,33.92181342,134.5592025,
58,E3620400029202,吉井小学校グラウンド,徳島県阿南市吉井町原18-2,,,,1,,,,,1,33.9220894,134.5588806,
59,E3620400031201,橘こどもセンター２階　（津波）,徳島県阿南市橘町久保38-3,,,,,1,,,,1,33.87513806975,134.64059535369,
60,E3620400031202,橘こどもセンター　（洪水・高潮）,徳島県阿南市橘町久保38-3,1,,1,,,,,,1,33.875217258682,134.64049407279,
61,E3620400032201,橘地区防災公園,徳島県阿南市橘町西浦58,1,,1,1,1,1,,,,33.87372743,134.6397784,
62,E3620400033202,橘小学校グラウンド,徳島県阿南市橘町大浦166-1,1,,1,1,1,1,,,1,33.87104017,134.6319982,
63,E3620400033201,橘小学校校舎２階以上,徳島県阿南市橘町大浦166-1,1,1,1,,1,,,,1,33.870994364761,134.63295514315,
64,E3620400034201,ふるさと館建物２階,徳島県阿南市橘町土井崎115-16,1,1,1,,1,,,,1,33.85190394,134.6239837,
65,E3620400034202,ふるさと館敷地,徳島県阿南市橘町土井崎115-16,1,,1,1,1,,,,1,33.85172128,134.6239783,
66,E3620400035202,旧クリーンセンター敷地,徳島県阿南市橘町土井崎117-14,1,,1,1,1,,,,1,33.85195146,134.6231093,
67,E3620400035201,旧クリーンセンター管理棟,徳島県阿南市橘町土井崎117-14,1,,1,,1,,,,1,33.85210739,134.6226426,
68,E3620400036201,南部ふるさとふれあい運動公園,徳島県阿南市橘町土井崎34,,,,1,,1,,,,33.85092519,134.6238642,
69,E3620400037202,橘町総合センター　（洪水・土砂災害）,徳島県阿南市橘町豊浜36-15,1,1,,,,,,,1,33.87205057,134.6411211,
70,E3620400037203,橘町総合センター　２階（高潮）,徳島県阿南市橘町豊浜36-15,,,1,,,,,,1,33.871685,134.640411,
71,E3620400038201,阿南市クリーンピュア管理棟３階　（土砂災害）,徳島県阿南市熊谷町定方44,,1,,,,,,,1,33.916648637677,134.5773492358,
72,E3620400038202,阿南市クリーンピュア管理棟　（洪水・高潮）,徳島県阿南市熊谷町定方44,1,,1,,,,,,1,33.916506440361,134.5773562608,
73,E3620400038203,阿南市クリーンピュア敷地,徳島県阿南市熊谷町定方44,,,,1,,1,,,1,33.91677507,134.5765753,
74,E3620400039201,桑野小学校校舎２階以上,徳島県阿南市桑野町岡元40-1,1,1,,,,,,,1,33.87349137,134.6117212,
75,E3620400039202,桑野小学校グラウンド,徳島県阿南市桑野町岡元40-1,,,,1,,1,,,1,33.87379201,134.6119277,
76,E3620400044201,見能林小学校体育館,徳島県阿南市見能林町西内35,,1,,,,,,,1,33.9009597,134.6700606,
77,E3620400044202,見能林小学校校舎２階以上,徳島県阿南市見能林町西内35,1,,1,,1,,,,1,33.90076101,134.6705528,
78,E3620400045202,阿南工業高等専門学校グラウンド,徳島県阿南市見能林町青木265,,,,,,1,,,1,33.8968073,134.6683678,
79,E3620400045201,阿南工業高等専門学校校舎２階以上,徳島県阿南市見能林町青木265,1,,1,,1,,,,1,33.89808669,134.6671965,
80,E3620400048202,阿南中学校校舎２階以上,徳島県阿南市見能林町南勘高1,1,1,1,,1,,,,1,33.90550518,134.6657926,
81,E3620400048201,阿南中学校体育館３階以上,徳島県阿南市見能林町南勘高1,1,,1,,1,,,,1,33.905629578868,134.66489204419,
82,E3620400049201,見能林公民館２階　（津波・洪水・高潮）,徳島県阿南市見能林町念仏免4-1,1,,1,,1,,,,1,33.901249,134.669511,
83,E3620400049202,見能林公民館　（土砂災害）,徳島県阿南市見能林町念仏免4-1,,1,,,,,,,1,33.901207399156,134.6694716895,
84,E3620400051201,東部自然公園散策路,徳島県阿南市才見町米島裏6,1,,1,,1,,,,,33.91403476,134.6841127,
85,E3620400052201,山口小学校東校舎２階,徳島県阿南市山口町久延69-1,1,1,,,,,,,1,33.87292556,134.5817877,
86,E3620400052202,山口小学校グラウンド,徳島県阿南市山口町久延69-1,,,,1,,1,,,1,33.87261378,134.5816804,
87,E3620400053202,桑野公民館建物　（土砂災害）,徳島県阿南市山口町内田150-1,,1,,,,,,,1,33.87136372,134.603884,
88,E3620400053203,桑野公民館敷地,徳島県阿南市山口町内田150-1,,,,1,,,,,1,33.87150625,134.6037821,
89,E3620400053201,桑野公民館建物２階　（洪水・高潮）,徳島県阿南市山口町内田150-1,1,,1,,,,,,1,33.87135481,134.6038518,
90,E3620400055201,スポーツ総合センター２階　（津波・洪水・高潮）,徳島県阿南市七見町下川田100-1,1,,1,,1,,,,1,33.91974822,134.6842285,
91,E3620400055202,スポーツ総合センター　（土砂災害）,徳島県阿南市七見町下川田100-1,,1,,,,,,,1,33.919748465134,134.6842990233,
92,E3620400057201,阿南支援学校体育館,徳島県阿南市上大野町大山田52,1,,,,,,,,1,33.92575687,134.581509,
93,E3620400057202,阿南支援学校グラウンド,徳島県阿南市上大野町大山田52,,,,1,,,,,1,33.92612187,134.5825765,
94,E3620400059202,中野島小学校グラウンド,徳島県阿南市上中町中原182-1,,,,1,,1,,,1,33.93242552,134.6291237,
95,E3620400059201,中野島小学校校舎２階,徳島県阿南市上中町中原182-1,1,,1,,,,,,1,33.93292402,134.6285443,
96,E3620400061202,阿南光高等学校新野キャンパスグラウンド,徳島県阿南市新野町室ノ久保12,,,,1,,,,,1,33.85110616,134.5957097,
97,E3620400061201,阿南光高等学校新野キャンパス体育館２階,徳島県阿南市新野町室ノ久保12,1,,,,,,,,1,33.85028197,134.595259,
98,E3620400062202,新野東小学校グラウンド,徳島県阿南市新野町是国37-2,,,,1,,,,,1,33.84527722,134.6038279,
99,E3620400062201,新野東小学校体育館,徳島県阿南市新野町是国37-2,1,1,,,,,,,1,33.84514356,134.6041552,
100,E3620400063201,新野公民館建物２階　（洪水）,徳島県阿南市新野町西馬場18,1,,,,,,,,1,33.84781478,134.581948,
101,E3620400063202,新野公民館建物　（土砂災害）,徳島県阿南市新野町西馬場18,,1,,,,,,,1,33.84780141,134.5818837,
102,E3620400063203,新野公民館敷地,徳島県阿南市新野町西馬場18,,,,1,,,,,1,33.84755637,134.5818354,
103,E3620400065202,新野小学校北校舎２階以上,徳島県阿南市新野町南宮ノ久保70-1,1,1,,,,,,,1,33.84735707,134.5808648,
104,E3620400065203,新野小学校グラウンド,徳島県阿南市新野町南宮ノ久保70-1,,,,1,,1,,,1,33.84687144,134.5802158,
105,E3620400066202,新野中学校グラウンド,徳島県阿南市新野町馬見21,,,,1,,1,,,1,33.84379754,134.5792947,
106,E3620400066201,新野中学校　体育館,徳島県阿南市新野町馬見21,1,1,,,,,,,1,33.84439457,134.5789728,
107,E3620400067202,新野西小学校　（休校中）グラウンド,徳島県阿南市新野町友常1,,,,1,,,,,1,33.83897068,134.541942,
108,E3620400067201,新野西小学校　（休校中）校舎２階以上,徳島県阿南市新野町友常1,,1,,,,,,,1,33.83856076,134.5417113,
109,E3620400068201,深瀬町コミュニティセンター２階,徳島県阿南市深瀬町大畝町35-1,,1,,,,,,,1,33.9220062,134.5480762,
110,E3620400069203,大井小学校　（休校中）グラウンド,徳島県阿南市大井町東平127-1,,,,1,,,,,1,33.9092235,134.5176368,
111,E3620400069202,大井小学校　（休校中）南校舎２階,徳島県阿南市大井町東平127-1,,1,,,,,,,1,33.90883172,134.5179265,
112,E3620400069201,大井小学校　（休校中）体育館,徳島県阿南市大井町東平127-1,1,,,,,,,,1,33.90893857,134.517669,
113,E3620400070201,阿南市武道館,徳島県阿南市大潟町210-56,,1,,,,,,,1,33.88471023,134.6684922,
114,E3620400071201,大潟会館,徳島県阿南市大潟町214-16,,1,,,,,,,1,33.8851339,134.6676321,
115,E3620400072201,阿南西部公園,徳島県阿南市中大野町南傍示,1,,,1,,1,,,,33.92250299,134.5810798,
116,E3620400075203,大野公民館敷地,徳島県阿南市中大野町北傍示440-2,,,,1,,,,,1,33.933386691516,134.59450007303,
117,E3620400075201,大野公民館建物２階　（洪水・高潮）,徳島県阿南市中大野町北傍示440-2,1,,1,,,,,,1,33.93325316775,134.59424794538,
118,E3620400075202,大野公民館建物　（土砂災害）,徳島県阿南市中大野町北傍示440-2,,1,,,,,,,1,33.933266520137,134.59416747911,
119,E3620400078203,長生小学校　グラウンド,徳島県阿南市長生町五反地25-2,,,,1,,1,,,1,33.90951691,134.6170224,
120,E3620400078202,長生小学校　校舎　３階,徳島県阿南市長生町五反地25-2,1,,,,,,,,1,33.90982855,134.616663,
121,E3620400078201,長生小学校体育館,徳島県阿南市長生町五反地25-2,,1,,,,,,,1,33.91023369,134.616545,
122,E3620400081201,長生公民館　建物　２階（洪水・高潮）,徳島県阿南市長生町上荒井楠ノ前4-2,1,,1,,,,,,1,33.908655287566,134.61934603986,
123,E3620400081202,長生公民館　建物　（土砂災害）,徳島県阿南市長生町上荒井楠ノ前4-2,,1,,,,,,,1,33.908715,134.6193779,
124,E3620400081203,長生公民館　敷地,徳島県阿南市長生町上荒井楠ノ前4-2,,,,1,,,,,1,33.90879513,134.6192277,
125,E3620400082202,阿南第一中学校　グラウンド,徳島県阿南市長生町西方589,,,,1,,1,,,1,33.92712372,134.6263645,
126,E3620400082201,阿南第一中学校　校舎　３階,徳島県阿南市長生町西方589,1,,,,,,,,1,33.92649389,134.6251494,
