NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E4134600001111,みやき町立三根西小学校,佐賀県みやき町大字寄人1385,,,,33.286788,130.421571,
2,E4134600003111,みやき町立中原小学校,佐賀県みやき町大字原古賀1363,1,,,33.350334,130.439778,
3,E4134600019111,養基会館,佐賀県みやき町大字原古賀226-1,1,,,33.34342,130.44329,
4,E4134600004111,佐賀県立三養基高校,佐賀県みやき町大字原古賀300,1,,,33.342582,130.443364,
5,E4134600022121,希望の家,佐賀県みやき町大字原古賀7425-2,,,,33.333146,130.445213,
6,E4134600005111,北茂安体育館,佐賀県みやき町大字江口5128-2,,,,33.306389,130.458966,
7,E4134600006111,みやき町農村環境改善センター,佐賀県みやき町大字市武1242,,,,33.298864,130.430594,
8,E4134600007111,三根体育館,佐賀県みやき町大字市武1278-1,,,,33.298949,130.431141,
9,E4134600008111,みやき町立三根中学校,佐賀県みやき町大字市武1661,,,,33.294005,130.432831,
10,E4134600009121,特別養護老人ホーム　花のみね,佐賀県みやき町大字西島2730-1,,,,33.304078,130.449219,
11,E4134600010121,特別養護老人ホーム　花のみね弐番館,佐賀県みやき町大字中津隈5919,,,,33.323749,130.446355,
12,E4134600011111,みやき町立三根東小学校,佐賀県みやき町大字天建寺2400,,,,33.294824,130.448742,
13,E4134600012111,みやき町立北茂安中学校,佐賀県みやき町大字東尾4435,1,,,33.335263,130.458779,
14,E4134600013111,みやき町立北茂安小学校,佐賀県みやき町大字東尾640,,,,33.324769,130.457582,
15,E4134600014111,みやき町コミュニティーセンター（こすもす館）,佐賀県みやき町大字東尾6436-2,,,,33.3182965017615,130.456739213448,
16,E4134600020111,市村清記念メディカルコミュニティセンター,佐賀県みやき町大字白壁1074-3,,,,33.326643,130.475441,
17,E4134600015121,特定医療法人光風会　ぱれっと,佐賀県みやき町大字白壁2927,,,,33.334065,130.468107,
18,E4134600016111,みやき町中原体育館,佐賀県みやき町大字簑原1003-1,,,,33.345723,130.444048,
19,E4134600016114,働く婦人の家,佐賀県みやき町大字簑原1003-1,,,,33.345354,130.444204,
20,E4134600016113,勤労青少年ホーム,佐賀県みやき町大字簑原1003-1,,,,33.346214,130.443945,
21,E4134600016112,働く婦人の家,佐賀県みやき町大字簑原1003-1,,,,33.345363,130.444182,
22,E4134600017111,みやき町立中原中学校,佐賀県みやき町大字簑原1475,1,,,33.348031,130.447766,
23,E4134600018121,特別養護老人ホーム　なかばる紀水苑,佐賀県みやき町大字簑原4260,,,,33.363994,130.450587,
24,E4120500001111,黒川コミュニティセンター,佐賀県伊万里市黒川町塩屋504-1,,,,33.331347,129.853373,
25,E4120500003111,青嶺中学校,佐賀県伊万里市黒川町福田66,1,,,33.35214,129.855216,
26,E4120500004111,山代コミュニティセンター,佐賀県伊万里市山代町久原2697-2,,,,33.310923,129.809774,
27,E4120500005111,山代中学校,佐賀県伊万里市山代町久原3080-1,1,,,33.315201,129.807499,
28,E4120500006111,山代東小学校体育館,佐賀県伊万里市山代町久原65,,,,33.305423,129.812602,
29,E4120500007111,山代西小学校,佐賀県伊万里市山代町西分4475-1,1,,,33.323805,129.785093,
30,E4120500011111,松浦コミュニティセンター,佐賀県伊万里市松浦町山形5490-2,,,,33.267719,129.943303,
31,E4120500012111,東陵中学校,佐賀県伊万里市松浦町提川200,1,,,33.28592,129.964601,
