NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E2138300013111,結小学校,岐阜県安八町西結1065,1,,,35.362526,136.66355,
2,E2138300030111,名森小学校,岐阜県安八町大明神40,1,,,35.333276,136.660792,
3,E2138300032111,登龍中学校,岐阜県安八町大野333,1,,,35.32682,136.666304,
4,E2138300033111,総合体育館,岐阜県安八町大野343,1,,,35.327117,136.665044,
5,E2138300037121,安八温泉保養センター,岐阜県安八町中須202,1,,要配慮者,35.335331,136.653919,
6,E2138300040111,むすぶテラス,岐阜県安八町東結1561,1,,,35.360421,136.668462,
7,E2138300044111,東安中学校,岐阜県安八町東結952-43,1,,,35.360202,136.67313,
8,E2120200001111,東安中学校,岐阜県安八町東結952-43,,,,35.3602153321677,136.672994624408,
9,E2138300048121,安八町中央公民館,岐阜県安八町南今ケ渕400,,,要配慮者,35.336,136.6658,
10,E2138300053121,ハートピア安八,岐阜県安八町氷取30,,,要配慮者,35.3357,136.6644,
11,E2138300070111,牧小学校,岐阜県安八町牧2927,1,,,35.326395,136.647578,
12,E2120900003111,防災ステーション,岐阜県羽島市下中町石田701,1,,,35.275078511679,136.69870308355,
13,E2120900114111,環境プラント,岐阜県羽島市桑原町西小薮3-122,,,,35.252392,136.663422,
14,E2120900007111,羽島市立桑原学園体育館（後期課程）,岐阜県羽島市桑原町八神3315-1,1,,,35.2664636732632,136.682180676022,
15,E2120900009111,羽島市立中央小学校体育館,岐阜県羽島市江吉良町1270,1,,,35.3109044426646,136.706086082919,
16,E2120900022111,羽島市立小熊小学校体育館,岐阜県羽島市小熊町2-361-5,1,,,35.3501428753647,136.698305872106,
17,E2120900036111,羽島市立中島中学校体育館,岐阜県羽島市上中町沖1593,1,,,35.2974179741227,136.699778881601,
18,E2120900038111,羽島市立中島小学校体育館,岐阜県羽島市上中町沖2100,1,,,35.2900303212995,136.699561778003,
19,E2120900043111,羽島市立正木小学校体育館,岐阜県羽島市正木町坂丸4-3,1,,,35.330331424978,136.730252875659,
20,E2120900048111,岐阜県立羽島特別支援学校体育館,岐阜県羽島市正木町大浦230-1,1,,,35.3262743313492,136.726151225142,
21,E2120900052111,羽島市立羽島中学校体育館,岐阜県羽島市足近町7-455,1,,,35.3400479475058,136.721446899186,
22,E2120900053111,羽島市立足近小学校体育館,岐阜県羽島市足近町7-66-1,1,,,35.3456782006532,136.723986931259,
23,E2120900057111,羽島市立竹鼻小学校体育館,岐阜県羽島市竹鼻町1295-1,1,,,35.3280134180071,136.701894340532,
24,E2120900058111,岐阜県立羽島高等学校体育館,岐阜県羽島市竹鼻町200-2,1,,,35.3212881363994,136.696513177739,
25,E2120900074111,羽島市立中央中学校体育館,岐阜県羽島市竹鼻町飯柄505,1,,,35.3117078285672,136.715482751162,
26,E2120900116111,羽島市立福寿小学校体育館,岐阜県羽島市福寿町本郷1096,1,,,35.3233086771285,136.686074569902,
27,E2120900098111,羽島市立堀津小学校体育館,岐阜県羽島市堀津町617-1,1,,,35.3018537647532,136.676797219264,
28,E2122000001111,上原小学校・体育館,岐阜県下呂市夏焼3055,1,,,35.73383625409,137.28072033995,
29,E2122000002111,竹原中学校・体育館,岐阜県下呂市宮地2714,1,,,35.762907707406,137.29357968717,
30,E2122000003111,竹原公民館,岐阜県下呂市宮地288-1,1,,,35.766741,137.290022,
31,E2122000004111,竹原小学校・体育館,岐阜県下呂市宮地600,1,,,35.76757388887,137.28515915079,
32,E2122000005112,下原体育館・旧下原小校舎,岐阜県下呂市金山町下原町113,1,,,35.669733826662,137.16883880622,
33,E2122000006111,東公民館,岐阜県下呂市金山町岩瀬781-4,1,,,35.718605,137.135998,
34,E2122000007111,金山小学校・体育館,岐阜県下呂市金山町金山2151,1,,,35.660436357487,137.15984854365,
35,E2122000008111,金山市民会館,岐阜県下呂市金山町金山2294,1,,,35.658143,137.159866,
36,E2122000009111,かなやまこども園,岐阜県下呂市金山町金山2301-3,1,,,35.658682,137.159891,
37,E2122000010111,金山中学校・体育館,岐阜県下呂市金山町金山2619,1,,,35.65477,137.156453,
38,E2122000011111,リバーサイドスポーツセンター,岐阜県下呂市金山町金山911-1,1,,,35.669307,137.147075,
39,E2122000012111,健康館,岐阜県下呂市金山町金山973-2,1,,,35.668219,137.145776,
40,E2122000013121,金山デイサービスセンター,岐阜県下呂市金山町金山973-7,,,要配慮者,35.667073,137.146124,
41,E2122000014112,菅田体育館・菅田集学校,岐阜県下呂市金山町菅田桐洞117,1,,,35.643071,137.11954463559,
42,E2122000015111,いきいきセンター,岐阜県下呂市金山町菅田桐洞4101,1,,,35.640626,137.153617,
43,E2122000016111,菅田公民館,岐阜県下呂市金山町菅田桐洞699-3,1,,,35.644863,137.126346,
44,E2122000017112,東第一体育館・旧東第一小校舎,岐阜県下呂市金山町祖師野224-1,1,,,35.715278779366,137.13553501587,
45,E2122000019111,下原公民館,岐阜県下呂市金山町大船渡600-8,1,,,35.66333,137.161861,
46,E2122000019121,下呂市障がい者総合支援センター金山支所,岐阜県下呂市金山町大船渡600-8,1,,要配慮者,35.663288208201,137.16183072883,
47,E2120600001111,加子母Ｂ＆Ｇ海洋センター,岐阜県下呂市御厩野3015-102,1,,,35.751295715007,137.32952766047,
48,E2122000023111,小坂小学校・体育館,岐阜県下呂市小坂町小坂町1020,1,,,35.954296,137.260043,
49,E2122000025121,小坂デイサービスセンター,岐阜県下呂市小坂町大島1807,,,要配慮者,35.951,137.259225,
50,E2122000026121,小坂老人保健施設,岐阜県下呂市小坂町大島1963,,,要配慮者,35.951522,137.258957,
51,E2122000027111,下呂市きこりセンター,岐阜県下呂市小坂町大島987-14,1,,,35.948676324197,137.25826503837,
52,E2122000084111,小坂体育館,岐阜県下呂市小坂町長瀬397,,,,35.942835,137.271673,
53,E2122000029111,小坂中学校・体育館,岐阜県下呂市小坂町長瀬466,1,,,35.941783,137.272297,
54,E2122000030111,湯屋地区公民館,岐阜県下呂市小坂町湯屋199-3,1,,,35.916076,137.310495,
55,E2122000031111,湯屋体育館,岐阜県下呂市小坂町湯屋46,1,,,35.923318,137.30906055093,
56,E2122000032111,わかばこども園,岐阜県下呂市小川1048-1,1,,,35.797487,137.25678,
57,E2122000033111,下呂特別支援学校体育館,岐阜県下呂市小川432-1,1,,,35.801558,137.256542,
