NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E0720400440201,江名中学校校庭,福島県いわき市永崎字館1,1,,1,,1,1,1,,1,36.958585,140.941241,
2,E0720400254201,永崎小学校校舎,福島県いわき市永崎字川畑159-5,,,,,1,,,,,36.955383482012,140.9371707102,
3,E0720400243201,稲荷神社,福島県いわき市永崎字川畑220,,,,,1,,,,,36.957868792612,140.93891020146,
4,E0720400131201,遠野市民運動場,福島県いわき市遠野町上遠野字久保作34,1,1,,1,,1,1,,,37.002954172536,140.74113790254,
5,E0720400441201,旧県立いわき湯本高等学校遠野校舎校庭,福島県いわき市遠野町上遠野字赤坂10-1,1,1,,1,,1,1,,1,37.004085152866,140.74096624117,
6,E0720400008202,遠野小学校校庭,福島県いわき市遠野町上遠野字本町68,1,1,,1,,1,1,,1,37.008941064939,140.74748696447,
7,E0720400005201,入遠野中学校校庭,福島県いわき市遠野町上根本字荒神平20,1,1,,1,,1,1,,1,37.031963465993,140.71663004968,
8,E0720400004201,旧入遠野小学校校庭,福島県いわき市遠野町入遠野字前田142,1,1,,1,,1,1,,1,37.036753731791,140.7079375626,
9,E0720400028201,立地区高台,福島県いわき市久之浜町久之浜字館ノ山地内,,,,,1,,,,,37.147646288181,140.99987403952,
10,E0720400016201,龍光寺,福島県いわき市久之浜町久之浜字後原68,,,,,1,,,,,37.136844144481,140.9955743881,
11,E0720400018202,久之浜第一小学校校庭,福島県いわき市久之浜町久之浜字糠塚3-1,,1,1,1,1,1,,,1,37.142936977411,140.99300245013,
12,E0720400436201,市営住宅久之浜東団地,福島県いわき市久之浜町久之浜字川田23,,,,,1,,,,,37.14872537124,140.99606602182,
13,E0720400444201,久之浜中学校校庭,福島県いわき市久之浜町久之浜字大場72-1,1,1,1,1,1,1,1,,1,37.145166955448,140.9871337768,
14,E0720400437201,いわき市地域防災交流センター　久之浜・大久ふれあい館,福島県いわき市久之浜町久之浜字中町32,,,,,1,,,,,37.141515789132,140.99789178802,
15,E0720400026201,久之浜市民運動場,福島県いわき市久之浜町金ケ沢字北磯脇29-2,1,1,1,1,1,1,1,,,37.152736973829,140.99966981353,
16,E0720400027201,三嶋神社,福島県いわき市久之浜町田之網字横内93,,,,,1,,,,,37.12167408669,140.99588711703,
17,E0720400024202,福島県いわき海浜自然の家駐車場,福島県いわき市久之浜町田之網字向山53,1,1,1,1,1,1,1,,1,37.121013230543,140.98384808144,
18,E0720400023201,江之網集会所,福島県いわき市久之浜町田之網字江之網106,,,,,1,,,,,37.114707054742,140.99606070559,
19,E0720400025201,円成院,福島県いわき市久之浜町田之網字西ノ内58-2,,,,,1,,,,,37.125709655303,140.99307756266,
20,E0720400021201,翠祥園,福島県いわき市久之浜町末続字深谷33-1,1,1,1,1,1,1,1,,1,37.166558786367,140.99972240954,
21,E0720400019201,末続集会所,福島県いわき市久之浜町末続字鍋田49-2,1,1,1,1,1,1,1,,1,37.178655962283,140.99159845185,
22,E0720400029202,郷ケ丘小学校校庭,福島県いわき市郷ケ丘3-50-18,1,1,,1,,1,1,,1,37.02907903931,140.91306452945,
23,E0720400411201,市営住宅錦団地,福島県いわき市錦町鵜ノ巣23,,,,,1,,,,,36.90276419312,140.79162115538,
24,E0720400140201,鬼越神社,福島県いわき市錦町鬼越下63,,,,,1,,,,,36.912271424515,140.77121194766,
25,E0720400410201,江栗第一公園,福島県いわき市錦町江栗3-27,,1,,1,,1,1,,,36.91419428,140.77591322,
26,E0720400034202,南の森スポーツパーク,福島県いわき市錦町細谷102-58,1,1,,1,,1,1,,1,36.9131725935,140.765523634,
27,E0720400422201,錦東小学校校舎,福島県いわき市錦町鷺内64-5,,,,,1,,,,,36.901713768252,140.79822525655,
28,E0720400419201,中迎二丁目公園,福島県いわき市錦町中迎2-4-1,,1,1,1,,1,,,,36.90733049,140.79571498,
29,E0720400038203,錦小学校校舎,福島県いわき市錦町鳥居東1-1,,,,,1,,,,1,36.910675,140.787704,
30,E0720400038202,錦小学校校庭,福島県いわき市錦町鳥居東1-1,,1,1,1,,1,,,1,36.910410593336,140.78760374729,
31,E0720400448201,錦中学校校庭,福島県いわき市錦町飯盛町1-1,,1,1,1,,1,,,1,36.901988361302,140.7880721832,
32,E0720400448202,錦中学校校舎,福島県いわき市錦町飯盛町1-1,,,,,1,,,,1,36.902164,140.788116,
33,E0720400214201,金山公園,福島県いわき市金山町朝日台1,1,1,1,1,,1,1,,,36.92946644,140.82026237,
34,E0720400415201,宝徳院,福島県いわき市後田町石田35,,,,,1,,,,,36.923913712903,140.79101287875,
35,E0720400077201,好間多目的広場,福島県いわき市好間工業団地24-5,1,1,,1,,1,1,,,37.078312551659,140.84537024624,
36,E0720400046202,さくら保育園園庭,福島県いわき市好間町下好間字沼田112,,1,,1,,1,,,1,37.059170883561,140.8618991992,
37,E0720400048202,好間第二小学校校庭,福島県いわき市好間町今新田字手倉2,,1,,1,,1,1,,1,37.066516074457,140.8763937059,
38,E0720400449201,好間中学校校庭,福島県いわき市好間町小谷作字竹ノ内1-1,1,1,,1,,1,1,,1,37.067566998516,140.86168552533,
39,E0720400451201,好間第一小学校校庭,福島県いわき市好間町上好間字馬場前14,,1,,1,,1,,,1,37.0668310347,140.851270127,
40,E0720400045201,好間保育所所庭,福島県いわき市好間町上好間字馬場前19-3,,1,,1,,1,1,,,37.066891054931,140.85242563696,
41,E0720400053201,好間第四小学校校庭,福島県いわき市好間町大利字戸作田65,1,1,,1,,1,1,,1,37.075287012088,140.80476547373,
42,E0720400050201,旧好間第三小学校校庭,福島県いわき市好間町北好間字権現堂60,1,,,,,1,1,,1,37.071075072328,140.83271676512,
43,E0720400225201,江名幼稚園,福島県いわき市江名字上代8-4,1,,1,,1,1,1,,,36.972816538071,140.95803004965,
44,E0720400452201,江名小学校校庭,福島県いわき市江名字天ケ作154,1,1,1,1,1,1,1,,1,36.970808565739,140.9540414191,
45,E0720400159201,中田山,福島県いわき市江名字風越118-3,,,,,1,,,,,36.967575437048,140.95850688359,
46,E0720400274201,江名公民館,福島県いわき市江名字藪倉165-1,1,1,1,1,1,1,1,,1,36.977883376633,140.95126363261,
47,E0720400491201,市営住宅佐糠第二団地,福島県いわき市佐糠町2-7-7,1,,,,,,,,,36.912693,140.807419,
48,E0720400490201,市営住宅佐糠第一団地,福島県いわき市佐糠町東2-10-2,1,,,,1,,,,,36.918129,140.807617,
49,E0720400414201,６号バイパス（佐糠側避難階段）,福島県いわき市佐糠町東二丁目4-1,,,,,1,,,,,36.918942015781,140.80966027576,
50,E0720400176201,桜ケ丘四丁目公園,福島県いわき市桜ケ丘4-68-1,1,1,,1,,1,1,,,36.993778395645,140.84017618757,
51,E0720400071202,下永井公民館広場,福島県いわき市三和町下永井字横山66-1,1,1,,1,,1,1,,1,37.139944402691,140.76550765705,
52,E0720400474201,旧三阪小・中学校校庭,福島県いわき市三和町中三坂字腰巻28,1,1,,1,,1,1,,,37.198864031299,140.63742394577,
53,E0720400453201,旧三和中学校校庭,福島県いわき市三和町中寺字樋ノ口4-2,1,1,,1,,1,1,,1,37.124648595527,140.72151656279,
54,E0720400446201,玉田院境内,福島県いわき市山田町井上14,1,1,,1,,1,1,,,36.92796002804,140.75679791866,
55,E0720400432201,菊田小学校校庭,福島県いわき市山田町林崎前56,,1,,1,,1,1,,,36.92793371625,140.77363698304,
56,E0720400454201,大野中学校校庭,福島県いわき市四倉町玉山字御城204,1,1,,1,,1,1,,1,37.116767745686,140.93768587261,
57,E0720400089201,旧大野第一小学校校庭,福島県いわき市四倉町玉山字林崎5,1,1,,1,,1,1,,1,37.114936899433,140.94796409755,
58,E0720400091202,旧大野第二小学校校庭,福島県いわき市四倉町駒込字広畑11,1,1,,1,,1,1,,1,37.113722014401,140.9035252586,
59,E0720400092201,大浦公民館,福島県いわき市四倉町狐塚字小橋89,,1,1,1,1,1,1,,1,37.090364071375,140.96935464603,
60,E0720400093202,大浦小学校校庭,福島県いわき市四倉町狐塚字松橋27,,1,1,1,1,1,1,,1,37.094324279033,140.96619654594,
61,E0720400102201,クリナップ体育館駐車場,福島県いわき市四倉町細谷字小橋前11,,,,,1,,,,,37.08574266163,140.96662375278,
62,E0720400094201,細谷集会所,福島県いわき市四倉町細谷字弁天前地内,,1,1,1,1,1,1,,,37.086172869264,140.96297205959,
63,E0720400099201,県立四倉高等学校校庭,福島県いわき市四倉町字五丁目4,1,1,1,1,1,1,,,,37.111679624969,140.98753217754,
64,E0720400095201,妙見尊,福島県いわき市四倉町字西三丁目19,,,,,1,,,,,37.10641586737,140.98466136427,
65,E0720400103201,諏訪神社（四倉）,福島県いわき市四倉町字西三丁目60,,,,,1,,,,,37.108252597248,140.98697361044,
66,E0720400096201,四倉小学校校庭,福島県いわき市四倉町字西四丁目3-3,,1,1,1,,1,,,,37.108810942459,140.98738720565,
67,E0720400098201,日出ヶ岡公園（忠魂碑）,福島県いわき市四倉町字太夫坂地内,,,,,1,,,,,37.111044739862,140.99025690296,
68,E0720400442201,四倉中学校校舎,福島県いわき市四倉町字東一丁目65,,,,,1,,,,,37.099341428857,140.98457523442,
69,E0720400105201,海嶽寺,福島県いわき市四倉町字梅ケ丘119-1,,,,,1,,,,,37.105024538422,140.9821856522,
70,E0720400456201,地蔵尊,福島県いわき市四倉町上仁井田字岸前159,,,,,1,,,,,37.100876811876,140.97420668574,
71,E0720400014201,市営住宅四倉南団地,福島県いわき市四倉町上仁井田字矢ノ田10-2,,,,,1,,,,,37.098382047524,140.97522258489,
72,E0720400458201,鹿島小学校校庭,福島県いわき市鹿島町走熊字中島1-1,,1,,1,,1,,,1,36.995530961526,140.90974820611,
73,E0720400183201,若葉台北公園,福島県いわき市若葉台1-24-5,1,1,,1,,1,1,,,37.01956493884,140.89838012452,
