NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1111,E3038200016111,農村環境改善センター,和歌山県日高町大字高家630,1,,,33.926255,135.140836,
1112,E3038200017121,通園あこう,和歌山県日高町大字高家631,,,要配慮者,33.92631299,135.1404432,
1113,E3038200019111,産湯集会所,和歌山県日高町大字産湯163,1,,,33.91213652,135.0842876,
1114,E3038200021111,下志賀コミュニティセンター,和歌山県日高町大字志賀1018-1,1,,,33.92137675,135.1190511,
1115,E3038200022112,武道館,和歌山県日高町大字志賀1781,1,,,33.92269699,135.1108294,
1116,E3038200022111,志賀保育所,和歌山県日高町大字志賀1781,1,,,33.92275931,135.1100515,
1117,E3038200023111,志賀小学校,和歌山県日高町大字志賀1800,1,,,33.92334019,135.1146135,
1118,E3038200024111,久志集会所,和歌山県日高町大字志賀2722-2,1,,,33.92765513,135.1004032,
1119,E3038200025111,上志賀青年会場,和歌山県日高町大字志賀3486,1,,,33.93561598,135.1025026,
1120,E3038200026111,善宗寺,和歌山県日高町大字志賀3852,1,,,33.94713026,135.094101,
1121,E3038200027111,柏コミュニティセンター,和歌山県日高町大字志賀3887-1,,,,33.94676,135.0950481,
1122,E3038200029111,文化会館,和歌山県日高町大字志賀564-1,1,,,33.9190991,135.1269581,
1123,E3038200030111,日高中学校,和歌山県日高町大字志賀71,1,,,33.92211719,135.1262392,
1124,E3038200033111,小浦公民館,和歌山県日高町大字小浦174,1,,,33.92854076,135.0772371,
1125,E3038200035111,小坂青年会場,和歌山県日高町大字小坂262,,,,33.91911921,135.0923559,
1126,E3038200036111,小池集会所,和歌山県日高町大字小池450,1,,,33.90695864,135.1283457,
1127,E3038200038121,ふれあいセンター,和歌山県日高町大字小中1308,1,,要配慮者,33.92469944,135.1262633,
1128,E3038200038111,ふれあいセンター,和歌山県日高町大字小中1308,1,,,33.92469944,135.1262633,
1129,E3038200039121,グループホームれんげ,和歌山県日高町大字小中670-1,,,要配慮者,33.9219126711187,135.129027055923,
1130,E3038200057111,小中集会所,和歌山県日高町大字小中787-1,1,,,33.923035,135.132048,
1131,E3038200041111,来迎寺,和歌山県日高町大字池田341,1,,,33.94226502,135.1337546,
1132,E3038200043111,池田公民館,和歌山県日高町大字池田79-1,,,,33.94203697,135.1357898,
1133,E3038200045111,萩原公民館,和歌山県日高町大字萩原551-1,1,,,33.929044,135.147972,
1134,E3038200046111,萩原集会所,和歌山県日高町大字萩原768-1,1,,,33.929338,135.146618,
1135,E3038200047111,内原小学校,和歌山県日高町大字萩原964,1,,,33.930552,135.141647,
1136,E3038200052111,比井崎体育館,和歌山県日高町大字比井963-1,1,,,33.9221817,135.0833118,
1137,E3038200054111,温泉館みちしおの湯,和歌山県日高町大字方杭100,1,,,33.938406,135.087046,
1138,E3038200056111,荘厳寺,和歌山県日高町大字方杭65-1,,,,33.93980709,135.0871443,
1139,E3040100006111,白浜会館,和歌山県白浜町1-1,,,,33.693269844405,135.35494610615,
1140,E3040100004111,町立武道場,和歌山県白浜町1094-5,,,,33.686554413693,135.3492197217,
1141,E3040100005111,美之浦保健センター,和歌山県白浜町1095-5,,,,33.685825623245,135.34905385615,
1142,E3040100009111,中央公民館,和歌山県白浜町1130-9,,,,33.685127464228,135.34985361878,
1143,E3040100012111,町立児童図書館,和歌山県白浜町1335-13,,,,33.684438527129,135.34602916316,
1144,E3040100014111,しららはまゆう公園管理事務所,和歌山県白浜町1392-1,,,,33.681656091366,135.34644386838,
1145,E3040100017111,中央保健センター,和歌山県白浜町1447,,,,33.681328315318,135.34847033606,
1146,E3040100019111,白浜町役場,和歌山県白浜町1600,1,,,33.678136503993,135.34818541483,
1147,E3040100020111,牟婁の湯会館,和歌山県白浜町1665,,,,33.677234438124,135.34203845238,
1148,E3040100022121,ＳＨＩＲＡＨＡＭＡ　ＫＥＹ　ＴＥＲＲＡＣＥ　ＨＯＴＥＬ　ＳＥＡＭＯＲＥ,和歌山県白浜町1821,,,要配慮者,33.676030822415,135.33734434718,
1149,E3040100023111,白浜幼児園,和歌山県白浜町190,1,,,33.690299021781,135.34956516007,
1150,E3040100024111,白浜第一小学校,和歌山県白浜町196,,,,33.689844437534,135.34804673197,
1151,E3040100025111,湯崎老人憩いの家,和歌山県白浜町2150-3,,,,33.67560662764,135.34374037496,
1152,E3040100026111,白浜第二小学校,和歌山県白浜町2234,,,,33.675531633886,135.34541082107,
1153,E3040100028111,湯崎保育園,和歌山県白浜町2246-1,,,,33.6759739811,135.34596574355,
1154,E3040100029111,江津良集会所,和歌山県白浜町229-1,,,,33.691346452991,135.34938622259,
1155,E3040100031111,白浜中学校,和歌山県白浜町2601,,,,33.67994102761,135.3525432879,
1156,E3040100033111,寒サ浦集会所,和歌山県白浜町2867-1,,,,33.678257133719,135.36220984446,
