NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E0632100003111,西里小学校,山形県河北町西里562,1,,,38.414847537116,140.28514043334,
2,E0632100004111,両所活性化センター,山形県河北町西里6346,1,,,38.420210667417,140.2792461363,
3,E0632100006111,西里農村環境改善センター,山形県河北町西里750-7,1,,,38.417859658799,140.28786331229,
4,E0632100011111,北谷地小学校,山形県河北町大字吉田367,1,,,38.444567321073,140.31461220034,
5,E0632100012111,北谷地構造改善センター,山形県河北町大字吉田字馬場261,1,,,38.445354312071,140.31396809063,
6,E0632100014111,溝延小学校,山形県河北町大字溝延字小堤312-1,1,,,38.396489732247,140.31750121366,
7,E0632100015111,溝延研修センター,山形県河北町大字溝延字小堤40,1,,,38.396429837405,140.31512976464,
8,E0632100028111,総合福祉センター,山形県河北町谷地甲2325-3,1,,,38.424565473255,140.31599651691,
9,E0632100030111,谷地南部小学校,山形県河北町谷地荒町東1-7-1,1,,,38.421606613694,140.31761570795,
10,E0632100035111,べに花温泉ひなの湯,山形県河北町谷地字下野269,1,,,38.417730441077,140.32151449429,
11,E0632100040111,河北町職業訓練センター,山形県河北町谷地字所岡142-2,1,,,38.429551749064,140.31026336683,
12,E0632100041111,谷地中部小学校,山形県河北町谷地字所岡73,1,,,38.428615443925,140.3107766407,
13,E0632100042111,河北町民体育館,山形県河北町谷地字所岡77,1,,,38.429598645883,140.31113488172,
14,E0632100045111,県立谷地高等学校,山形県河北町谷地字田中170,1,,,38.422034500483,140.30889440379,
15,E0632100048111,谷地西部小学校,山形県河北町谷地字布田55,1,,,38.43799137237,140.3021224643,
16,E0632100051111,総合交流センターサハトべに花,山形県河北町谷地所岡3-1-10,1,,,38.43146260152,140.30925835968,
17,E0632100055111,河北中学校,山形県河北町谷地中央4-12-1,1,,,38.418890871836,140.31030898696,
18,E0620600003111,寒河江小学校,山形県寒河江市丸内1-3-8,1,,,38.37647812594,140.27961140547,
19,E0620600005111,寒河江中部小学校,山形県寒河江市元町2-19,1,,,38.370726622523,140.27180443592,
20,E0620600011111,三泉小学校,山形県寒河江市字中河原191-1,1,,,38.405623235781,140.28539875197,
21,E0620600018111,旧幸生小学校,山形県寒河江市大字幸生550,1,,,38.452422052548,140.20220119991,
22,E0620600019111,南部小学校,山形県寒河江市大字高屋字北江11,1,洪水時は校舎2階以上に避難すること,,38.358187276199,140.28205130984,
23,E0620600020111,柴橋小学校,山形県寒河江市大字柴橋1923,1,,,38.369377005367,140.24100716916,
24,E0620600022111,柴橋地区コミュニティセンター,山形県寒河江市大字柴橋1988-6,1,,,38.370112130694,140.24217627337,
25,E0620600023111,西部地区公民館,山形県寒河江市大字清助新田930,1,,,38.405401659726,140.23578445524,
26,E0620600025111,西根小学校,山形県寒河江市大字西根170,1,,,38.383366905191,140.28998340782,
27,E0620600026111,陵東中学校,山形県寒河江市大字西根430,1,,,38.39297276057,140.27841476714,
28,E0620600028111,勤労青少年ホーム,山形県寒河江市大字西根字石川西333,1,,,38.389048959899,140.27592506562,
29,E0620600028112,中央公民館,山形県寒河江市大字西根字石川西333,1,,,38.389217147548,140.27590897236,
30,E0620600029111,市民体育館,山形県寒河江市大字西根字石川西365,1,,,38.390501159511,140.27544194823,
31,E0620600030111,南部地区公民館,山形県寒河江市大字島225,1,,,38.355111440748,140.27900657791,
32,E0620600033111,醍醐小学校,山形県寒河江市大字日和田6-1,1,,,38.4061257942,140.253365007,
33,E0620600035111,しらいわ保育所,山形県寒河江市大字白岩1296-2,1,,,38.408242,140.228424,
34,E0620600036111,白岩小学校,山形県寒河江市大字白岩1848,1,,,38.410959404169,140.22892659518,
35,E0620600037111,老人福祉センター,山形県寒河江市大字白岩字大江寺415,,,,38.409665892292,140.22153117077,
36,E0620600038111,さくらんぼ会館,山形県寒河江市大字八鍬字川原919-6,1,,,38.398828588344,140.27221469047,
37,E0620600039111,陵西中学校,山形県寒河江市大字八鍬字富沢836,1,,,38.404741427201,140.24005997874,
38,E0620600040112,高松小学校,山形県寒河江市大字米沢643-2,1,,,38.401392384811,140.2420846504,
39,E0620600040111,たかまつ保育所,山形県寒河江市大字米沢643-2,1,,,38.4006820603,140.242901168,
40,E0620600052111,寒河江市立図書館,山形県寒河江市中央1-7-14,1,,,38.380778,140.2779,
41,E0620600051111,技術交流プラザ,山形県寒河江市中央工業団地153-1,1,,,38.387127,140.254486,
42,E0620600043111,陵南中学校,山形県寒河江市内の袋1-11-1,1,,,38.372440921118,140.26130081004,
43,E0620600046111,なか保育所,山形県寒河江市八幡町1-10,1,,,38.379493412952,140.27510569548,
44,E0620600049111,県立寒河江工業高等学校,山形県寒河江市緑町148,1,,,38.385162,140.25884,
45,E0620600050111,県立寒河江高等学校,山形県寒河江市六供町2-3-9,1,,,38.38070270607,140.2698379527,
46,E0636100001111,旧明安小学校体育館,山形県金山町大字下野明1696-1,1,,,38.8628167280729,140.350493052669,
47,E0636100002112,金山小学校体育館,山形県金山町大字金山108-2,1,,,38.883525,140.341977,
