NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E3034100001201,移レストハウス,和歌山県かつらぎ町大字移82-1,1,1,,1,,,1,,1,34.294695,135.455451,
2,E3034100002201,天野地域交流センター（ゆずり葉）,和歌山県かつらぎ町大字下天野930,1,1,,1,,,1,,1,34.2591611,135.5145633,
3,E3034100003201,久木コミュニティセンター,和歌山県かつらぎ町大字花園久木284,1,,,,,,1,,1,34.1507588,135.5722887,
4,E3034100004201,新子ふるさと村,和歌山県かつらぎ町大字花園新子96,1,,,,,,1,,1,34.13156,135.5499371,
5,E3034100005201,花園保健福祉館,和歌山県かつらぎ町大字花園中南250,1,,,,,,1,,1,34.1358227,135.5709853,
6,E3034100006201,旧花園中学校,和歌山県かつらぎ町大字花園北寺189,1,,,1,,,1,,1,34.1376874,135.5372523,
7,E3034100007201,遍照寺,和歌山県かつらぎ町大字花園梁瀬1567,1,,,,,,1,,1,34.1384065,135.5155117,
8,E3034100008201,梁瀬小学校,和歌山県かつらぎ町大字花園梁瀬567-1,1,,,1,,1,1,,1,34.1363912,135.5164956,
9,E3034100010201,はなぞの温泉「花圃の里」,和歌山県かつらぎ町大字花園梁瀬779,1,,,1,,,1,,1,34.1386916,135.5193076,
10,E3034100011201,新規作物地域ブランド定着施設,和歌山県かつらぎ町大字笠田中256-19,1,1,,1,,,1,,1,34.290037,135.472689,
11,E3034100012201,笠田中学校,和歌山県かつらぎ町大字笠田東132,,1,,1,,,1,,1,34.28813454,135.4805428,
12,E3034100013201,笠田東第１自治区コミュニティセンター,和歌山県かつらぎ町大字笠田東30-3,,1,,1,,,1,,1,34.2911689,135.4805584,
13,E3034100014201,笠田東児童館,和歌山県かつらぎ町大字笠田東353-1,,1,,,,,1,,1,34.28517691,135.4780778,
14,E3034100015201,笠田ふるさと交流館,和歌山県かつらぎ町大字笠田東396-3,,1,,1,,,1,,1,34.2882136,135.4786396,
15,E3034100016201,笠田小学校,和歌山県かつらぎ町大字笠田東558,1,1,,1,,,1,,1,34.2878084,135.4751819,
16,E3034100017201,笠田東第１自治区西集会所,和歌山県かつらぎ町大字笠田東666-2,1,1,,1,,,1,,1,34.2890748,135.4772634,
17,E3034100018201,笠田高等学校,和歌山県かつらぎ町大字笠田東825,1,1,,1,,,1,,1,34.2927388,135.4782471,
18,E3034100019201,宮本集会所,和歌山県かつらぎ町大字宮本13,1,,,1,,,1,,1,34.270314,135.502974,
19,E3034100020201,窪ふるさと館,和歌山県かつらぎ町大字窪140,1,1,,1,,,1,,1,34.28924,135.464017,
20,E3034100021201,兄井集会所,和歌山県かつらぎ町大字兄井243,1,,,,,,1,,1,34.288871,135.505724,
21,E3034100022201,四邑公民館,和歌山県かつらぎ町大字御所8-2,1,,,1,,,1,,1,34.256846660492,135.48644103487,
22,E3034100023201,四郷地域交流センター（ともがき）,和歌山県かつらぎ町大字広口1197,1,,,1,,,1,,1,34.32447624,135.4797062,
23,E3034100024201,広口生活改善センター,和歌山県かつらぎ町大字広口476,1,,,,,,1,,1,34.31692944,135.4721471,
24,E3034100025201,高田児童館,和歌山県かつらぎ町大字高田67-2,1,1,,,,,1,,1,34.282619,135.44936,
25,E3034100026201,笠田公民館佐野分館,和歌山県かつらぎ町大字佐野550-1,,1,,,,,1,,1,34.2954007,135.4879896,
26,E3034100027201,三谷こども園,和歌山県かつらぎ町大字三谷1650,,,,1,,,1,,1,34.2910712,135.5186647,
27,E3034100028201,三谷公民館,和歌山県かつらぎ町大字三谷1670-1,,,,,,,1,,1,34.289528149284,135.51769723929,
28,E3034100029201,丹生酒殿神社,和歌山県かつらぎ町大字三谷631,1,,,,,,1,,1,34.289211,135.520012,
