NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E0823000001111,安飾コミュニティステーション,茨城県かすみがうら市安食1075-1,1,,,36.11382,140.347689,
2,E0823000005111,下稲吉コミュニティセンター,茨城県かすみがうら市稲吉3-15-67,1,,,36.124833,140.248308,
3,E0823000007111,下稲吉小学校,茨城県かすみがうら市下稲吉1623-5,1,,,36.135183912731,140.23950350693,
4,E0823000008111,大塚ふれあいセンター,茨城県かすみがうら市下稲吉1868-22,1,,,36.1320509780621,140.2392702067748,
5,E0823000009111,下稲吉中学校,茨城県かすみがうら市下稲吉2273-2,1,,,36.132641746769,140.24778100348,
6,E0823000010111,下稲吉東小学校,茨城県かすみがうら市下稲吉2286,1,,,36.131009636716,140.25145785133,
7,E0823000011121,やまゆり館,茨城県かすみがうら市下稲吉2423-9,,,避難行動要支援者とその家族、その他市が認めるもの,36.129913764994,140.25309481008,
8,E0823000012111,わかぐり保育所,茨城県かすみがうら市下稲吉519-2,1,,,36.149718,140.245788,
9,E0823000013111,霞ヶ浦北小学校,茨城県かすみがうら市下軽部1232,1,,,36.097478581314,140.3427106332,
10,E0823000044111,下大津コミュニティステーション,茨城県かすみがうら市加茂4472,1,,,36.08,140.284823,
11,E0823000015111,牛渡コミュニティステーション,茨城県かすみがうら市牛渡2862-3,1,,,36.066676,140.331407,
12,E0823000048121,社会福祉法人　明清会　ほびき園,茨城県かすみがうら市牛渡5513-1,,,精神障がい者,36.078236,140.324376,
13,E0823000017111,やまゆり保育所,茨城県かすみがうら市五反田298-20,1,,,36.177623,140.21998,
14,E0823000054111,かすみがうら市歴史博物館研修施設,茨城県かすみがうら市坂1029-1,1,,,36.074402,140.372947,
15,E0823000019111,真如苑茨城本部長禅寺,茨城県かすみがうら市坂924-3,,,,36.073635,140.376759,
16,E0823000021111,志士庫コミュニティステーション,茨城県かすみがうら市宍倉1594,1,,,36.122000972165,140.32185198742,
17,E0823000023111,かすみがうらウエルネスプラザ,茨城県かすみがうら市宍倉5462,1,,,36.128566111499,140.28643137423,
18,E0823000024121,社会福祉法人明岳会　ピソ天神,茨城県かすみがうら市宍倉5696-3,,,避難行動要支援者のうち介護保険における要介護認定者で、要介護３・４・５の者とその家族。その他市が認める者。,36.130609829927,140.2710595924,
19,E0823000025111,旧七会小学校,茨城県かすみがうら市上稲吉182-2,1,,,36.143219147952,140.22053743108,
20,E0823000027111,旧上佐谷小学校,茨城県かすみがうら市上佐谷1837,1,,,36.165047554925,140.20506005056,
21,E0823000028111,千代田義務教育学校,茨城県かすみがうら市上佐谷990,1,,,36.162248005806,140.22389621926,
22,E0823000047111,千代田義務教育学校児童クラブ,茨城県かすみがうら市上佐谷990-74,,,,36.160893,140.223606,
