NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E1120200001111,太田市沢野行政センター,群馬県太田市高林西町882-5,1,,,36.259136534752,139.36586050429,
2,E1120200002111,太田市立南小学校,群馬県太田市高林東町1372,1,,,36.255754,139.376414,
3,E1120200003111,太田市立南中学校,群馬県太田市高林北町955-1,1,,,36.262005,139.363701,
4,E1110000002111,県立浦和第一女子高等学校,埼玉県さいたま市浦和区岸町3-8-45,1,,,35.852705,139.65853,
5,E1110000003111,高砂小学校,埼玉県さいたま市浦和区岸町4-1-29,1,,,35.856518,139.656685,
6,E1110000004111,岸町公民館,埼玉県さいたま市浦和区岸町5-1-3,,,,35.852157,139.654614,
7,E1110000005111,岸町小学校,埼玉県さいたま市浦和区岸町5-20-4,1,,,35.851022,139.650242,
8,E1110000008111,浦和駒場体育館,埼玉県さいたま市浦和区駒場2-5-6,,,,35.872421,139.66221,
9,E1110000010111,浦和高等学校,埼玉県さいたま市浦和区元町1-28-17,1,,,35.871086,139.657361,
10,E1110000011111,上木崎公民館,埼玉県さいたま市浦和区上木崎3-2-14,,,,35.887255,139.645683,
11,E1110000012111,上木崎小学校,埼玉県さいたま市浦和区上木崎3-4-3,1,,,35.88792,139.642941,
12,E1110000014111,仲町公民館,埼玉県さいたま市浦和区常盤4-1-12,,,,35.86137,139.649878,
13,E1110000015111,埼玉大学教育学部附属小学校,埼玉県さいたま市浦和区常盤6-9-44,1,,,35.861961,139.642968,
14,E1110000016111,仲町小学校,埼玉県さいたま市浦和区常盤8-18-4,1,,,35.864152,139.64067,
15,E1110000018111,常盤公民館,埼玉県さいたま市浦和区常盤9-30-1,,,,35.871143,139.64314,
16,E1110000019111,常盤小学校,埼玉県さいたま市浦和区常盤9-30-9,1,,,35.868534,139.643008,
17,E1110000020111,浦和南公民館,埼玉県さいたま市浦和区神明1-28-13,,,,35.850113,139.661025,
18,E1110000021111,針ヶ谷公民館,埼玉県さいたま市浦和区針ケ谷3-4-14,,,,35.882683,139.642013,
19,E1110000022111,常盤中学校,埼玉県さいたま市浦和区針ケ谷4-1-9,1,,,35.87841,139.639513,
20,E1110000023111,常盤北小学校,埼玉県さいたま市浦和区針ケ谷4-2-12,1,,,35.878841,139.639133,
21,E1110000024111,木崎中学校,埼玉県さいたま市浦和区瀬ケ崎2-17-1,1,,,35.878867,139.661438,
22,E1110000026111,大原中学校,埼玉県さいたま市浦和区大原3-1-11,1,,,35.892979,139.648461,
23,E1110000027111,大東公民館,埼玉県さいたま市浦和区大東2-13-16,,,,35.883383,139.662602,
24,E1110000028111,大東小学校,埼玉県さいたま市浦和区大東3-14-1,1,,,35.883331,139.664517,
25,E1110000029111,北浦和小学校,埼玉県さいたま市浦和区北浦和2-18-3,1,,,35.87728,139.648488,
26,E1110000030111,北浦和公民館,埼玉県さいたま市浦和区北浦和2-19-25,,,,35.877615,139.647753,
27,E1110000031111,仲本小学校,埼玉県さいたま市浦和区本太2-12-31,1,,,35.861626,139.660918,
28,E1110000032111,仲本公民館,埼玉県さいたま市浦和区本太2-12-40,,,,35.860592,139.662066,
29,E1110000033111,本太小学校,埼玉県さいたま市浦和区本太2-26-25,1,,,35.865283,139.657621,
30,E1110000034111,本太公民館,埼玉県さいたま市浦和区本太4-3-23,,,,35.866861,139.657876,
31,E1110000035111,県立浦和西高等学校,埼玉県さいたま市浦和区木崎3-1-1,1,,,35.889606,139.654233,
32,E1110000036111,本太中学校,埼玉県さいたま市浦和区領家1-4-15,1,,,35.873499,139.658654,
33,E1110000037111,南箇公民館,埼玉県さいたま市浦和区領家3-15-10,,,,35.876985,139.657986,
34,E1110000038111,木崎小学校,埼玉県さいたま市浦和区領家4-19-4,1,,,35.882896,139.653118,
35,E1110000039111,領家公民館,埼玉県さいたま市浦和区領家4-21-21,,,,35.882079,139.653761,
36,E1110000040111,県立浦和高等学校,埼玉県さいたま市浦和区領家5-3-3,1,,,35.878132,139.651911,
37,E1110000041111,針ヶ谷小学校,埼玉県さいたま市浦和区領家7-2-1,1,,,35.881648,139.648778,
38,E1110000042111,西原中学校,埼玉県さいたま市岩槻区岩槻3750,1,,,35.95516,139.681495,
39,E1110000043111,城北小学校,埼玉県さいたま市岩槻区岩槻6619,1,,,35.962081,139.693885,
40,E1110000044111,和土小学校,埼玉県さいたま市岩槻区黒谷1353,1,,,35.926126,139.72072,
41,E1110000045111,岩槻南部公民館,埼玉県さいたま市岩槻区笹久保1348-1,,,,35.916416,139.715726,
42,E1110000046111,老人福祉センター槻寿苑,埼玉県さいたま市岩槻区笹久保1393,,,,35.918484,139.713086,
43,E1110000047111,城南中学校,埼玉県さいたま市岩槻区笹久保577,1,,,35.914922,139.727066,
44,E1110000048111,県立岩槻北陵高等学校,埼玉県さいたま市岩槻区慈恩寺117-2,1,,,35.97785,139.713988,
45,E1110000049111,慈恩寺小学校,埼玉県さいたま市岩槻区慈恩寺259,1,,,35.981535,139.708221,
46,E1110000050111,岩槻北部公民館,埼玉県さいたま市岩槻区慈恩寺904-1,,,,35.980086,139.714272,
47,E1110000051111,上里小学校,埼玉県さいたま市岩槻区上里2-2,1,,,35.965312,139.704251,
48,E1110000052111,県立岩槻高等学校,埼玉県さいたま市岩槻区城南1-3-38,1,,,35.942114,139.703918,
49,E1110000053111,柏陽中学校,埼玉県さいたま市岩槻区真福寺454,1,,,35.93593,139.703087,
50,E1110000054111,東岩槻小学校,埼玉県さいたま市岩槻区諏訪2-6-1,1,,,35.970196,139.709369,
51,E1110000056111,西原小学校,埼玉県さいたま市岩槻区西原6-25,1,,,35.95278,139.683341,
52,E1110000057111,岩槻文化公園体育館,埼玉県さいたま市岩槻区村国229,1,,,35.944477,139.72183,
53,E1110000058111,県立岩槻商業高等学校,埼玉県さいたま市岩槻区太田1-4-1,1,,,35.950783,139.705319,
54,E1110000059111,市民会館いわつき,埼玉県さいたま市岩槻区太田3-1-1,,,,35.950835,139.70902,
55,E1110000061111,岩槻城址公民館,埼玉県さいたま市岩槻区太田3-4-1,,,,35.951851,139.710622,
56,E1110000067111,川通小学校,埼玉県さいたま市岩槻区大野島422-1,1,,,35.941988,139.731041,
57,E1110000068111,岩槻中学校,埼玉県さいたま市岩槻区仲町1-14-35,1,,,35.94928,139.703693,
58,E1110000069111,太田小学校,埼玉県さいたま市岩槻区仲町1-17-3,1,,,35.948168,139.703865,
59,E1110000070111,川通中学校,埼玉県さいたま市岩槻区長宮435,1,,,35.947973,139.731181,
60,E1110000071111,ふれあいプラザいわつき,埼玉県さいたま市岩槻区東岩槻6-6,,,,35.962272,139.716504,
61,E1110000072111,徳力小学校,埼玉県さいたま市岩槻区徳力136-4,1,,,35.974203,139.71675,
62,E1110000073111,城南小学校,埼玉県さいたま市岩槻区南下新井1191-1,1,,,35.935743,139.712716,
63,E1110000075111,柏崎小学校,埼玉県さいたま市岩槻区柏崎762,1,,,35.933493,139.701591,
64,E1110000076111,新和小学校,埼玉県さいたま市岩槻区尾ケ崎1252,1,,,35.910847,139.732597,
65,E1110000077111,桜山中学校,埼玉県さいたま市岩槻区表慈恩寺684-1,1,,,35.972723,139.711214,
66,E1110000078111,河合小学校,埼玉県さいたま市岩槻区平林寺351,1,,,35.967296,139.671845,
67,E1110000079111,岩槻本丸公民館,埼玉県さいたま市岩槻区本丸3-17-1,,,,35.953987,139.705043,
68,E1110000080111,城北中学校,埼玉県さいたま市岩槻区本宿392-1,1,,,35.964739,139.689376,
69,E1110000081111,コミュニティセンターいわつき,埼玉県さいたま市岩槻区本町1-10-7,,,,35.947052,139.69172,
70,E1110000082111,岩槻本町公民館,埼玉県さいたま市岩槻区本町4-2-25,,,,35.94915,139.697594,
71,E1110000083111,岩槻小学校,埼玉県さいたま市岩槻区本町5-6-45,1,,,35.95354,139.698635,
72,E1110000084111,慈恩寺中学校,埼玉県さいたま市岩槻区裏慈恩寺505,1,,,35.985195,139.704927,
73,E1110000085121,さいたま市障害者福祉施設春光園けやき,埼玉県さいたま市見沼区宮ケ谷塔1-280,,,要配慮者,35.950497599753,139.67998336312,
74,E1110000086111,春岡小学校,埼玉県さいたま市見沼区春岡2-29-1,1,,,35.949628,139.661894,
75,E1110000088111,春野小学校,埼玉県さいたま市見沼区春野1-10-1,1,,,35.956832,139.667457,
76,E1110000090111,春野中学校,埼玉県さいたま市見沼区春野2-2-1,1,,,35.956675,139.663026,
77,E1110000091111,春岡公民館,埼玉県さいたま市見沼区深作1-5-1,,,,35.950783,139.66442,
78,E1110000094111,片柳中学校,埼玉県さいたま市見沼区大字御蔵551,1,,,35.906906,139.673905,
79,E1110000095111,春里中学校,埼玉県さいたま市見沼区大字小深作268-19,1,,,35.941146,139.664201,
80,E1110000098111,大谷中学校,埼玉県さいたま市見沼区大字大谷1634-2,1,,,35.925461,139.666808,
81,E1110000099111,大谷小学校,埼玉県さいたま市見沼区大字大谷18,1,,,35.921482,139.665968,
82,E1110000100111,東宮下小学校,埼玉県さいたま市見沼区大字東宮下215-1,1,,,35.925874,139.677483,
83,E1110000101111,七里小学校,埼玉県さいたま市見沼区大字東宮下312,1,,,35.929314,139.676034,
84,E1110000102111,片柳小学校,埼玉県さいたま市見沼区大字東新井244-1,1,,,35.910638,139.670391,
85,E1110000103111,海老沼小学校,埼玉県さいたま市見沼区大字東新井710-5,1,,,35.908366,139.660075,
86,E1110000104111,大宮八幡中学校,埼玉県さいたま市見沼区大字南中丸357,1,,,35.919136,139.65301,
87,E1110000105111,県立大宮東高等学校,埼玉県さいたま市見沼区大字膝子567,1,,,35.926869,139.684752,
88,E1110000106111,蓮沼小学校,埼玉県さいたま市見沼区大字蓮沼1070,1,,,35.934218,139.660563,
89,E1110000107111,県立大宮商業高等学校,埼玉県さいたま市見沼区大和田町1-356,1,,,35.927538,139.645597,
90,E1110000108111,大砂土東公民館,埼玉県さいたま市見沼区大和田町2-1445,,,,35.931373,139.648821,
91,E1110000109111,大砂土東小学校,埼玉県さいたま市見沼区大和田町2-998,1,,,35.93755,139.646873,
92,E1110000110111,島小学校,埼玉県さいたま市見沼区島町533-2,1,,,35.946909,139.651659,
93,E1110000111111,七里中学校,埼玉県さいたま市見沼区東宮下1-1-1,1,,,35.927755,139.680838,
94,E1110000112111,七里公民館,埼玉県さいたま市見沼区東宮下265-1,,,,35.927199,139.677461,
95,E1110000113111,片柳公民館,埼玉県さいたま市見沼区東新井117-2,,,,35.909721,139.67082,
96,E1110000114111,大砂土中学校,埼玉県さいたま市見沼区東大宮1-100-1,1,,,35.937511,139.644256,
97,E1110000116111,見沼小学校,埼玉県さいたま市見沼区東大宮2-45,1,,,35.948742,139.632473,
98,E1110000121111,栄和小学校,埼玉県さいたま市桜区栄和1-7-1,1,,,35.861805,139.617476,
99,E1110000122111,埼玉大学総合体育館,埼玉県さいたま市桜区下大久保255,1,,,35.861622,139.606635,
100,E1110000352121,さいたま市老人福祉センター寿楽荘,埼玉県さいたま市桜区下大久保727-1,,,要配慮者,35.8630378889248,139.603471946816,
101,E1110000123111,大久保小学校,埼玉県さいたま市桜区五関21,1,,,35.872177,139.598519,
102,E1110000124111,大久保中学校,埼玉県さいたま市桜区五関282,1,,,35.866917,139.59788,
103,E1110000125111,県立浦和北高等学校,埼玉県さいたま市桜区五関595,1,,,35.86723,139.594533,
104,E1110000126111,大久保公民館,埼玉県さいたま市桜区五関839-2,,,,35.870269,139.597811,
105,E1110000127111,上大久保中学校,埼玉県さいたま市桜区上大久保861-1,1,,,35.871625,139.616473,
106,E1110000128111,新開小学校,埼玉県さいたま市桜区新開2-18-1,1,,,35.85094,139.618201,
107,E1110000129111,神田小学校,埼玉県さいたま市桜区神田541-1,1,,,35.875168,139.607466,
