NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E1820800002201,あわら市本荘小学校,福井県あわら市下番7-1,1,,,1,,1,1,1,1,36.206267082913,136.19541023928,
2,E1820800004201,あわら市金津小学校,福井県あわら市花乃杜1-20-1,1,1,,1,,1,1,1,1,36.217912895754,136.22533416682,
3,E1820800006201,あわら市多目的共同利用施設さくらセンター,福井県あわら市柿原36-20,,,,1,,1,1,1,1,36.233589107834,136.23580962101,
4,E1820800007201,あわら市吉崎小学校,福井県あわら市吉崎8-55,1,1,1,1,1,1,1,1,1,36.286777679199,136.25391003202,
5,E1820800008201,熊坂農村環境改善センター,福井県あわら市熊坂42-20,,1,,1,,1,1,1,1,36.233910070195,136.2878199173,
6,E1820800009201,あわら市農業者トレーニングセンター,福井県あわら市国影23-1,1,1,,1,,1,1,1,1,36.227916856886,136.20695448749,
7,E1820800010201,トリムパークかなづ,福井県あわら市山室67-60-1,1,1,,1,,1,1,1,1,36.217475176202,136.24749577111,
8,E1820800011201,あわら市金津中学校,福井県あわら市市姫1-5-1,1,,,1,,1,1,1,1,36.209519241838,136.23216462298,
9,E1820800033201,あわら市中央公民館,福井県あわら市市姫1-9-18,1,,,1,,1,1,1,1,36.212528,136.230962,
10,E1820800013201,福井県立金津高等学校,福井県あわら市市姫4-5-1,1,,,1,,1,1,1,1,36.207364948448,136.22850950155,
11,E1820800016201,あわら市芦原中学校,福井県あわら市舟津2-75,1,1,,1,,1,1,1,1,36.235059444803,136.19266685647,
12,E1820800015202,あわら市武道館,福井県あわら市舟津2-81,1,1,,1,,1,1,1,1,36.233212,136.192061,
13,E1820800015201,あわら市武道館横テニスコート,福井県あわら市舟津2-81,,,,1,,,,,1,36.23319602496,136.19245901071,
14,E1820800018201,あわら市金津こども園,福井県あわら市春宮3-24-20,1,1,,1,,1,1,1,1,36.219363786751,136.23001389788,
15,E1820800020201,あわら市伊井小学校,福井県あわら市清間13-24,1,,,1,,1,1,1,1,36.197261234151,136.24818931442,
16,E1820800021201,あわら市細呂木小学校,福井県あわら市滝63-8,1,1,1,1,,1,1,1,1,36.238926142503,136.2535989205,
17,E1820800022201,あわら市金津東小学校,福井県あわら市中川18-10,1,1,,1,,1,1,1,1,36.196935035781,136.2689427203,
18,E1820800023201,あわら市新郷小学校,福井県あわら市中浜1-1,1,,,1,,1,1,1,1,36.209844718883,136.17828716222,
19,E1820800024201,あわら市芦原小学校,福井県あわら市田中々2-25,1,,,1,,1,1,1,1,36.221699877184,136.194286401,
20,E1820800034201,あわら市湯のまち公民館,福井県あわら市二面32-16,1,,,1,,1,1,1,1,36.222469,136.194611,
21,E1820800027201,あわら市波松小学校,福井県あわら市波松25-1,1,1,1,1,1,1,1,1,1,36.261805119252,136.20179744432,
22,E1820800032201,浜坂ゲートボール場,福井県あわら市浜坂19-1-1,,,1,,1,,,,,36.286687,136.246398,
23,E1820800028201,浜坂区民館,福井県あわら市浜坂4-5,1,1,,1,,1,1,1,1,36.286665309578,136.2467798393,
24,E1820800029201,あわら市北潟公民館,福井県あわら市北潟150-1,1,1,1,1,,1,1,1,1,36.259155594739,136.22582235284,
25,E1820800030201,あわら市北潟小学校,福井県あわら市北潟35-11,1,1,1,1,,1,1,1,1,36.264195576896,136.22301874735,
26,E1820800031201,あわら市剱岳公民館,福井県あわら市椚第18-10,1,1,,1,,1,1,1,1,36.202527569369,136.28449018202,
27,E1848300001201,海印寺（犬見）,福井県おおい町犬見30-2,,,,,1,1,,,,35.493282,135.623429,
28,E1848300002201,犬見集落農事集会所,福井県おおい町犬見40-1,,1,,,,1,,,,35.492314877683,135.62120749657,
29,E1848300003201,佐分利小学校,福井県おおい町鹿野21-22-1,1,1,,1,,1,1,,1,35.451034,135.571642,
30,E1848300004201,ふるさと交流センター,福井県おおい町鹿野42-27,1,1,,1,,1,1,,1,35.453054,135.565565,
31,E1848300005201,スポーツロッジ栄光,福井県おおい町小堀17-25,,,,,1,1,,,,35.480558804807,135.61049436764,
32,E1848300006201,小堀区生活改善センター,福井県おおい町小堀5-22-4,,,,,1,1,,,,35.480468608426,135.60655531243,
33,E1848300007201,福井県こども家族館,福井県おおい町成海1-1-1,1,1,,,1,1,1,,,35.481266938408,135.62793402148,
34,E1848300008201,ホテルうみんぴあ,福井県おおい町成海1-8,,,,,1,1,,,,35.481660375234,135.63158540562,
35,E1848300009202,総合町民体育館,福井県おおい町成和2-1-1,1,1,1,1,1,1,1,,1,35.484003316692,135.61203557507,
36,E1848300009201,丸山公園,福井県おおい町成和2-1-1,,,,,1,1,,,1,35.484195513986,135.61484653011,
37,E1848300010201,川上公民館,福井県おおい町川上86-4,1,,,1,,1,1,,,35.441582514415,135.52200516782,
38,E1848300011201,大島小学校,福井県おおい町大島60-6,1,1,1,1,1,1,1,,1,35.52786270382,135.64611271164,
39,E1848300012201,一次産業活動拠点施設（志摩豊夢）,福井県おおい町大島85-27-1,,,,,1,1,,,,35.527849,135.643374,
40,E1848300013201,はまかぜ交流センター（しーまいる）,福井県おおい町大島90-27,1,1,1,1,1,1,1,,1,35.525428672547,135.64321357265,
41,E1848300014201,長井多目的研修施設,福井県おおい町長井41-1-1,,1,,,,1,,,,35.477309037768,135.64085271916,
42,E1848300015201,総合町民福祉センター,福井県おおい町本郷136-1-1,1,1,1,1,1,1,1,,1,35.481412582724,135.61738307621,
43,E1848300016201,本郷小学校,福井県おおい町本郷80-7,1,1,,1,1,1,1,,1,35.472144,135.622862,
44,E1848300017201,いきいき長寿村（あみーシャン大飯）,福井県おおい町本郷82-14,1,1,,1,1,1,1,,1,35.473313408984,135.62347705508,
45,E1848300018201,保健福祉センターなごみ,福井県おおい町本郷92-51-1,,,,,1,1,,,,35.474419583698,135.62403058708,
46,E1848300019201,やまびこ会館,福井県おおい町万願寺27-81,1,1,,1,,1,1,,1,35.456647,135.599944,
47,E1848300020201,あまご山会館,福井県おおい町名田庄下33-12-1,,1,,,,1,,,,35.407265,135.651288,
48,E1848300021201,あっとほ～むいきいき館,福井県おおい町名田庄下6-1,1,1,,1,,1,1,,,35.406966957429,135.64405641643,
49,E1848300023201,里山文化交流センター（ぶらっと）,福井県おおい町名田庄久坂3-21-1,1,1,,1,,1,1,,1,35.399411494455,135.68136682758,
50,E1848300024201,さきやま会館,福井県おおい町名田庄三重47-48,1,1,,1,,1,1,,1,35.405794922453,135.68394590066,
51,E1848300025201,名田庄中学校,福井県おおい町名田庄小倉2-9,1,1,,1,,1,1,,1,35.403007653573,135.66597143142,
52,E1848300026201,名田庄体育館,福井県おおい町名田庄小倉5-24,1,1,,1,,1,1,,,35.40318,135.667001,
53,E1848300027201,名田庄小学校,福井県おおい町名田庄小倉6-1,1,1,,1,,1,1,,1,35.402736556684,135.66730717151,
54,E1848300028201,久田の里交流センター,福井県おおい町名田庄虫鹿野3-5-1,1,1,,1,,1,1,,1,35.39966,135.700469,
55,E1848300029201,流星館コンベンションホール,福井県おおい町名田庄納田終120-8,1,1,,1,,1,1,,1,35.3946755592,135.587428318,
56,E1848300030201,大飯中学校,福井県おおい町野尻57-1,1,1,,1,,1,1,,1,35.461422,135.608473,
57,E1832200001201,志比北小学校グラウンド,福井県永平寺町岩野2-1,,,,1,,1,,,1,36.095302,136.360609,
58,E1832200001202,志比北小学校,福井県永平寺町岩野2-1,1,1,,,,,1,,1,36.0958080139706,136.360893075359,
59,E1832200002201,永平寺生活改善センター,福井県永平寺町吉波23-10-33,1,1,,,,,1,,1,36.0950379991,136.361385,
60,E1832200004202,上志比中学校,福井県永平寺町栗往波16-47,1,1,,,,,1,,1,36.075249,136.39583,
61,E1832200004201,上志比中学校グラウンド,福井県永平寺町栗往波16-47,,,,1,,1,,,1,36.0748062933865,136.395350484952,
62,E1832200005202,上志比小学校,福井県永平寺町栗往波26-15,1,1,,,,,1,,1,36.071916,136.398969,
63,E1832200005201,上志比小学校グラウンド,福井県永平寺町栗往波26-15,,,,1,,1,,,1,36.0713809487407,136.399159221751,
64,E1832200006201,永平寺緑の村ふれあいセンター,福井県永平寺町山10-1,1,1,,,,,1,,1,36.0915668530445,136.325575101354,
65,E1832200007201,永平寺緑の村運動広場,福井県永平寺町山9-4-1,,,,1,,1,,,,36.089555,136.326213,
66,E1832200008202,志比南小学校,福井県永平寺町市野々1-11,,1,,,,,1,,1,36.070387,136.326558,
67,E1832200008201,志比南小学校グラウンド,福井県永平寺町市野々1-11,,,,1,,1,,,1,36.0700737692272,136.326966097692,
68,E1832200010201,松岡多目的集会センター（ざおう荘）,福井県永平寺町松岡吉野25-18,1,,,,,,1,,1,36.072173,136.296059,
69,E1832200011201,吉野小学校グラウンド,福井県永平寺町松岡吉野26-3,,,,1,,1,,,1,36.0724502986476,136.295452951701,
70,E1832200011202,吉野小学校,福井県永平寺町松岡吉野26-3,1,1,,,,,1,,1,36.0730448189318,136.295750670733,
71,E1832200013201,松岡中学校グラウンド,福井県永平寺町松岡吉野堺61-10-1,,,,1,,1,,,1,36.086744,136.298847,
