NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E2421400028111,いなべ市役所員弁庁舎,三重県いなべ市員弁町笠田新田111,,,,35.115699,136.561461,
2,E2421400001111,員弁西小学校,三重県いなべ市員弁町笠田新田607,1,,,35.115226504566,136.554420444688,
3,E2430300023111,三重県立いなべ総合学園高等学校,三重県いなべ市員弁町御薗632,,広域避難に係る要配慮者等,,35.106121,136.552456,
4,E2421400002111,市之原公民館,三重県いなべ市員弁町市之原1178,1,,,35.145271272236,136.561011040437,
5,E2421400003111,員弁運動公園体育館,三重県いなべ市員弁町楚原936,1,,,35.1173838408593,136.564329148093,
6,E2421400004111,員弁東小学校,三重県いなべ市員弁町大泉1201,1,,,35.0992181067262,136.568234353077,
7,E2421400005111,員弁中学校,三重県いなべ市員弁町大泉新田1739,1,,,35.1088136616316,136.565769267061,
8,E2421400006111,大安中学校,三重県いなべ市大安町石榑東2977,1,,,35.0995280573422,136.537605470194,
9,E2421400007111,石榑小学校,三重県いなべ市大安町石榑南611,1,,,35.1050905290409,136.504972718565,
10,E2421400026112,大安スポーツ公園体育館,三重県いなべ市大安町大井田2704,,,,35.094932,136.537103,
11,E2421400026111,大安公民館,三重県いなべ市大安町大井田2704,,,,35.095467,136.535765,
12,E2421400008111,丹生川小学校,三重県いなべ市大安町丹生川中1189,1,,,35.1231986868307,136.521226552566,
13,E2421400029111,大安海洋センター体育館,三重県いなべ市大安町梅戸2341-1,,,,35.073744,136.554914,
14,E2421400009111,三里小学校,三重県いなべ市大安町平塚1247,1,,,35.103098550993,136.534979443205,
15,E2421400010111,笠間小学校,三重県いなべ市大安町門前561,,,,35.0831339688099,136.552631928139,
16,E2421400011111,旧立田小学校,三重県いなべ市藤原町古田1618,,,,35.2202036330178,136.458054547311,
17,E2421400012111,藤原中学校,三重県いなべ市藤原町市場491,1,,,35.1728617970615,136.491516811241,
18,E2421400013111,藤原文化センター,三重県いなべ市藤原町市場493-1,1,,,35.1743951348846,136.486854103785,
19,E2421400014111,旧東藤原小学校,三重県いなべ市藤原町石川989,1,,,35.1583213144503,136.49807817986,
20,E2421400015111,ふじわら保育園,三重県いなべ市藤原町川合770,1,,,35.1736016065585,136.498211611215,
21,E2421400016111,ふじわら高齢者生活支援センターいこい,三重県いなべ市藤原町川合790,,,,35.1721908448564,136.500185509518,
22,E2421400017111,農業公園梅林公園直売所,三重県いなべ市藤原町鼎342,1,,,35.2209439816669,136.495025946272,
23,E2421400018111,北勢中学校,三重県いなべ市北勢町阿下喜2480,1,,,35.1555720317806,136.525966071006,
24,E2421400019111,阿下喜小学校,三重県いなべ市北勢町阿下喜2562-1,1,,,35.1567882728309,136.524569241809,
25,E2421400027111,いなべ市役所北勢庁舎,三重県いなべ市北勢町阿下喜2633,,,,35.152245,136.52397,
26,E2421400022111,川原多目的集会所,三重県いなべ市北勢町川原916,1,,,35.2139686885571,136.512515193633,
27,E2421400023111,山郷小学校,三重県いなべ市北勢町大辻新田276,1,,,35.1499419090351,136.541829637578,
28,E2421400024111,田辺農業振興センター,三重県いなべ市北勢町田辺745-2,1,,,35.1950259272207,136.524768853028,
29,E2421400025111,治田小学校,三重県いなべ市北勢町東村30-1,1,,,35.1321626693806,136.511587614029,
