NO,共通ID,施設・場所名,住所,指定緊急避難場所との住所同一,その他市町村長が必要と認める事項,受入対象者,緯度,経度,備考
1,E2721100001111,白川公民館,大阪府茨木市鮎川1-8-17,1,,,34.81649,135.593453,
2,E2721100002111,東小学校,大阪府茨木市鮎川2-5-23,1,,,34.820494,135.590472,
3,E2721100003111,安威小学校,大阪府茨木市安威2-21-23,1,,,34.849467,135.564115,
4,E2721100004111,市民総合センター（クリエイトセンター）,大阪府茨木市駅前4-6-16,1,,,34.818781,135.568374,
5,E2721100005111,養精中学校,大阪府茨木市駅前4-7-60,1,,,34.817849,135.568015,
6,E2721100006111,穂積小学校,大阪府茨木市下穂積2-6-62,1,,,34.810313,135.554944,
7,E2721100007111,太田小学校,大阪府茨木市花園1-21-26,1,,,34.846459,135.573825,
8,E2721100008111,太田中学校,大阪府茨木市花園1-6-10,1,,,34.84366,135.571756,
9,E2721100009111,東市民体育館,大阪府茨木市学園町4-18,1,,,34.818299,135.591181,
10,E2721100010111,東雲中学校,大阪府茨木市学園南町21-7,1,,,34.813305,135.590887,
11,E2721100011111,玉島小学校,大阪府茨木市玉島2-11-23,1,,,34.800383,135.588462,
12,E2721100012111,北摂つばさ高等学校,大阪府茨木市玉島台2-15,1,,,34.800345,135.584314,
13,E2721100013111,高齢者活動支援センターシニアプラザいばらき,大阪府茨木市桑田町24-21,1,,,34.810534,135.586215,
14,E2721100014111,郡小学校,大阪府茨木市郡5-26-23,1,,,34.83445,135.552132,
15,E2721100015111,西中学校,大阪府茨木市見付山2-5-4,1,,,34.82055,135.553553,
16,E2721100016111,男女共生センター　ローズＷＡＭ,大阪府茨木市元町4-7,1,,,34.817111161465,135.57068528626,
17,E2721100016121,男女共生センター　ローズＷＡＭ,大阪府茨木市元町4-7,1,,要配慮者,34.817111161465,135.57068528626,
18,E2721100017121,学校法人藍野大学,大阪府茨木市高田町1-22,,,要配慮者,34.8427098176929,135.581781981084,
19,E2721100018111,彩都西中学校,大阪府茨木市彩都あさぎ4-6-7,1,,,34.849076,135.52854,
20,E2721100019111,彩都西小学校,大阪府茨木市彩都あさぎ5-8-1,1,,,34.851867,135.528124,
21,E2721100020111,三島小学校,大阪府茨木市三島町3-13,1,,,34.831183,135.577831,
22,E2721100021111,北陵中学校,大阪府茨木市山手台1-23-10,1,,,34.854795,135.560241,
23,E2721100022111,山手台小学校,大阪府茨木市山手台4-9-4,1,,,34.86382,135.553571,
24,E2721100023111,茨木西高等学校,大阪府茨木市紫明園10-68,1,,,34.812016,135.55035,
25,E2721100024111,耳原小学校,大阪府茨木市耳原2-20-55,1,,,34.838781,135.562081,
26,E2721100025111,南中学校,大阪府茨木市若園町6-41,1,,,34.801358,135.579435,
27,E2721100026111,大池コミュニティセンター,大阪府茨木市舟木町11-35,1,,,34.813841,135.578477,
28,E2721100027111,豊川小学校,大阪府茨木市宿久庄5-14-5,1,,,34.840011,135.527259,
29,E2721100028121,障害者就労支援センターかしの木園,大阪府茨木市春日1-15-22,,,要配慮者,34.8197,135.561855,
